rank,symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct_final,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,xsrc_price,xsrc_mismatch_pct,xsrc_ok,isin_norm,yahoo_ticker,industry
1,STLTECH,Sterlite Technologies Limited,NSE,100.61,2025-12-12,613.0,529.04,29932.0,Large,Technology,5305658.0,1119926309.0,False,613.15,0.02,True,INE089C01029,STLTECH.NS,Communication Equipment
2,540492,Starlineps Enterprises Ltd,BSE,3.24,2025-12-12,11.44,250.92,400.53,Micro,n/a,1523943.0,9679695.0,False,11.03,3.72,True,INE594W01042,540492.BO,
3,SANGINITA,Sanginita Chemicals Limited,NSE,9.71,2025-12-12,32.84,233.06,,,Basic Materials,170586.0,2896618.0,False,,,False,INE753W01010,SANGINITA.NS,Chemicals
4,MTARTECH,Mtar Technologies Limited,NSE,2345.5,2025-12-12,7458.0,217.97,22929.89,Large,Industrials,773462.0,3886267392.0,False,7454.55,0.05,True,INE864I01014,MTARTECH.NS,Specialty Industrial Machinery
5,DEEDEV,DEE Development Engineers Limited,NSE,217.51,2025-12-12,688.7,215.69,4777.09,Small,Industrials,2192412.0,643197960.0,False,689.7,0.14,True,INE841L01016,DEEDEV.NS,Metal Fabrication
6,UFBL,United Foodbrands Limited,NSE,182.28,2025-12-12,549.95,201.71,2143.5,Small,Consumer Cyclical,242685.0,84894894.0,False,548.4,0.28,True,INE382M01027,UFBL.NS,Restaurants
7,BLISSGVS,Bliss GVS Pharma Limited,NSE,144.37,2025-12-12,421.6,192.03,4448.96,Small,Healthcare,3531370.0,757050571.0,False,420.55,0.25,True,INE416D01022,BLISSGVS.NS,Drug Manufacturers - Specialty & Generic
8,GVPIL,GE Power India Limited,NSE,312.55,2025-12-12,905.5,188.28,6092.83,Mid,Industrials,647189.0,322410193.0,False,906.3,0.09,True,INE878A01011,GVPIL.NS,Engineering & Construction
9,HFCL,HFCL Limited,NSE,66.56,2025-12-12,178.01,169.55,27267.68,Large,Technology,33985147.0,3659900391.0,False,178.15,0.08,True,INE548A01028,HFCL.NS,Communication Equipment
10,OMNI,Omnitech Engineering Limited,NSE,204.93,2026-03-05,494.45,159.4,6112.19,Mid,Industrials,1106033.0,356427988.0,False,494.25,0.04,True,INE0UH301010,OMNI.NS,Specialty Industrial Machinery
11,AEROFLEX,Aeroflex Industries Limited,NSE,176.13,2025-12-12,425.7,141.7,5630.01,Mid,Industrials,2395112.0,653290657.0,False,425.45,0.06,True,INE024001021,AEROFLEX.NS,Metal Fabrication
12,SIGMAADV,SIGMA ADVANCED SYSTEMS LIMITED,NSE,183.74,2025-12-12,437.45,140.73,7677.0,Mid,Industrials,257082.0,67022169.0,False,435.6,0.42,True,INE933B01012,SIGMAADV.NS,Aerospace & Defense
13,KSHINTL,KSH International Limited,NSE,355.0,2025-12-23,819.9,138.76,5559.69,Mid,Industrials,474555.0,249177871.0,False,820.55,0.08,True,INE987S01020,KSHINTL.NS,Electrical Equipment & Parts
14,MODISONLTD,MODISON LIMITED,NSE,140.65,2025-12-12,327.4,135.02,1060.95,Small,Industrials,110027.0,22847735.0,False,326.95,0.14,True,INE737D01021,MODISONLTD.NS,Electrical Equipment & Parts
15,BHAGYANGR,Bhagyanagar India Limited,NSE,132.62,2025-12-12,307.8,132.09,981.45,Small,Basic Materials,314108.0,56825046.0,False,306.75,0.34,True,INE458B01036,BHAGYANGR.NS,Copper
16,BAJAJCON,Bajaj Consumer Care Limited,NSE,254.05,2025-12-12,582.2,127.69,7610.75,Mid,Consumer Defensive,1352824.0,507549931.0,False,580.4,0.31,True,INE933K01021,BAJAJCON.NS,Household & Personal Products
17,IDEAFORGE,Ideaforge Technology Limited,NSE,425.4,2025-12-12,964.9,127.36,4180.83,Small,Technology,1095475.0,630512514.0,False,963.6,0.13,True,INE349Y01013,IDEAFORGE.NS,Computer Hardware
18,CPPLUS,Aditya Infotech Limited,NSE,1554.9,2025-12-12,3482.2,126.75,41126.87,Large,Industrials,293278.0,595179359.0,False,3489.75,0.22,True,INE819V01029,CPPLUS.NS,Building Products & Equipment
19,KOVAI,Kovai Medical Center & Hospital Limited,NSE,2576.65,2026-04-13,5746.0,123.0,6290.43,Mid,Healthcare,3925.0,21682956.0,False,5748.75,0.05,True,INE177F01017,KOVAI.NS,Medical Care Facilities
20,CONFIPET,Confidence Petroleum India Limited,NSE,34.04,2025-12-12,75.5,121.8,2515.4,Small,Energy,2406054.0,124398308.0,False,75.71,0.28,True,INE552D01024,CONFIPET.NS,Oil & Gas Refining & Marketing
21,OMAXAUTO,Omax Autos Limited,NSE,99.29,2025-12-12,216.79,119.87,463.16,Micro,Consumer Cyclical,141742.0,21650372.0,False,216.55,0.11,True,INE090B01011,OMAXAUTO.NS,Auto Parts
22,ANTELOPUS,Antelopus Selan Energy Limited,NSE,396.65,2025-12-12,853.85,115.27,2997.59,Small,Energy,396180.0,219928454.0,False,852.5,0.16,True,INE818A01017,ANTELOPUS.NS,Oil & Gas E&P
23,NGLFINE,NGL Fine-Chem Limited,NSE,1326.7,2025-12-12,2820.7,112.61,1739.73,Small,Healthcare,8346.0,19405829.0,False,2816.0,0.17,True,INE887E01022,NGLFINE.NS,Drug Manufacturers - General
24,JNKINDIA,JNK India Limited,NSE,234.65,2025-12-12,484.05,110.62,2712.93,Small,Industrials,519367.0,176682526.0,False,484.85,0.16,True,INE0OAF01028,JNKINDIA.NS,Specialty Industrial Machinery
25,ATLANTAELE,Atlanta Electricals Limited,NSE,925.05,2025-12-12,1890.7,109.8,14496.94,Mid,Industrials,188391.0,224311358.0,False,1885.25,0.29,True,INE0Z4F01028,ATLANTAELE.NS,Electrical Equipment & Parts
26,532380,Baba Arts Ltd-$,BSE,6.54,2025-12-12,13.5,106.42,70.09,Micro,n/a,57679.0,723732.0,False,13.35,1.12,True,INE893A01036,532380.BO,
27,SHADOWFAX,Shadowfax Technologies Limited,NSE,109.98,2026-01-28,216.9,103.43,12697.9,Mid,Industrials,3033565.0,446553923.0,False,217.15,0.12,True,INE12UN01015,SHADOWFAX.NS,Integrated Freight & Logistics
28,VENUSREM,Venus Remedies Limited,NSE,825.4,2025-12-12,1610.7,102.39,2141.73,Small,Healthcare,75494.0,66645111.0,False,1602.25,0.53,True,INE411B01019,VENUSREM.NS,Drug Manufacturers - Specialty & Generic
29,SPORTKING,Sportking India Limited,NSE,89.75,2025-12-12,177.84,100.29,2256.8,Small,Consumer Cyclical,297872.0,41490042.0,False,177.6,0.14,True,INE885H01029,SPORTKING.NS,Textile Manufacturing
