expiry,strike,side,tf,status,legs,tightening,pivot,pct,bars,depths,vwap_pos,vwap,ema_sig,ema_cross,smc_struct,smc_zone,smc_sd,smc_liq,smc_trend
07-Jul-2026,24150,CE,1m,VCP forming,3,True,179.15,-5.55,375,-7.6% / -7.1% / -4.7%,below,217.78,bear,,range,Discount,demand below,BSL above,uptrend line swept (SSL)
07-Jul-2026,24150,CE,3m,Contracting,3,False,179.15,-5.55,125,-14.9% / -10.9% / -14.9%,below,217.67,bear,,range,Discount,demand below,BSL above,uptrend line swept (SSL)
07-Jul-2026,24150,CE,5m,Contracting,3,False,180.8,-6.42,75,-9.8% / -12.4% / -14.9%,below,217.74,bear,,bear,Discount,—,BSL above,—
07-Jul-2026,24150,CE,15m,No VCP,1,False,256.0,-33.91,25,-8.3%,below,217.52,bear,,range,Discount,—,—,uptrend line swept (SSL)
07-Jul-2026,24150,CE,1h,insufficient data,0,False,,,7,,below,214.26,—,,—,—,—,—,—
07-Jul-2026,24150,PE,1m,Contracting,3,False,41.5,-9.04,375,-24.3% / -9.4% / -17.2%,below,39.06,bear,,bear,Discount,demand below,BSL above,—
07-Jul-2026,24150,PE,3m,Contracting,3,False,43.65,-13.52,125,-17.0% / -8.4% / -23.6%,below,39.07,bear,,range,Discount,demand below,BSL above,uptrend line swept (SSL)
07-Jul-2026,24150,PE,5m,Contracting,3,False,53.75,-29.77,75,-21.3% / -12.5% / -15.5%,below,39.03,bear,death,bull,Discount,demand below,—,uptrend line swept (SSL)
07-Jul-2026,24150,PE,15m,No VCP,1,False,53.3,-29.17,25,-22.0%,below,39.17,bull,,range,Discount,demand below,—,—
07-Jul-2026,24150,PE,1h,insufficient data,0,False,,,7,,below,39.82,—,,—,—,—,—,—
07-Jul-2026,24200,CE,1m,VCP forming,3,True,142.8,-7.39,375,-8.3% / -7.8% / -5.7%,below,179.88,bear,,range,Discount,supply above,BSL above,uptrend line swept (SSL)
07-Jul-2026,24200,CE,3m,Contracting,3,False,142.8,-7.39,125,-5.5% / -12.2% / -16.5%,below,179.77,bear,,range,Discount,demand below,BSL above,uptrend line swept (SSL)
07-Jul-2026,24200,CE,5m,Contracting,3,False,145.05,-8.82,75,-11.1% / -13.6% / -16.5%,below,179.79,bear,,range,Discount,—,BSL above,—
07-Jul-2026,24200,CE,15m,No VCP,1,False,215.0,-38.49,25,-9.7%,below,179.68,bear,,range,Discount,—,—,uptrend line swept (SSL)
07-Jul-2026,24200,CE,1h,insufficient data,0,False,,,7,,below,176.64,—,,—,—,—,—,—
07-Jul-2026,24200,PE,1m,Contracting,3,False,56.05,-7.85,375,-22.0% / -8.5% / -15.8%,above,50.92,bear,,bear,Discount,demand below,BSL above,—
07-Jul-2026,24200,PE,3m,Contracting,3,False,58.25,-11.33,125,-7.8% / -21.4% / -13.0%,above,50.93,bear,,bear,Discount,demand below,buy-side swept (bearish stop-hunt),downtrend line broken (BSL)
07-Jul-2026,24200,PE,5m,Contracting,3,False,70.6,-26.84,75,-5.9% / -17.5% / -14.3%,above,50.89,bear,death,bull,Discount,demand below,buy-side swept (bearish stop-hunt),uptrend line swept (SSL)
07-Jul-2026,24200,PE,15m,Breakout,1,False,50.15,2.99,25,-22.6%,above,51.03,bull,,range,Discount,demand below,—,—
07-Jul-2026,24200,PE,1h,insufficient data,0,False,,,7,,below,51.92,—,,—,—,—,—,—
07-Jul-2026,24250,CE,1m,Contracting,3,False,106.5,-4.23,375,-7.1% / -9.9% / -5.6%,below,145.44,bear,,range,Discount,supply above,BSL above,uptrend line swept (SSL)
07-Jul-2026,24250,CE,3m,Contracting,3,False,111.05,-8.15,125,-18.3% / -13.1% / -18.6%,below,145.34,bear,,range,Discount,demand below,BSL above,uptrend line swept (SSL)
