symbol,mcap_cr,yahoo_ticker,name,exchange,CMP,dist_52wh_pct,rsi,adx,above_ema200,above_ema50,vol_drying,vol_spike10,base_depth_pct,weeks_base,cmf,macd_hist,confA_macd,confB_cmf,confC_obv,confE_vcp,confF_no_supply,gannG_sq9,gannH_cycle,next_resistance,vcp_contractions
PHOENIXLTD,62581.72,PHOENIXLTD.NS,The Phoenix Mills Limited,NSE,1751.1,12.14,49.9,18.1,True,True,True,True,9.7,87.4,-0.022,-7.107,False,False,False,False,False,True,True,1762.0,3
PFS,1980.8,PFS.NS,PTC India Financial Services Limited,NSE,30.88,30.14,54.8,31.5,False,True,True,False,15.8,87.8,-0.268,-0.001,True,False,True,True,False,False,True,31.88,3
PCBL,11400.58,PCBL.NS,PCBL Chemical Limited,NSE,289.15,33.88,51.0,15.2,False,True,True,False,16.4,88.0,0.166,0.003,False,True,True,True,True,True,True,298.0,3
PDMJEPAPER,781.44,PDMJEPAPER.NS,Pudumjee Paper Products Limited,NSE,82.61,44.33,48.8,10.2,False,False,True,False,17.3,90.4,-0.456,-0.036,True,False,True,True,True,False,True,84.98,3
PGIL,7685.04,PGIL.NS,Pearl Global Industries Limited,NSE,1665.6,16.44,59.0,29.6,True,True,False,False,18.1,84.4,0.129,3.76,False,True,False,True,False,True,False,1693.6,3
20MICRONS,692.67,20MICRONS.NS,20 Microns Limited,NSE,195.77,31.05,63.3,27.1,True,True,False,True,24.9,85.4,-0.015,0.776,False,False,False,False,False,True,True,197.59,3
PATELENG,2700.61,PATELENG.NS,Patel Engineering Limited,NSE,27.22,41.34,52.5,15.8,False,True,True,False,15.8,89.4,-0.163,0.007,False,False,False,True,True,False,True,28.3,3
PICCADIL,5696.48,PICCADIL.NS,Piccadily Agro Industries Limited,NSE,578.05,28.24,46.3,15.4,False,False,True,True,21.3,81.8,-0.23,-1.076,True,False,False,True,False,True,True,588.3,3
PENINLAND,517.5,PENINLAND.NS,Peninsula Land Limited,NSE,15.48,66.35,33.4,11.9,False,False,True,False,32.5,90.8,-0.253,-0.101,False,False,False,True,True,False,True,16.99,3
PDSL,4533.22,PDSL.NS,PDS Limited,NSE,320.2,26.2,69.4,17.9,False,True,True,False,16.9,83.8,0.179,2.473,False,True,False,True,True,True,True,339.0,3
PIDILITIND,150274.53,PIDILITIND.NS,Pidilite Industries Limited,NSE,1476.6,6.24,58.9,17.4,True,True,True,True,13.2,88.0,-0.006,-3.221,False,False,True,True,False,True,True,1487.0,3
PAYTM,68204.8,PAYTM.NS,One 97 Communications Limited,NSE,1065.2,22.91,40.4,20.5,False,False,True,False,15.3,88.0,-0.189,-9.068,False,False,False,True,True,True,True,1071.0,3
POWERGRID,265392.73,POWERGRID.NS,Power Grid Corporation of India Limited,NSE,285.65,12.09,35.3,30.5,False,False,False,True,14.3,89.8,-0.118,-1.321,False,False,False,False,False,True,False,287.9,3
PERSISTENT,79536.76,PERSISTENT.NS,Persistent Systems Limited,NSE,5038.5,23.65,48.5,15.5,False,False,True,False,18.4,84.6,-0.203,9.539,False,False,True,True,False,True,True,5137.0,3
PFOCUS,18631.53,PFOCUS.NS,Prime Focus Limited,NSE,240.19,34.55,40.0,44.0,True,False,True,False,40.5,90.6,-0.007,0.64,False,False,True,True,True,True,True,244.39,3
PGEL,13850.53,PGEL.NS,PG Electroplast Limited,NSE,485.35,41.98,47.7,22.2,False,False,True,True,21.9,90.4,-0.056,3.287,False,False,True,True,True,True,True,493.9,3
PIIND,41246.85,PIIND.NS,PI Industries Limited,NSE,2717.9,37.23,35.4,28.5,False,False,False,True,16.8,86.6,-0.182,-18.878,True,False,False,False,False,True,False,2958.2,3
POONAWALLA,34360.73,POONAWALLA.NS,Poonawalla Fincorp Limited,NSE,389.85,31.65,39.4,20.9,False,False,True,False,19.1,88.0,-0.28,-0.877,True,False,False,True,True,True,True,426.7,3
PETRONET,40410.0,PETRONET.NS,Petronet LNG Limited,NSE,269.45,17.45,45.3,13.9,False,False,True,True,9.7,88.6,-0.254,-0.5,False,False,False,False,True,True,True,272.25,3
PENIND,2249.72,PENIND.NS,Pennar Industries Limited,NSE,158.07,43.53,47.5,16.9,False,False,False,True,19.1,85.0,0.035,0.155,False,True,True,True,True,True,True,174.09,3
PFC,142646.9,PFC.NS,Power Finance Corporation Limited,NSE,431.75,11.25,48.4,15.5,True,False,True,True,16.0,89.6,-0.161,-1.064,True,False,True,True,True,True,False,434.55,3
PPLPHARMA,22165.21,PPLPHARMA.NS,Piramal Pharma Limited,NSE,166.77,24.49,45.5,24.8,False,True,True,False,28.2,88.2,-0.124,-1.92,False,False,False,True,False,True,True,171.65,3
POWERINDIA,164268.77,POWERINDIA.NS,Hitachi Energy India Limited,NSE,36870.0,4.94,61.8,32.6,True,True,False,True,29.0,84.8,0.129,-163.052,False,True,False,False,False,True,True,38645.0,3
PRAJIND,6494.12,PRAJIND.NS,Praj Industries Limited,NSE,353.45,34.3,41.2,26.5,False,False,True,False,23.3,90.2,-0.192,-5.145,False,False,False,True,True,True,True,357.8,3
PRAKASH,2591.31,PRAKASH.NS,Prakash Industries Limited,NSE,144.3,24.41,47.7,16.8,True,True,True,True,18.9,88.2,-0.012,-0.867,False,False,True,True,False,True,True,148.01,3
