rank,symbol,name,exchange,sector,MktCap_Cr,CMP,pct_below_52wH,RSI,ADX,weeks_base,base_depth_pct,num_confirmations,confA_macd,confB_cmf,confC_obv,confD_sector,confE_vcp,confF_no_supply,gannG_sq9,gannH_cycle,Next_Resistance
1,BEPL,Bhansali Engineering Polymers Limited,NSE,Basic Materials,2406.71,96.86,21.76,55.1,20.2,90.2,16.8,5,True,False,True,True,True,True,False,True,98.4
2,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,NSE,Basic Materials,1167.07,359.35,24.51,47.8,15.2,88.0,23.0,5,True,False,True,True,True,True,True,True,363.0
3,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,NSE,Basic Materials,3152.9,243.46,25.09,49.4,20.3,88.2,24.4,5,True,False,True,True,True,True,True,True,251.25
4,SUMICHEM,Sumitomo Chemical India Limited,NSE,Basic Materials,23604.6,472.05,29.02,51.5,18.4,88.2,21.6,5,False,True,True,True,True,True,True,True,475.05
5,NUVOCO,Nuvoco Vistas Corporation Limited,NSE,Basic Materials,11384.35,319.15,33.16,48.0,26.3,85.0,22.5,5,False,True,True,True,True,True,True,True,329.0
6,PCBL,PCBL Chemical Limited,NSE,Basic Materials,11400.58,289.15,33.88,51.0,15.2,88.0,16.4,5,False,True,True,True,True,True,True,True,298.0
7,JSWCEMENT,JSW Cement Limited,NSE,Basic Materials,17376.09,127.37,21.45,50.8,25.3,66.0,16.3,4,False,True,True,True,True,False,True,True,128.81
8,JUBLPHARMA,Jubilant Pharmova Limited,NSE,Healthcare,15505.22,973.6,21.99,49.5,21.1,87.4,17.4,4,False,True,True,False,True,True,True,True,998.35
9,NELCAST,Nelcast Limited,NSE,Industrials,1224.11,140.74,22.2,52.9,30.8,87.6,30.5,4,True,False,True,True,False,True,True,True,142.5
10,TPLPLASTEH,TPL Plastech Limited,NSE,Consumer Cyclical,521.22,66.54,24.12,48.8,26.7,85.0,19.5,4,False,False,True,True,True,True,False,True,68.5
11,UTTAMSUGAR,Uttam Sugar Mills Limited,NSE,Consumer Defensive,939.34,246.85,24.88,54.5,22.3,89.2,21.3,4,True,False,True,False,True,True,True,True,255.68
12,JGCHEM,J.G.Chemicals Limited,NSE,Basic Materials,1638.57,417.35,25.21,54.7,24.1,84.6,24.9,4,False,False,True,True,True,True,True,True,422.0
13,ELECON,Elecon Engineering Company Limited,NSE,Industrials,11921.25,531.35,25.69,58.7,19.0,88.4,30.8,4,False,True,True,True,True,False,True,True,547.0
14,HEMIPROP,Hemisphere Properties India Limited,NSE,Real Estate,4014.23,141.07,26.02,50.1,17.2,87.4,26.3,4,True,False,True,False,True,True,True,True,142.5
15,BORORENEW,BOROSIL RENEWABLES LIMITED,NSE,Technology,7351.5,524.3,27.28,54.3,19.5,88.0,22.0,4,True,True,True,False,False,True,True,True,529.9
16,TEMBO,Tembo Global Industries Limited,NSE,Industrials,,597.05,28.67,51.1,18.1,85.4,19.9,4,False,False,True,True,True,True,True,True,600.25
17,GREENPOWER,Orient Green Power Company Limited,NSE,Utilities,1318.49,11.22,29.03,48.5,16.1,89.6,30.3,4,True,False,True,False,True,True,False,True,11.44
18,INDIGOPNTS,Indigo Paints Limited,NSE,Basic Materials,4543.97,954.2,29.1,50.5,25.0,84.8,25.3,4,False,True,False,True,True,True,True,True,1004.55
19,VMART,V-Mart Retail Limited,NSE,Consumer Cyclical,5286.36,665.55,29.57,56.0,22.5,84.4,14.2,4,False,True,True,True,True,False,True,True,689.9
20,KAMDHENU,Kamdhenu Limited,NSE,Basic Materials,704.14,24.98,30.51,54.5,19.4,87.8,23.0,4,True,False,True,True,False,True,False,True,25.4
21,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,NSE,Healthcare,1361.25,203.04,32.69,48.4,15.6,88.0,18.0,4,False,True,True,False,True,True,True,True,204.95
22,LIKHITHA,Likhitha Infrastructure Limited,NSE,Energy,837.92,216.39,33.21,58.8,22.5,90.2,24.5,4,False,True,True,False,True,True,True,True,224.89
23,RITES,RITES Limited,NSE,Industrials,10116.71,210.49,33.39,53.6,20.1,88.0,14.1,4,True,True,True,True,False,False,True,True,212.4
24,LXCHEM,Laxmi Organic Industries Limited,NSE,Basic Materials,4396.58,158.66,34.17,57.3,25.8,84.4,31.2,4,True,False,True,True,False,True,True,True,163.0
25,RUPA,Rupa & Company Limited,NSE,Consumer Cyclical,1214.74,152.89,34.35,54.7,31.4,89.6,26.1,4,False,False,True,True,True,True,True,True,153.84
26,SINDHUTRAD,Sindhu Trade Links Limited,NSE,Industrials,3928.83,25.59,34.87,53.7,23.3,85.8,23.3,4,False,True,False,True,True,True,False,True,25.8
27,TAJGVK,Taj GVK Hotels & Resorts Limited,NSE,Consumer Cyclical,2081.38,331.9,35.26,53.3,25.2,84.8,16.3,4,False,True,False,True,True,True,True,True,341.9
28,SAMHI,Samhi Hotels Limited,NSE,Consumer Cyclical,3593.03,162.05,36.33,53.1,23.7,85.6,17.7,4,False,True,False,True,True,True,True,True,164.3
