rank,symbol,name,sector,close,tier,vcp_status,phase7_score,verdict,live,chg_pct,ivwap,ema9,ema20,ema50,itrend,i_rsi,i_atr,dist_vwap,orb_high,orb_low,day_high,day_low,setup,intraday_entry,intraday_stop,stop_pct,intraday_target,rr,qty_per_10L,horizon,reason,it_order
2,APLLTD,Alembic Pharmaceuticals Limited,Healthcare,823.7,TIER 1,BROKEN OUT (fresh),16,GO,823.7,0.66,818.62,821.3,819.56,817.27,strong up,56.9,4.5,0.62,824.0,810.7,831.8,810.25,ORB,824.0,818.62,0.65,834.76,2.0,929.0,same session,orb above VWAP,0
3,HCG,Healthcare Global Enterprises Limited,Healthcare,654.8,TIER 1,BROKEN OUT (fresh),16,GO,654.8,0.89,650.82,648.15,647.68,644.7,strong up,65.5,3.54,0.61,655.0,648.55,661.4,641.5,ORB,655.0,650.82,0.64,663.36,2.0,1196.0,same session,orb above VWAP,0
4,VARROC,Varroc Engineering Limited,Consumer Cyclical,667.55,TIER 1,BROKEN OUT (fresh),16,GO,667.55,1.71,664.54,665.77,663.92,657.99,strong up,63.3,3.29,0.45,660.9,657.15,669.5,657.0,ORB,667.55,664.54,0.45,673.57,2.0,1661.0,same session,orb above VWAP,0
6,GANESHHOU,GANESH HOUSING LIMITED,Real Estate,810.5,TIER 1,BROKEN OUT (fresh),16,GO,810.5,3.84,806.13,809.85,804.81,792.82,strong up,65.1,5.49,0.54,788.0,775.15,817.25,775.15,ORB,810.5,806.13,0.54,819.24,2.0,1144.0,same session,orb above VWAP,0
10,INDHOTEL,The Indian Hotels Company Limited,Consumer Cyclical,728.6,TIER 1,AT PIVOT (actionable),15,GO,728.6,1.1,727.84,727.47,726.61,724.18,strong up,58.1,2.38,0.1,729.8,719.7,732.45,719.7,VWAP_RECLAIM,728.6,727.84,0.1,730.12,2.0,6578.0,same session,vwap reclaim above VWAP,0
11,MSUMI,Motherson Sumi Wiring India Limited,Consumer Cyclical,41.3,TIER 1,AT PIVOT (actionable),15,GO,41.3,-0.41,41.25,41.27,41.26,41.21,strong up,52.3,0.14,0.13,41.82,41.26,41.82,41.01,VWAP_RECLAIM,41.3,41.25,0.12,41.4,2.0,100000.0,same session,vwap reclaim above VWAP,0
12,BAJAJFINSV,Bajaj Finserv Limited,Financial Services,1895.6,TIER 1,BROKEN OUT (fresh),15,GO,1895.6,2.15,1895.06,1896.51,1892.27,1868.34,strong up,57.8,7.7,0.03,1915.4,1879.0,1915.4,1872.0,VWAP_RECLAIM,1895.6,1895.06,0.03,1896.68,2.0,9259.0,same session,vwap reclaim above VWAP,0
14,DLF,DLF Limited,Real Estate,675.9,TIER 1,BROKEN OUT (fresh),15,GO,675.9,2.69,669.3,673.89,670.81,661.91,strong up,75.1,2.14,0.99,663.0,657.05,677.25,657.05,ORB,675.9,672.7,0.47,682.3,2.0,1562.0,same session,orb above VWAP,0
15,AGARWALEYE,Dr. Agarwal's Health Care Limited,Healthcare,477.6,TIER 1,AT PIVOT (actionable),15,GO,477.6,0.21,476.26,476.69,475.94,474.89,strong up,57.1,2.92,0.28,480.0,473.65,481.45,471.55,VWAP_RECLAIM,477.6,476.26,0.28,480.28,2.0,3731.0,same session,vwap reclaim above VWAP,0
21,JUBLINGREA,Jubilant Ingrevia Limited,Basic Materials,678.95,TIER 1,BROKEN OUT (fresh),15,GO,678.95,1.21,675.08,678.26,675.82,665.98,strong up,59.6,3.77,0.57,687.65,670.25,687.65,666.25,VWAP_RECLAIM,678.95,675.08,0.57,686.69,2.0,1291.0,same session,vwap reclaim above VWAP,0
24,M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,334.05,TIER 1,BROKEN OUT (fresh),15,GO,334.05,5.05,331.68,332.99,331.18,326.48,strong up,67.7,1.72,0.72,330.1,321.9,335.7,321.9,ORB,334.05,331.68,0.71,338.79,2.0,2109.0,same session,orb above VWAP,0
26,DIAMONDYD,Prataap Snacks Limited,Consumer Defensive,1204.7,TIER 1,BROKEN OUT (fresh),15,GO,1204.7,1.05,1204.24,1203.76,1199.95,1186.59,strong up,59.5,5.74,0.04,1218.3,1190.1,1218.3,1190.1,VWAP_RECLAIM,1204.7,1204.24,0.04,1205.62,2.0,10869.0,same session,vwap reclaim above VWAP,0
28,FIVESTAR,Five-Star Business Finance Limited,Financial Services,550.4,TIER 1,BROKEN OUT (fresh),15,GO,550.4,1.2,549.18,550.33,548.73,541.92,strong up,58.2,2.91,0.22,558.75,547.5,558.75,539.3,VWAP_RECLAIM,550.4,549.18,0.22,552.84,2.0,4098.0,same session,vwap reclaim above VWAP,0
30,MOSCHIP,Moschip Technologies Limited,Technology,223.55,TIER 1,BROKEN OUT (fresh),15,GO,223.55,7.21,221.21,223.02,221.81,217.62,strong up,61.8,1.7,1.06,222.17,209.17,226.0,209.17,ORB,223.55,221.21,1.05,228.23,2.0,2136.0,same session,orb above VWAP,0
5,WSTCSTPAPR,West Coast Paper Mills Limited,Basic Materials,529.4,TIER 1,AT PIVOT (actionable),16,AVOID,529.4,-0.49,529.98,529.85,529.97,530.08,down,47.7,2.53,-0.11,535.85,527.55,535.85,526.3,WEAK,535.85,532.05,0.71,543.45,2.0,1315.0,same session,below VWAP — intraday trend not supportive,2
