symbol,name,exchange,CMP,ema9,ema21,ema50,ema100,ema200,dist_ema9_pct,dist_ema21_pct,dist_ema50_pct,dist_ema100_pct,dist_ema200_pct,price_above_all_emas,perfect_bull_stack,stack_9_21_50_200,wk_sma50,wk_sma200,px_vs_wk_sma50,px_vs_wk_sma200,macd,macd_signal,macd_hist,macd_vs_signal,macd_hist_state,macd_above_zero,macd_div,wk_macd_vs_signal,bb_upper,bb_mid,bb_lower,bb_width_pct,bb_position,bb_width_state,weekly_bars,bars_daily,lagging_score_10
NAHARSPING,Nahar Spinning Mills Limited,NSE,280.05,272.76,265.84,249.83,233.11,225.53,2.67,5.35,12.1,20.13,24.17,True,True,True,218.57,N/A (need ~4y hist),above,n/a,7.798,7.198,0.6,above,expanding_pos,True,none,above,280.33,265.65,250.97,11.05,Walking Upper,Squeezing,75.0,353.0,10.0
SATIN,Satin Creditcare Network Limited,NSE,241.39,230.58,219.57,198.42,180.5,167.51,4.69,9.94,21.66,33.73,44.1,True,True,True,158.29,N/A (need ~4y hist),above,n/a,12.564,12.241,0.323,above,expanding_pos,True,none,above,239.78,223.86,207.93,14.23,Walking Upper,Squeezing,75.0,353.0,10.0
ACMESOLAR,Acme Solar Holdings Limited,NSE,356.65,326.19,309.93,291.82,275.21,263.08,9.34,15.07,22.22,29.59,35.56,True,True,True,264.24,N/A (need ~4y hist),above,n/a,14.331,8.27,6.061,above,expanding_pos,True,none,above,347.6,301.34,255.08,30.7,Walking Upper,Expanding,75.0,354.0,10.0
VENUSREM,Venus Remedies Limited,NSE,1633.5,1396.25,1230.72,1073.54,942.83,790.08,16.99,32.73,52.16,73.26,106.75,True,True,True,704.85,N/A (need ~4y hist),above,n/a,149.407,96.755,52.651,above,expanding_pos,True,bearish,above,1599.89,1161.82,723.75,75.41,Walking Upper,Expanding,75.0,352.0,10.0
HSCL,Himadri Speciality Chemical Limited,NSE,685.05,624.92,605.43,567.42,530.85,506.38,9.62,13.15,20.73,29.05,35.29,True,True,True,487.39,N/A (need ~4y hist),above,n/a,20.61,16.976,3.634,above,expanding_pos,True,none,above,657.65,604.49,551.33,17.59,Above Upper,Neutral,75.0,354.0,10.0
INOXINDIA,INOX India Limited,NSE,1578.8,1498.51,1476.83,1417.2,1336.66,1259.66,5.36,6.9,11.4,18.12,25.34,True,True,True,1220.95,N/A (need ~4y hist),above,n/a,23.623,19.463,4.16,above,expanding_pos,True,none,above,1549.93,1463.98,1378.02,11.74,Above Upper,Squeezing,75.0,353.0,10.0
PASUPTAC,Pasupati Acrylon Limited,NSE,74.21,66.11,60.84,55.46,52.57,50.62,12.26,21.97,33.8,41.17,46.59,True,True,True,49.74,N/A (need ~4y hist),above,n/a,4.991,3.646,1.345,above,expanding_pos,True,none,above,72.5,59.3,46.09,44.54,Walking Upper,Expanding,75.0,353.0,10.0
RSWM,RSWM Limited,NSE,197.1,178.82,172.46,163.35,157.23,155.85,10.22,14.29,20.66,25.35,26.47,True,True,True,153.91,N/A (need ~4y hist),above,n/a,6.47,5.267,1.202,above,expanding_pos,True,bearish,above,191.15,170.07,148.98,24.8,Above Upper,Expanding,75.0,353.0,10.0
RICOAUTO,Rico Auto Industries Limited,NSE,136.85,123.34,120.06,117.9,115.94,109.89,10.95,13.99,16.07,18.04,24.53,True,True,True,105.35,N/A (need ~4y hist),above,n/a,2.696,1.211,1.485,above,expanding_pos,True,none,above,131.36,118.68,106.0,21.37,Above Upper,Expanding,75.0,354.0,10.0
ACUTAAS,Acutaas Chemicals Limited,NSE,3328.3,3107.04,2958.2,2705.43,2421.67,2078.04,7.12,12.51,23.02,37.44,60.17,True,True,True,1855.23,N/A (need ~4y hist),above,n/a,159.405,143.343,16.062,above,expanding_pos,True,none,above,3270.07,2956.67,2643.27,21.2,Above Upper,Expanding,75.0,354.0,10.0
