Stock,EMA Stack (Y/N),MACD Status,BB Position,Overall Lagging Score (1-10)
NAHARSPING,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
SATIN,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
ACMESOLAR,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
VENUSREM,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
HSCL,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
INOXINDIA,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
PASUPTAC,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
RSWM,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
RICOAUTO,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
ACUTAAS,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
AKUMS,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
THANGAMAYL,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
UNIPARTS,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
SYRMA,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
TMB,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
PARAS,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
VIJAYA,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
APCOTEXIND,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
CEMPRO,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
E2E,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
IDEAFORGE,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
AFIL,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
RRKABEL,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
DEEDEV,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
SANGINITA,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
APARINDS,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
CUPID,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
ATHERENERG,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
JETFREIGHT,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
CONFIPET,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
542669,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
MODISONLTD,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
RUBYMILLS,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
ANTELOPUS,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
PAISALO,Y,"MACD>Signal, Hist+ exp",Walking Upper,10.0
531911,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
NITINSPIN,Y,"MACD>Signal, Hist+ exp",Above Upper,10.0
LAURUSLABS,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
ABSLAMC,Y,"MACD>Signal, Hist+ exp",Upper Half,9.0
GVT&D,Y,"MACD>Signal, Hist+ exp",Upper Half,9.0
STYLAMIND,Y,"MACD>Signal, Hist+ contr",Walking Upper,9.0
VTL,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
J&KBANK,Y,"MACD>Signal, Hist+ contr",Walking Upper,9.0
INDOBORAX,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
MIDHANI,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
CGPOWER,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
IFCI,Y,"MACD>Signal, Hist+ contr",Walking Upper,9.0
SHILPAMED,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
DATAPATTNS,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
ADANIENSOL,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
CEIGALL,Y,"MACD>Signal, Hist+ exp",Upper Half,9.0
YASHO,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
GULPOLY,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
IDEA,Y,"MACD>Signal, Hist+ contr",Walking Upper,9.0
ASTRAMICRO,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
GHCLTEXTIL,Y,"MACD>Signal, Hist+ exp",Upper Half,9.0
ASIANENE,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
CRAFTSMAN,Y,"MACD>Signal, Hist+ contr",Walking Upper,9.0
NEOGEN,Y,"MACD>Signal, Hist+ contr",Walking Upper,9.0
JNKINDIA,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
AVALON,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
ADANIENT,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
SIS,Y,"MACD>Signal, Hist+ contr",Walking Upper,9.0
CHENNPETRO,Y,"MACD>Signal, Hist+ contr",Walking Upper,9.0
KRN,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
CPPLUS,Y,"MACD>Signal, Hist+ exp",Walking Upper,9.0
AZAD,Y,"MACD>Signal, Hist+ exp",Upper Band,9.0
JINDALSAW,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
ROSSTECH,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
SUPRIYA,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
SANDHAR,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
JAYBARMARU,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
IBULLSLTD,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
WSTCSTPAPR,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
SPECTRUM,N,"MACD>Signal, Hist+ exp",Walking Upper,8.0
CUMMINSIND,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
OLAELEC,N,"MACD>Signal, Hist+ exp",Walking Upper,8.0
HIRECT,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
CENTUM,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
JSWENERGY,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
BLUSPRING,N,"MACD>Signal, Hist+ exp",Walking Upper,8.0
524520,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
VETO,N,"MACD>Signal, Hist+ exp",Above Upper,8.0
GANESHBE,N,"MACD>Signal, Hist+ exp",Above Upper,8.0
ABB,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
UNIVCABLES,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
PREMEXPLN,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
SOUTHWEST,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
ZENTEC,N,"MACD>Signal, Hist+ exp",Above Upper,8.0
FOCUS,N,"MACD>Signal, Hist+ exp",Walking Upper,8.0
SOTL,N,"MACD>Signal, Hist+ exp",Walking Upper,8.0
DIVGIITTS,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
STEELXIND,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
SAREGAMA,N,"MACD>Signal, Hist+ exp",Walking Upper,8.0
ATGL,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
SAMMAANCAP,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
HCC,N,"MACD>Signal, Hist+ exp",Walking Upper,8.0
NETWEB,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
STLTECH,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
SASKEN,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
FCL,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
KIRLOSENG,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
SPORTKING,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
INDSWFTLAB,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
RAIN,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
THERMAX,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
BLISSGVS,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
GVPIL,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
SALSTEEL,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
HFCL,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
BIRLACABLE,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
SIGMAADV,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
SANSERA,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
KERNEX,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
GAYAPROJ,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
APOLLO,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
543787,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
NINSYS,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
BALAMINES,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
IOLCP,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
SKYGOLD,Y,"MACD>Signal, Hist+ contr",Upper Half,8.0
HONASA,Y,"MACD>Signal, Hist+ contr",Upper Band,8.0
DJML,N,"MACD>Signal, Hist+ exp",Above Upper,8.0
PANACEABIO,N,"MACD>Signal, Hist+ exp",Above Upper,8.0
TIPSMUSIC,Y,"MACD<Signal, Hist- contr",Above Upper,7.0
NGLFINE,Y,"MACD<Signal, Hist- contr",Upper Half,7.0
POWERINDIA,Y,"MACD<Signal, Hist- contr",Upper Half,7.0
GRANULES,Y,"MACD<Signal, Hist- exp",Walking Upper,7.0
QUADFUTURE,N,"MACD>Signal, Hist+ exp",Walking Upper,7.0
PREMIERPOL,Y,"MACD>Signal, Hist+ contr",Upper Half,7.0
SAILIFE,Y,"MACD<Signal, Hist- contr",Above Upper,7.0
ADANIGREEN,Y,"MACD<Signal, Hist- contr",Above Upper,7.0
UFBL,Y,"MACD<Signal, Hist- contr",Upper Half,7.0
ADFFOODS,Y,"MACD<Signal, Hist- contr",Walking Upper,7.0
TDPOWERSYS,Y,"MACD<Signal, Hist- contr",Upper Half,6.0
NELCAST,Y,"MACD<Signal, Hist- contr",Upper Half,6.0
SCPL,Y,"MACD<Signal, Hist- contr",Upper Band,6.0
NARMADA,Y,"MACD<Signal, Hist- contr",Upper Band,6.0
BBOX,Y,"MACD<Signal, Hist- exp",Upper Band,6.0
POLYCAB,Y,"MACD<Signal, Hist- exp",Upper Band,6.0
500449,Y,"MACD>Signal, Hist+ contr",Upper Half,6.0
FINCABLES,Y,"MACD<Signal, Hist- contr",Lower Half,6.0
NDLVENTURE,Y,"MACD>Signal, Hist+ contr",Upper Half,6.0
NRBBEARING,Y,"MACD<Signal, Hist- contr",Upper Band,6.0
AEROFLEX,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
WELCORP,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
LLOYDSENGG,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
GOCLCORP,N,"MACD>Signal, Hist+ contr",Upper Band,6.0
AGIIL,Y,"MACD<Signal, Hist- contr",Lower Half,6.0
VINDHYATEL,Y,"MACD>Signal, Hist+ contr",Upper Half,6.0
MBAPL,Y,"MACD<Signal, Hist- contr",Upper Half,6.0
BHARATFORG,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
526775,Y,"MACD<Signal, Hist- contr",Upper Half,6.0
PARACABLES,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
KINGFA,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
TIRUPATIFL,Y,"MACD>Signal, Hist+ contr",Upper Half,6.0
AYMSYNTEX,Y,"MACD<Signal, Hist- contr",Upper Half,6.0
DIACABS,Y,"MACD<Signal, Hist- contr",Upper Band,6.0
ONELIFECAP,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
VIYASH,Y,"MACD<Signal, Hist- contr",Upper Half,6.0
538668,Y,"MACD<Signal, Hist- contr",Upper Half,6.0
MAYURUNIQ,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
KEI,Y,"MACD<Signal, Hist- contr",Upper Half,6.0
ARVIND,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
SPARC,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
GLAND,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
SKIPPER,N,"MACD>Signal, Hist+ contr",Upper Band,6.0
SANSTAR,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
GRWRHITECH,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
KDDL,N,"MACD>Signal, Hist+ contr",Upper Half,6.0
AEROENTER,Y,"MACD<Signal, Hist- contr",Upper Half,6.0
NIBE,N,"MACD>Signal, Hist+ contr",Upper Band,6.0
KRISHNADEF,Y,"MACD<Signal, Hist- contr",Upper Half,6.0
ATALREAL,Y,"MACD<Signal, Hist- contr",Upper Band,6.0
WOCKPHARMA,Y,"MACD>Signal, Hist+ contr",Upper Half,6.0
ZIMLAB,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
MWL,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
APOLLOPIPE,Y,"MACD<Signal, Hist- contr",Lower Half,6.0
SONAMLTD,Y,"MACD>Signal, Hist+ contr",Upper Half,6.0
NAM-INDIA,Y,"MACD<Signal, Hist- contr",Upper Band,6.0
AETHER,N,"MACD>Signal, Hist+ exp",Upper Half,6.0
BANDHANBNK,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
SURYODAY,Y,"MACD<Signal, Hist- contr",Upper Half,6.0
RPTECH,Y,"MACD<Signal, Hist- contr",Upper Half,6.0
INDOTECH,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
SOLARINDS,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
511523,Y,"MACD<Signal, Hist- exp",Upper Half,6.0
DHANBANK,Y,"MACD<Signal, Hist- exp",Lower Half,5.0
543916,Y,"MACD<Signal, Hist- exp",Lower Half,5.0
SAKAR,Y,"MACD<Signal, Hist- exp",Upper Half,5.0
GANDHAR,N,"MACD<Signal, Hist- contr",Upper Half,5.0
ANGELONE,Y,"MACD<Signal, Hist- exp",Upper Half,5.0
HINDALCO,Y,"MACD<Signal, Hist- exp",Lower Half,5.0
MENONBE,Y,"MACD<Signal, Hist- exp",Lower Half,5.0
539730,Y,"MACD<Signal, Hist- exp",Lower Half,5.0
HAPPYFORGE,Y,"MACD<Signal, Hist- exp",Lower Half,5.0
543828,Y,"MACD<Signal, Hist- exp",Upper Half,5.0
SBC,Y,"MACD<Signal, Hist- exp",Upper Half,5.0
SENORES,Y,"MACD<Signal, Hist- exp",Lower Half,5.0
BELRISE,Y,"MACD<Signal, Hist- exp",Upper Half,5.0
STEELCAS,N,"MACD<Signal, Hist- contr",Upper Half,5.0
KRISHANA,Y,"MACD<Signal, Hist- exp",Lower Half,5.0
NLCINDIA,Y,"MACD<Signal, Hist- exp",Lower Half,5.0
WALCHANNAG,Y,"MACD<Signal, Hist- contr",Lower Half,5.0
532380,Y,"MACD>Signal, Hist+ contr",Upper Half,5.0
