symbol,name,exchange,CMP,move_start_date,rsi,rsi_state,rsi_initial,rsi_above50_at_start,rsi_bull_div_base,rsi_hh_with_price,stochrsi_k,stochrsi_d,stochrsi_cross,stochrsi_state,stochrsi_crossup_from_os_at_start,adx,adx_strength,di,adx_initial,obv_trend,vol_gt20avg_on_updays,cmf,cmf_sign,vwap20,px_vs_vwap,atr,atr_pct,atr_initial,atr_expansion_x,wk_rsi,wk_adx,wk_di,weekly_bars,bars_daily,leading_score_10
SHADOWFAX,Shadowfax Technologies Limited,NSE,201.07,2026-01-29,67.5,neutral,100.0,True,False,True,33.0,23.6,bull,neutral,False,49.4,very_strong,+DI>-DI,,falling,yes,0.11,positive,190.51,above,9.57,4.76,,,,,n/a,19.0,88.0,8.0
SPARC,Sun Pharma Advanced Research Company Limited,NSE,212.82,2026-03-23,62.9,neutral,29.9,False,False,True,21.5,16.3,bull,neutral,False,36.7,strong,+DI>-DI,19.3,rising,yes,0.185,positive,208.58,above,13.34,6.27,5.06,2.64,73.7,41.6,+DI>-DI,75.0,354.0,8.0
POWERINDIA,Hitachi Energy India Limited,NSE,36870.0,2026-01-16,61.8,neutral,28.1,False,False,True,20.2,13.8,bull,neutral,True,32.6,strong,+DI>-DI,28.9,rising,yes,0.129,positive,35467.28,above,1393.47,3.78,683.67,2.04,74.2,45.7,+DI>-DI,75.0,354.0,8.0
IDEA,Vodafone Idea Limited,NSE,14.95,2025-09-17,85.4,overbought,62.0,True,False,True,87.6,62.8,bull,overbought,False,59.0,very_strong,+DI>-DI,30.7,rising,yes,0.084,positive,13.59,above,0.46,3.08,0.35,1.32,75.0,28.6,+DI>-DI,75.0,354.0,8.0
ADANIGREEN,Adani Green Energy Limited,NSE,1525.7,2026-01-23,71.4,overbought,17.2,False,False,True,24.4,15.6,bull,neutral,True,43.0,very_strong,+DI>-DI,30.9,rising,yes,0.035,positive,1417.1,above,54.69,3.58,33.66,1.62,76.3,31.8,+DI>-DI,75.0,354.0,8.0
GRANULES,Granules India Limited,NSE,789.85,2025-09-29,69.4,neutral,50.1,True,False,False,58.3,52.1,bull,neutral,True,55.1,very_strong,+DI>-DI,36.4,rising,no,0.089,positive,769.82,above,21.5,2.72,14.52,1.48,78.1,29.5,+DI>-DI,75.0,353.0,8.0
GVPIL,GE Power India Limited,NSE,884.1,2026-01-27,71.3,overbought,28.4,False,False,True,76.1,71.7,bull,neutral,False,55.7,very_strong,+DI>-DI,20.9,rising,yes,0.403,positive,788.23,above,42.52,4.81,11.54,3.69,86.8,44.4,+DI>-DI,75.0,354.0,8.0
YASHO,Yasho Industries Limited,NSE,2470.1,2026-01-08,77.9,overbought,17.1,False,False,True,59.0,48.6,bull,neutral,True,40.8,very_strong,+DI>-DI,29.4,rising,yes,0.085,positive,2027.14,above,135.9,5.5,60.27,2.25,78.9,20.8,+DI>-DI,75.0,351.0,8.0
GALAPREC,Gala Precision Engineering Limited,NSE,910.4,2026-01-27,59.7,neutral,30.3,False,False,True,22.3,21.5,bull,neutral,True,42.0,very_strong,+DI>-DI,22.8,rising,yes,0.031,positive,890.45,above,40.39,4.44,22.68,1.78,63.6,28.5,+DI>-DI,75.0,353.0,8.0
PASUPTAC,Pasupati Acrylon Limited,NSE,74.21,2026-03-30,79.0,overbought,33.9,False,False,True,83.3,82.2,bull,overbought,False,43.2,very_strong,+DI>-DI,17.3,rising,yes,0.032,positive,65.4,above,4.04,5.45,2.37,1.71,74.7,31.0,+DI>-DI,75.0,353.0,7.0
