Stock,RSI,ADX,OBV Trend,CMF,ATR,Leading Score (1-10)
SHADOWFAX,67.5,49.4,falling,positive,9.57,8.0
SPARC,62.9,36.7,rising,positive,13.34,8.0
POWERINDIA,61.8,32.6,rising,positive,1393.47,8.0
IDEA,85.4,59.0,rising,positive,0.46,8.0
ADANIGREEN,71.4,43.0,rising,positive,54.69,8.0
GRANULES,69.4,55.1,rising,positive,21.5,8.0
GVPIL,71.3,55.7,rising,positive,42.52,8.0
YASHO,77.9,40.8,rising,positive,135.9,8.0
GALAPREC,59.7,42.0,rising,positive,40.39,8.0
PASUPTAC,79.0,43.2,rising,positive,4.04,7.0
VIJAYA,65.2,51.1,rising,positive,60.76,7.0
EMMVEE,71.6,36.4,rising,positive,15.18,7.0
ATGL,64.3,44.0,flat,positive,39.79,7.0
PREMEXPLN,65.1,28.6,rising,negative,39.89,7.0
SASKEN,69.2,59.6,rising,positive,119.57,7.0
BALAMINES,69.3,43.0,rising,positive,118.03,7.0
CENTUM,64.9,28.5,rising,positive,172.79,7.0
PARACABLES,64.1,39.4,rising,positive,4.81,7.0
NINSYS,81.1,73.3,rising,positive,38.33,7.0
POLYCAB,73.6,36.9,rising,positive,209.91,7.0
GVT&D,63.2,34.7,rising,positive,216.15,7.0
THERMAX,63.1,58.1,rising,positive,195.8,7.0
BLUSPRING,78.0,47.3,rising,positive,5.29,7.0
KIRLOSENG,65.0,29.8,rising,positive,78.09,7.0
VINDHYATEL,59.7,48.5,rising,positive,145.01,7.0
ASTRAMICRO,73.3,31.0,rising,positive,60.72,7.0
LAURUSLABS,81.3,50.2,rising,positive,29.99,7.0
SUPRIYA,66.8,47.8,rising,positive,51.81,7.0
NIBE,79.6,48.4,rising,positive,83.7,7.0
ATHERENERG,66.0,35.6,rising,positive,45.7,7.0
ONELIFECAP,65.2,50.6,rising,positive,1.56,7.0
RUBYMILLS,80.6,63.2,rising,positive,18.11,7.0
GRWRHITECH,63.5,38.0,rising,positive,292.36,7.0
JETFREIGHT,65.1,32.5,rising,positive,1.53,7.0
FCL,69.8,48.9,rising,positive,2.34,7.0
KOPRAN,59.7,44.6,rising,positive,11.06,7.0
HIRECT,66.6,35.6,rising,positive,68.91,7.0
NEOGEN,67.3,39.0,rising,positive,93.54,7.0
KDDL,64.3,32.9,rising,positive,143.45,7.0
NEPHROPLUS,69.7,31.1,rising,positive,28.14,7.0
SANSTAR,63.4,43.3,rising,positive,6.28,7.0
STEELXIND,67.0,27.0,rising,positive,0.61,7.0
