rank,symbol,name,exchange,sector,cap_bucket,CMP,ret_6m_pct,mktcap_cr,lagging,leading,entry,smc,vcp,passes_available,composite_100,tier,screen_pass
1,ASTRAMICRO,Astra Microwave Products Limited,NSE,Technology,Mid,1419.5,57.74,13472.22,9.0,7.0,10.0,9.0,7.0,5,84.0,TIER 1,Y
2,RSWM,RSWM Limited,NSE,Consumer Cyclical,Small,197.1,30.03,925.55,10.0,6.0,10.0,10.0,6.0,5,84.0,TIER 1,Y
3,IFCI,IFCI Limited,NSE,Financial Services,Large,79.6,65.32,21452.13,9.0,6.0,10.0,10.0,6.0,5,82.0,TIER 1,Y
4,JETFREIGHT,Jet Freight Logistics Limited,NSE,Industrials,Micro,23.54,27.66,108.82,10.0,7.0,8.0,10.0,6.0,5,82.0,TIER 1,N
5,DEEDEV,DEE Development Engineers Limited,NSE,Industrials,Small,671.15,220.51,4670.08,10.0,6.0,8.0,10.0,6.0,5,80.0,TIER 1,Y
6,ACUTAAS,Acutaas Chemicals Limited,NSE,Basic Materials,Large,3328.3,99.75,27249.98,10.0,7.0,9.0,8.0,6.0,5,80.0,TIER 1,Y
7,NINSYS,NINtec Systems Limited,NSE,Technology,Small,724.15,80.45,1315.65,8.0,7.0,10.0,8.0,7.0,5,80.0,TIER 1,N
8,STLTECH,Sterlite Technologies Limited,NSE,Technology,Large,619.25,536.17,30234.66,8.0,6.0,10.0,9.0,6.0,5,78.0,TIER 2,Y
9,ANTELOPUS,Antelopus Selan Energy Limited,NSE,Energy,Small,899.35,140.24,3165.14,10.0,6.0,8.0,10.0,5.0,5,78.0,TIER 2,N
10,CONFIPET,Confidence Petroleum India Limited,NSE,Energy,Small,77.61,132.16,2582.18,10.0,7.0,10.0,8.0,4.0,5,78.0,TIER 2,Y
11,RUBYMILLS,The Ruby Mills Limited,NSE,Consumer Cyclical,Small,337.85,61.66,1109.37,10.0,7.0,8.0,9.0,5.0,5,78.0,TIER 2,N
12,PAISALO,Paisalo Digital Limited,NSE,Financial Services,Mid,57.87,54.86,5257.95,10.0,6.0,10.0,8.0,5.0,5,78.0,TIER 2,Y
13,INOXINDIA,INOX India Limited,NSE,Industrials,Mid,1578.8,38.33,14344.26,10.0,5.0,9.0,9.0,6.0,5,78.0,TIER 2,N
14,VIJAYA,Vijaya Diagnostic Centre Limited,NSE,Healthcare,Mid,1372.4,35.07,14151.39,10.0,7.0,7.0,8.0,7.0,5,78.0,TIER 2,Y
15,RICOAUTO,Rico Auto Industries Limited,NSE,Consumer Cyclical,Small,136.85,30.69,1852.73,10.0,5.0,8.0,10.0,6.0,5,78.0,TIER 2,Y
16,APOLLO,Apollo Micro Systems Limited,NSE,Industrials,Mid,421.35,75.42,15054.52,8.0,5.0,10.0,10.0,5.0,5,76.0,TIER 2,Y
17,THANGAMAYL,Thangamayil Jewellery Limited,NSE,Consumer Cyclical,Mid,5351.9,66.04,16633.85,10.0,5.0,9.0,9.0,5.0,5,76.0,TIER 2,Y
18,SHILPAMED,Shilpa Medicare Limited,NSE,Healthcare,Mid,538.05,62.23,10497.85,9.0,6.0,10.0,8.0,5.0,5,76.0,TIER 2,Y
19,542669,BMW Industries Ltd,BSE,,Small,60.18,60.44,1354.57,10.0,5.0,8.0,9.0,6.0,5,76.0,TIER 2,Y
20,MIDHANI,Mishra Dhatu Nigam Limited,NSE,Basic Materials,Mid,435.55,45.99,8148.35,9.0,5.0,10.0,8.0,6.0,5,76.0,TIER 2,Y
21,PASUPTAC,Pasupati Acrylon Limited,NSE,Consumer Cyclical,Small,74.21,42.25,660.48,10.0,7.0,8.0,8.0,5.0,5,76.0,TIER 2,Y
22,CGPOWER,CG Power and Industrial Solutions Limited,NSE,Industrials,Large,937.85,40.93,147715.24,9.0,6.0,10.0,9.0,4.0,5,76.0,TIER 2,Y
23,500449,Hindustan Organic Chemicals Ltd,BSE,,Micro,40.67,36.94,273.19,6.0,6.0,10.0,9.0,7.0,5,76.0,TIER 2,N
24,ADANIENT,Adani Enterprises Limited,NSE,Energy,Large,3048.2,35.77,393749.91,9.0,7.0,8.0,6.0,8.0,5,76.0,TIER 2,Y
25,KDDL,KDDL Limited,NSE,Consumer Cyclical,Small,2904.7,26.21,3577.0,6.0,7.0,10.0,8.0,7.0,5,76.0,TIER 2,N
26,BLISSGVS,Bliss GVS Pharma Limited,NSE,Healthcare,Small,438.35,172.72,4634.09,8.0,7.0,8.0,9.0,5.0,5,74.0,TIER 2,Y
27,SIGMAADV,SIGMA ADVANCED SYSTEMS LIMITED,NSE,Industrials,Mid,435.8,131.92,7681.41,8.0,6.0,10.0,6.0,7.0,5,74.0,TIER 2,Y
28,VENUSREM,Venus Remedies Limited,NSE,Healthcare,Small,1633.5,114.12,2188.31,10.0,6.0,7.0,8.0,6.0,5,74.0,TIER 2,N
29,AVALON,Avalon Technologies Limited,NSE,Technology,Mid,1607.9,86.33,10733.78,9.0,6.0,8.0,9.0,5.0,5,74.0,TIER 2,Y
30,KERNEX,Kernex Microsystems (India) Limited,NSE,Technology,Small,1836.1,82.24,3086.02,8.0,6.0,9.0,9.0,5.0,5,74.0,TIER 2,Y
31,BALAMINES,Balaji Amines Limited,NSE,Basic Materials,Mid,2043.3,81.4,6627.3,8.0,7.0,8.0,8.0,6.0,5,74.0,TIER 2,Y
32,KIRLOSENG,Kirloskar Oil Engines Limited,NSE,Industrials,Large,1913.3,71.4,27787.2,8.0,7.0,8.0,10.0,4.0,5,74.0,TIER 2,Y
33,FCL,Fineotex Chemical Limited,NSE,Basic Materials,Small,40.73,63.25,4734.86,8.0,7.0,10.0,6.0,6.0,5,74.0,TIER 2,Y
34,SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,NSE,Consumer Cyclical,Mid,528.45,61.95,8188.96,8.0,7.0,10.0,9.0,3.0,5,74.0,TIER 2,Y
35,IOLCP,IOL Chemicals and Pharmaceuticals Limited,NSE,Healthcare,Small,131.68,59.52,3861.35,8.0,6.0,8.0,8.0,7.0,5,74.0,TIER 2,Y
36,YASHO,Yasho Industries Limited,NSE,Basic Materials,Small,2470.1,56.44,2966.23,9.0,8.0,7.0,8.0,5.0,5,74.0,TIER 2,N
37,STEELXIND,STEEL EXCHANGE INDIA LIMITED,NSE,Basic Materials,Small,12.34,47.78,1542.81,8.0,7.0,8.0,8.0,6.0,5,74.0,TIER 2,Y
