expiry,dte,strike,atm,ce_itm,pe_itm,ce_oi,ce_chg_oi,ce_vol,ce_iv,ce_ltp,ce_chg,pe_ltp,pe_chg,pe_iv,pe_vol,pe_chg_oi,pe_oi
07-Jul-2026,3,24150,False,True,False,18595.0,-28259.0,333910.0,7.24,169.2,33.6,38.05,-54.5,9.29,1601716.0,5960.0,68062.0
07-Jul-2026,3,24200,False,True,False,76421.0,-39986.0,1554018.0,7.26,132.15,24.0,51.95,-62.5,9.15,3519326.0,53678.0,127871.0
07-Jul-2026,3,24250,True,True,False,45575.0,13810.0,1913331.0,7.52,102.15,18.45,70.85,-69.3,9.15,3171258.0,40444.0,52439.0
07-Jul-2026,3,24300,False,False,True,167273.0,91309.0,5789030.0,7.56,75.4,12.35,93.65,-75.75,9.11,6888138.0,75188.0,95985.0
07-Jul-2026,3,24350,False,False,True,116100.0,83834.0,4979130.0,7.59,53.6,7.75,122.4,-80.3,9.25,4052826.0,31039.0,34319.0
14-Jul-2026,10,24150,False,True,False,2232.0,-1096.0,7428.0,9.0,266.75,39.65,103.0,-50.3,10.98,16948.0,174.0,3508.0
14-Jul-2026,10,24200,False,True,False,12963.0,-191.0,38740.0,8.8,230.25,31.15,120.5,-54.1,10.95,74618.0,8052.0,16275.0
14-Jul-2026,10,24250,True,True,False,3382.0,1833.0,15023.0,9.15,205.0,33.2,138.05,-60.25,10.8,21990.0,2145.0,3094.0
14-Jul-2026,10,24300,False,False,True,22557.0,8723.0,89401.0,9.03,174.7,28.1,163.6,-59.75,11.0,93449.0,9660.0,13363.0
14-Jul-2026,10,24350,False,False,True,6176.0,4284.0,33669.0,9.04,149.0,23.35,187.0,-65.6,10.95,33547.0,3579.0,3921.0
21-Jul-2026,17,24150,False,True,False,136.0,-135.0,377.0,9.15,338.55,40.45,149.6,-52.75,11.75,997.0,148.0,469.0
21-Jul-2026,17,24200,False,True,False,2143.0,261.0,3431.0,9.19,306.25,37.1,167.35,-53.05,11.72,4597.0,475.0,1811.0
21-Jul-2026,17,24250,True,True,False,207.0,11.0,595.0,9.24,276.0,33.45,185.45,-59.8,11.63,3573.0,602.0,685.0
21-Jul-2026,17,24300,False,False,True,1359.0,799.0,4279.0,9.22,246.3,28.5,210.0,-60.4,11.77,8564.0,1173.0,1410.0
21-Jul-2026,17,24350,False,False,True,422.0,260.0,1368.0,9.27,220.05,28.5,234.3,-61.15,11.83,2005.0,309.0,382.0
28-Jul-2026,24,24150,False,True,False,1169.0,-470.0,1668.0,9.23,402.85,39.25,194.75,-51.35,12.6,2676.0,-279.0,1540.0
28-Jul-2026,24,24200,False,True,False,29814.0,-1472.0,23297.0,9.21,369.0,33.85,211.55,-52.8,12.52,34265.0,103.0,30167.0
28-Jul-2026,24,24250,True,True,False,5768.0,-1006.0,6967.0,9.42,342.5,36.45,232.0,-55.8,12.54,4598.0,520.0,4960.0
28-Jul-2026,24,24300,False,False,True,18068.0,4648.0,39277.0,9.45,313.45,34.0,254.8,-54.5,12.6,40325.0,5087.0,14128.0
28-Jul-2026,24,24350,False,False,True,2272.0,1304.0,5443.0,9.26,280.25,26.55,277.5,-56.85,12.62,7715.0,1803.0,2352.0
