ta_rank,symbol,name,exchange,sector,return_pct_final,close,cap_bucket,bars,leading_score,lagging_score,candle_score,price_action_score,total_score,scorecard,confluence_confidence,rsi,rsi_state,stoch_k,stoch_d,macd_pos,ema_alignment,px_vs_e200,ema200_slope,adx,adx_regime,di,supertrend,supertrend_flip,ichi_price_cloud,cci,mfi,candle_bias,bullish_candles,bearish_candles,trend_structure,chart_pattern,breakout_level,target,volume_confirm,bb_squeeze,atr_pct
1,540786,Sharika Enterprises Ltd,BSE,,62.44,20.89,,350,4.0,8.3,1.0,2.5,15.8,BULLISH,high,61.8,neutral,83.9,75.6,above_signal,bullish,above,rising,23.5,transitional,+DI>-DI,green_buy,buy_flip,above,46.0,38.6,bullish,15,12,Uptrend (HH/HL),Rounding Bottom (saucer),21.93,,yes,True,5.79
2,SUTLEJTEX,Sutlej Textiles and Industries Limited,NSE,Consumer Cyclical,38.64,39.25,,352,5.3,8.8,1.0,0.5,15.6,BULLISH,high,59.8,neutral,61.2,51.1,above_signal,bullish,above,rising,34.1,trending,+DI>-DI,green_buy,none,above,197.9,63.1,bullish,10,5,Uptrend (HH/HL),Double Top,36.93,35.6,no,True,4.0
3,ROLEXRINGS,Rolex Rings Limited,NSE,Industrials,32.16,157.89,,352,4.5,8.5,1.0,1.5,15.5,BULLISH,high,68.7,neutral,76.9,70.7,above_signal,bullish,above,rising,23.7,transitional,+DI>-DI,green_buy,buy_flip,above,124.8,79.3,bullish,8,4,Uptrend (HH/HL),No clean pattern,,,,True,3.37
4,CNL,Creative Newtech Limited,NSE,Technology,32.1,916.55,,350,4.0,7.8,1.0,2.5,15.3,BULLISH,high,75.7,overbought,69.6,68.7,above_signal,bullish,above,rising,59.3,trending,+DI>-DI,green_buy,none,above,113.7,95.0,bullish,5,4,Uptrend (HH/HL),Rounding Bottom (saucer),938.8,,no,False,5.14
5,KOPRAN,Kopran Limited,NSE,Healthcare,49.21,203.63,,352,4.8,8.3,1.0,1.0,15.1,BULLISH,high,60.8,neutral,66.0,72.1,above_signal,bullish,above,rising,25.6,trending,+DI>-DI,green_buy,none,above,95.5,71.5,bullish,10,8,Sideways / range-bound,Double Bottom,194.7,201.56,no,True,4.81
6,HESTERBIO,Hester Biosciences Limited,NSE,Healthcare,70.59,2447.8,,351,4.0,9.0,1.0,1.0,15.0,BULLISH,high,65.6,neutral,61.6,63.5,above_signal,bullish,above,rising,54.7,trending,+DI>-DI,green_buy,none,above,98.8,84.8,bullish,11,8,Sideways / range-bound,Double Bottom,2205.6,2245.3,no,False,5.29
7,SHREEJISPG,Shreeji Shipping Global Limited,NSE,Industrials,74.43,596.3,,223,3.4,8.0,1.0,2.5,14.9,BULLISH,high,79.1,overbought,97.9,97.0,above_signal,bullish,above,rising,50.3,trending,+DI>-DI,green_buy,none,above,139.1,90.4,bullish,10,8,Uptrend (HH/HL),Rounding Bottom (saucer),596.3,,no,False,2.71
8,MENONBE,Menon Bearings Limited,NSE,Consumer Cyclical,60.11,199.67,,351,4.4,9.0,-1.0,2.5,14.9,BULLISH,medium,75.0,overbought,98.2,96.1,above_signal,bullish,above,rising,35.5,trending,+DI>-DI,green_buy,none,above,257.4,84.9,bearish,10,14,Uptrend (HH/HL),Double Bottom,165.58,169.46,yes,False,4.92
9,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,NSE,Consumer Cyclical,27.92,775.95,,351,3.4,7.8,1.0,2.5,14.7,BULLISH,high,68.6,neutral,88.6,86.8,above_signal,bullish,above,rising,44.5,trending,+DI>-DI,green_buy,none,above,115.4,84.1,bullish,13,11,Uptrend (HH/HL),Double Bottom,678.45,712.9,no,False,3.82
10,JGCHEM,J.G.Chemicals Limited,NSE,Basic Materials,37.32,445.45,,351,3.5,7.5,1.0,2.5,14.5,BULLISH,high,59.3,neutral,61.8,65.4,above_signal,bullish,above,rising,31.0,trending,+DI>-DI,green_buy,none,above,81.5,81.7,bullish,9,8,Uptrend (HH/HL),Double Bottom,425.85,434.9,no,True,3.42
11,PREMIERPOL,Premier Polyfilm Limited,NSE,Basic Materials,45.09,73.75,,351,3.5,9.3,-1.0,2.5,14.3,BULLISH,medium,63.7,neutral,73.5,64.7,above_signal,bullish,above,rising,26.0,trending,+DI>-DI,green_buy,buy_flip,above,147.6,91.2,bearish,2,7,Uptrend (HH/HL),Double Bottom,69.1,76.77,yes,False,6.3
12,MBAPL,Madhya Bharat Agro Products Limited,NSE,Basic Materials,70.27,136.2,,352,3.7,7.0,1.0,2.5,14.2,BULLISH,high,66.6,neutral,86.3,79.0,above_signal,bullish,above,rising,20.6,transitional,+DI>-DI,green_buy,none,above,163.0,72.7,bullish,8,4,Uptrend (HH/HL),Rounding Bottom (saucer),136.2,,no,False,4.93
13,CYIENTDLM,Cyient DLM Limited,NSE,Industrials,57.69,578.65,,352,3.4,8.3,1.0,1.5,14.2,BULLISH,high,72.0,overbought,85.0,77.9,above_signal,bullish,above,rising,50.3,trending,+DI>-DI,green_buy,none,above,145.4,85.3,bullish,9,6,Uptrend (HH/HL),No clean pattern,,,,False,4.77
14,AETHER,Aether Industries Limited,NSE,Basic Materials,50.64,1475.3,,352,4.0,7.5,0.0,2.5,14.0,BULLISH,medium,66.6,neutral,76.6,72.0,above_signal,bullish,above,rising,47.4,trending,+DI>-DI,green_buy,none,above,49.4,81.5,neutral,8,8,Uptrend (HH/HL),Bull Flag / Pennant,1500.8,1970.78,no,False,3.85
15,ARROWGREEN,Arrow Greentech Limited,NSE,Consumer Cyclical,49.29,670.0,,351,3.0,7.5,1.0,2.5,14.0,BULLISH,high,61.2,neutral,82.5,83.8,above_signal,bullish,above,rising,32.7,trending,+DI>-DI,green_buy,none,above,55.4,75.0,bullish,11,10,Uptrend (HH/HL),Bull Flag / Pennant,695.7,839.64,no,False,4.47
16,FILATEX,Filatex India Limited,NSE,Consumer Cyclical,64.42,71.57,,351,2.9,8.5,0.0,2.5,13.9,BULLISH,medium,76.4,overbought,87.2,82.8,above_signal,bullish,above,rising,48.6,trending,+DI>-DI,green_buy,none,above,176.3,91.3,neutral,7,7,Uptrend (HH/HL),Rounding Bottom (saucer),73.1,,weak,False,5.3
17,SIGNPOST,Signpost India Limited,NSE,Communication Services,60.51,326.9,,350,3.9,7.5,0.0,2.5,13.9,BULLISH,medium,69.1,neutral,86.6,86.1,above_signal,bullish,above,rising,38.3,trending,+DI>-DI,green_buy,none,above,75.8,96.6,neutral,6,6,Uptrend (HH/HL),Ascending Triangle,297.76,327.54,no,False,5.06
18,BALRAMCHIN,Balrampur Chini Mills Limited,NSE,Consumer Defensive,47.1,604.45,,352,3.9,8.5,-1.0,2.5,13.9,BULLISH,medium,68.4,neutral,87.7,85.8,above_signal,bullish,above,rising,33.2,trending,+DI>-DI,green_buy,none,above,154.0,90.3,bearish,5,7,Uptrend (HH/HL),Inverse Head & Shoulders,571.65,616.2,yes,False,2.85
19,SSWL,Steel Strips Wheels Limited,NSE,Consumer Cyclical,39.83,266.21,,351,3.5,8.8,-1.0,2.5,13.8,BULLISH,medium,71.6,overbought,67.2,71.1,above_signal,bullish,above,rising,40.5,trending,+DI>-DI,green_buy,none,above,131.6,91.7,bearish,3,7,Uptrend (HH/HL),Double Bottom,252.37,275.23,no,False,4.13
20,ACUTAAS,Acutaas Chemicals Limited,NSE,Basic Materials,120.1,3619.4,,352,4.8,5.5,1.0,2.5,13.8,BULLISH,high,63.7,neutral,66.2,59.5,below_signal,bullish,above,rising,36.8,trending,+DI>-DI,green_buy,none,above,51.6,62.3,bullish,15,12,Uptrend (HH/HL),Rounding Bottom (saucer),3694.8,,no,True,3.67
21,GANDHAR,Gandhar Oil Refinery (India) Limited,NSE,Energy,35.73,207.93,,352,2.7,7.5,1.0,2.5,13.7,BULLISH,high,72.9,overbought,83.8,86.1,above_signal,bullish,above,rising,61.6,trending,+DI>-DI,green_buy,none,above,68.8,81.9,bullish,6,2,Uptrend (HH/HL),Bull Flag / Pennant,210.95,268.71,no,False,3.92
22,CONSOFINVT,Consolidated Finvest & Holdings Limited,NSE,Financial Services,81.25,279.01,,350,6.2,7.5,1.0,-1.0,13.7,BULLISH,medium,74.4,overbought,79.5,81.0,above_signal,bullish,above,rising,53.1,trending,+DI>-DI,green_buy,none,above,157.5,94.8,bullish,8,7,Sideways / range-bound,Double Top,223.22,217.02,weak,False,4.35
23,INGERRAND,Ingersoll Rand (India) Limited,NSE,Industrials,43.73,4571.2,,352,4.3,8.8,0.0,0.5,13.6,BULLISH,medium,57.3,neutral,64.2,49.7,above_signal,bullish,above,rising,26.0,trending,+DI>-DI,green_buy,none,above,48.6,64.0,neutral,11,11,Uptrend (HH/HL),Double Top,4343.0,4185.2,yes,True,3.03
24,OMNI,Omnitech Engineering Limited,NSE,Industrials,196.73,565.6,,93,4.8,5.3,1.0,2.5,13.6,BULLISH,high,64.8,neutral,78.0,72.8,above_signal,n/a (short),,,36.9,trending,+DI>-DI,green_buy,none,above,130.0,68.6,bullish,7,4,Uptrend (HH/HL),Double Bottom,569.65,649.45,no,True,5.32
25,BLSE,BLS E-Services Limited,NSE,Industrials,58.63,274.37,,352,2.5,7.5,1.0,2.5,13.5,BULLISH,high,73.2,overbought,77.8,76.6,above_signal,bullish,above,rising,58.1,trending,+DI>-DI,green_buy,none,above,82.9,88.4,bullish,9,6,Uptrend (HH/HL),Rounding Bottom (saucer),274.37,,no,False,3.87
26,JITFINFRA,JITF Infralogistics Limited,NSE,Industrials,46.9,367.7,,351,4.0,6.0,1.0,2.5,13.5,BULLISH,high,65.0,neutral,64.1,76.6,above_signal,mixed,above,rising,30.2,trending,+DI>-DI,green_buy,none,above,153.8,87.3,bullish,8,7,Uptrend (HH/HL),Double Bottom,318.0,347.5,weak,False,4.96
27,506854,TANFAC Industries Ltd-$,BSE,,30.3,2684.25,,351,3.2,8.8,-1.0,2.5,13.5,BULLISH,medium,76.7,overbought,83.2,74.9,above_signal,bullish,above,rising,28.7,trending,+DI>-DI,green_buy,none,above,77.8,56.3,bearish,10,13,Uptrend (HH/HL),Ascending Triangle,2316.44,2548.09,no,True,4.51
28,AUTOIND,Autoline Industries Limited,NSE,Consumer Cyclical,27.1,92.31,,351,3.3,6.5,1.0,2.5,13.3,BULLISH,high,58.2,neutral,58.0,64.4,above_signal,bullish,above,rising,21.2,transitional,+DI>-DI,green_buy,none,above,43.8,74.9,bullish,9,6,Uptrend (HH/HL),Bull Flag / Pennant,98.88,130.13,no,True,5.21
