symbol,close,demand_zone_D,demand_fresh,demand_quality,near_demand,supply_zone_D,near_supply,demand_zone_W,supply_zone_W,last_BoS,last_ChoCh,bos_dir,bull_OB,bear_OB,bull_OB_unmitigated,unfilled_bull_FVG,unfilled_bear_FVG,nearest_bull_FVG_below,nearest_bear_FVG_above,buyside_liq_above,sellside_liq_below,liquidity_swept,equal_highs,equal_lows,pd_zone,range_pos_pct,range_high,range_low,in_discount,structure_D,structure_W,structure_aligned
OMNI,508.65,"408.3-467.0 (Moderate, tested, 8.92% away)",False,Moderate,False,none,False,n/a (short),n/a (short),bull @ 516.9 on 2026-06-30,none,bull,"483.75-498.75 (2026-06-25, mitigated)","538.8-590.1 (2026-07-01, mitigated)",False,6,0,489.95-496.2 (2026-06-30),none,none,none,none,0,0,Premium,80.3,590.1,176.25,False,ranging,ranging,True
CPPLUS,3588.4,"1428.0-1709.9 (Moderate, tested, 109.86% away)",False,Moderate,False,none,False,"2223.9-2903.5 (Moderate, FRESH, 23.59% away)",none,bull @ 2563.9 on 2026-05-26,bull @ 1680.0 on 2026-02-27,bull,"3550.0-3655.0 (2026-06-25, mitigated)",none,False,11,1,3408.0-3492.6 (2026-06-19),3589.8-3637.0 (2026-07-02),none,1450.65,none,1,2,Premium,91.9,3787.0,1348.3,False,bullish (HH/HL),ranging,False
540492,11.12,"10.45-11.22 (Moderate, tested, -0.89% away)",False,Moderate,True,"11.78-12.49 (Moderate, tested, 5.94% above)",True,"9.93-12.73 (Moderate, tested, -12.65% away)",none,bull @ 11.09 on 2026-06-30,bull @ 11.4 on 2026-06-08,bull,"10.06-10.58 (2026-06-25, UNMITIGATED)","10.86-11.36 (2026-05-20, mitigated)",True,2,8,10.63-11.16 (2026-07-01),12.19-12.68 (2026-05-14),11.98,2.95,none,1,1,Premium,67.8,14.49,4.04,False,ranging,ranging,True
SIGMAADV,548.4,none,,none,False,none,False,"248.49-354.9 (Moderate, FRESH, 54.52% away)",none,bull @ 503.9 on 2026-06-19,bull @ 178.0 on 2026-04-10,bull,"584.3-612.8 (2026-06-29, mitigated)","436.35-482.25 (2026-06-11, mitigated)",False,24,2,525.05-560.0 (2026-06-23),582.85-584.3 (2026-07-01),none,none,none,1,0,Premium,82.0,638.1,140.1,False,bullish (HH/HL),bearish (LH/LL),False
AEROFLEX,456.25,"293.3-413.6 (Moderate, tested, 10.31% away)",False,Moderate,False,none,False,"245.0-321.4 (Moderate, FRESH, 41.96% away)",none,bull @ 446.05 on 2026-06-12,bull @ 193.79 on 2026-02-09,bull,"456.0-491.9 (2026-06-16, mitigated)","398.0-458.7 (2026-05-08, mitigated)",False,6,0,449.4-456.0 (2026-06-16),none,none,none,none,1,0,Premium,82.0,521.9,158.0,False,bullish (HH/HL),ranging,False
GVPIL,873.75,"325.6-522.0 (Moderate, tested, 67.39% away)",False,Moderate,False,"773.0-867.45 (Moderate, tested, -11.53% above)",False,"531.05-748.4 (Moderate, FRESH, 16.75% away)",none,bear @ 960.0 on 2026-06-29,bear @ 960.0 on 2026-06-29,bear,"568.0-603.0 (2026-04-29, mitigated)","1024.8-1076.0 (2026-06-17, mitigated)",False,14,2,768.4-804.25 (2026-05-27),965.0-987.25 (2026-06-30),none,none,none,0,0,Premium,74.1,1084.0,270.9,False,bullish (HH/HL),bullish (HH/HL),True
STLTECH,576.8,"375.95-414.4 (Moderate, tested, 39.19% away)",False,Moderate,False,none,False,"269.5-441.15 (Moderate, FRESH, 30.75% away)",none,bear @ 577.8 on 2026-07-02,bear @ 577.8 on 2026-07-02,bear,"377.55-414.4 (2026-05-12, mitigated)",none,False,22,3,510.65-536.15 (2026-05-29),585.0-588.1 (2026-07-03),678.95,170.41,none,1,2,Premium,82.7,679.9,84.6,False,ranging,ranging,True
VENUSREM,1720.9,"664.1-800.0 (Moderate, FRESH, 115.11% away)",True,Moderate,False,none,False,"880.05-1280.05 (Moderate, FRESH, 34.44% away)",none,bull @ 1943.8 on 2026-06-25,bull @ 804.5 on 2026-03-11,bull,"1004.35-1055.0 (2026-05-21, UNMITIGATED)",none,True,16,3,1555.8-1566.8 (2026-06-08),1818.3-1833.5 (2026-07-02),none,902.3,none,1,2,Premium,77.3,2044.3,622.1,False,bullish (HH/HL),bullish (HH/HL),True
HFCL,214.48,"106.8-133.4 (Moderate, FRESH, 60.78% away)",True,Moderate,False,none,False,"69.83-119.5 (Moderate, FRESH, 79.48% away)",none,bull @ 208.98 on 2026-06-19,bull @ 71.1 on 2026-03-11,bull,"160.0-168.24 (2026-05-26, mitigated)","71.51-75.06 (2026-03-18, mitigated)",False,18,0,193.4-204.01 (2026-06-19),none,220.03,none,none,2,0,Premium,96.5,220.09,59.82,False,bullish (HH/HL),bearish (LH/LL),False
CUPID,198.84,"90.22-96.38 (Moderate, FRESH, 106.31% away)",True,Moderate,False,none,False,"111.71-137.9 (Moderate, FRESH, 44.19% away)",none,bull @ 133.92 on 2026-06-05,bull @ 133.92 on 2026-06-05,bull,"124.7-130.0 (2026-06-02, UNMITIGATED)","120.48-124.75 (2026-05-13, mitigated)",True,17,0,189.0-191.11 (2026-07-01),none,none,74.58,none,1,1,Premium,99.1,199.97,73.1,False,bullish (HH/HL),ranging,False
