symbol,close,bars,prior_uptrend,pct_above_52w_low,above_ema200,num_contractions,contractions,depths_decreasing,dur_decreasing,vdu_confirmed,vdu_ratio,near_52w_high,pivot,pct_from_pivot,breakout_vol_ratio,breakout_close_pos,vcp_status,vcp_quality,entry_zone,gann_days_since_low,gann_low_price,gann_low_date,gann_gann_unit_per_bar,gann_g1x1,gann_g2x1,gann_g1x2,gann_above_1x1,gann_above_2x1,gann_gann_trend,sq9_T1_+0.25,sq9_T2_+0.5,sq9_T3_+1.0,sq9_S1_-0.25,sq9_S2_-0.5,next_gann_cycle_days,days_to_next_cycle,near_gann_cycle,octave,octave_n,octave_levels,nearest_cardinal_sq,cardinal_dist_pct,near_cardinal,cardinal_below,cardinal_above
SANGINITA,55.85,351,True,514.4,True,2,C1:-11.3%/10b | C2:-7.9%/4b,True,True,True,0.79,True,25.85,116.05,0.39,0.5,extended past pivot,Moderate VCP,25.85-27.14,153,9.26,2025-12-04,0.186,37.65,66.04,23.45,True,False,strong (>1x1),59.65,63.57,71.8,52.18,48.63,180,27,False,8/8 (52w high),8,4/8=32.47 6/8=44.16 7/8=50.0,49,12.26,False,49,64
UFBL,701.9,350,True,307.3,True,3,C1:-13.4%/2b | C2:-10.3%/4b | C3:-14.4%/4b,False,False,True,0.14,False,763.35,-8.05,0.2,0.0,forming / still basing,No VCP,n/a,114,172.34,2026-01-30,2.345,439.7,707.06,306.02,True,False,strong (>1x1),715.21,728.64,755.89,688.72,675.66,120,6,False,8/8 (52w high),8,4/8=467.84 6/8=615.6 7/8=689.47,676,3.69,False,676,729
HFCL,213.17,352,True,256.4,True,3,C1:-19.4%/6b | C2:-6.3%/5b | C3:-10.2%/5b,False,True,True,0.42,True,229.5,-7.12,0.36,0.0,forming / still basing,Moderate VCP,229.5-240.98,118,59.82,2026-01-27,0.673,139.27,218.73,99.55,True,False,strong (>1x1),220.53,228.02,243.37,205.93,198.82,120,2,True,8/8 (52w high),8,4/8=144.66 6/8=187.08 7/8=208.29,225,5.55,False,196,225
OMNI,565.6,93,False,220.9,False,3,C1:-18.8%/5b | C2:-6.2%/2b | C3:-18.2%/5b,False,False,True,0.62,True,590.1,-4.15,0.59,0.51,AT PIVOT (actionable),No VCP,n/a,90,176.25,2026-03-09,1.642,324.05,471.86,250.15,True,True,very strong (>2x1),577.55,589.63,614.16,553.77,542.07,120,30,True,8/8 (52w high),8,4/8=383.17 6/8=486.64 7/8=538.37,576,1.84,True,529,576
INDOTECH,3400.9,351,True,209.2,True,3,C1:-12.0%/6b | C2:-6.6%/3b | C3:-8.5%/4b,False,False,True,0.7,True,3550.0,-4.2,0.51,0.49,AT PIVOT (actionable),Moderate VCP,3550.0-3727.5,76,1100.0,2026-03-30,9.722,1838.89,2577.78,1469.44,True,True,very strong (>2x1),3430.12,3459.47,3518.53,3371.8,3342.83,90,14,False,8/8 (52w high),8,4/8=2325.0 6/8=2937.5 7/8=3243.75,3364,1.09,True,3364,3481
STLTECH,520.4,352,True,515.1,True,3,C1:-15.1%/5b | C2:-14.8%/3b | C3:-18.9%/10b,False,False,True,0.74,False,636.0,-18.18,0.62,0.41,forming / still basing,No VCP,n/a,118,84.6,2026-01-27,2.362,363.35,642.1,223.98,True,False,strong (>1x1),531.87,543.46,567.02,509.06,497.84,120,2,True,6/8 (75%),6,4/8=382.25 6/8=531.08 7/8=605.49,529,1.65,True,484,529
SIGMAADV,557.8,351,True,483.9,True,3,C1:-12.9%/6b | C2:-9.7%/2b | C3:-19.1%/9b,False,False,False,0.87,False,609.9,-8.54,0.2,0.4,forming / still basing,No VCP,n/a,84,140.1,2026-03-16,2.153,320.96,501.81,230.53,True,True,very strong (>2x1),569.67,581.67,606.04,546.05,534.43,90,6,False,7/8 (exhaustion),7,4/8=366.81 6/8=502.46 7/8=570.28,576,3.26,False,529,576
NINSYS,893.6,351,True,218.0,True,3,C1:-7.2%/3b | C2:-11.9%/5b | C3:-8.8%/3b,False,False,True,0.52,True,925.0,-3.39,0.48,0.54,AT PIVOT (actionable),Moderate VCP,925.0-971.25,84,281.05,2026-03-16,2.595,499.03,717.02,390.04,True,True,very strong (>2x1),908.61,923.74,954.39,878.72,863.96,90,6,False,8/8 (52w high),8,4/8=608.02 6/8=771.51 7/8=853.26,900,0.72,True,841,900
ARIHANT,802.8,68,False,1924.7,False,3,C1:-4.9%/2b | C2:-6.1%/2b | C3:-4.9%/1b,False,True,False,1.38,False,819.9,-2.09,2.13,0.36,AT PIVOT (actionable),No VCP,n/a,67,39.65,2026-04-13,4.208,321.57,603.49,180.61,True,True,very strong (>2x1),817.03,831.38,860.47,788.7,774.72,90,23,False,6/8 (75%),6,4/8=569.83 6/8=834.91 7/8=967.46,784,2.34,False,784,841
CPPLUS,3614.4,237,True,256.1,True,3,C1:-7.7%/5b | C2:-2.8%/4b | C3:-8.6%/3b,False,True,True,0.63,True,3736.4,-3.27,0.82,0.02,AT PIVOT (actionable),Moderate VCP,3736.4-3923.22,177,1304.0,2025-10-31,11.313,3306.49,5308.98,2305.24,True,False,strong (>1x1),3644.52,3674.77,3735.64,3584.4,3554.53,180,3,True,8/8 (52w high),8,4/8=2440.5 6/8=3153.25 7/8=3509.62,3600,0.4,True,3600,3721
BLISSGVS,483.5,352,True,309.7,True,3,C1:-9.8%/2b | C2:-6.9%/3b | C3:-12.4%/4b,False,False,True,0.11,False,535.45,-9.7,0.17,0.12,forming / still basing,No VCP,n/a,172,118.0,2025-11-10,1.726,414.9,711.81,266.45,True,False,strong (>1x1),494.56,505.74,528.48,472.57,461.76,180,8,False,7/8 (exhaustion),7,4/8=335.5 6/8=444.25 7/8=498.62,484,0.1,True,441,484
