symbol,day0_date,day0_idx_from_end,day0_open,day0_close,day0_volume,day0_verified_volspike,day0_vol_x_50davg,rsi,stoch_k,stoch_d,bb_width,pctB,cci,williams_r,mfi,obv_dir,macd,macd_signal,macd_hist,macd_vs_zero,ema20,ema20_slope,ema50,ema50_slope,ema_alignment,adx,atr,atr_pct,supertrend,supertrend_flip,day0_candle,pct_from_52wh,pct_vs_ema200,bb_position,bos_triggered,vcp_pivot_broken,demand_zone_reclaimed,order_block_broken,pre_vol_pattern,pre_rsi_trend,pre_range_pct,pre_tight_range,pre_volume_dryup,pre_shakeout,bars_available
OMNI,2026-03-11,60,190.0,208.95,1428730,False,,100.0,,,,,,,,already_rising,,,,below,,down/flat,,down/flat,n/a(short),,,,red,just_flipped_red,Three White Soldiers,-7.01,,n/a,N,N,N,Y,declining,flat/down,,N,N,N,65
BAJAJCON,2025-09-18,178,238.0,257.84,7101892,True,7.28,70.3,62.2,45.6,14.53,127.1,220.2,-12.9,79.9,already_rising,2.776,1.017,1.758,above,232.2,up,225.65,up,n/a(short),22.3,9.07,3.52,green,just_flipped_green,none,-2.13,,upper,Y,Y,Y,Y,rising,turning_up,7.35,Y,N,Y,354
MODISONLTD,2026-04-27,31,145.5,152.22,61185,True,1.6,66.0,89.7,89.8,31.23,84.8,77.4,-4.8,80.3,already_rising,4.86,3.47,1.39,above,140.21,up,138.09,up,crossing/mixed,24.7,5.9,3.87,green,none_recent,none,-22.91,3.8,above_mid,Y,Y,Y,Y,declining,flat/down,4.2,Y,Y,N,353
SANGINITA,2026-01-07,102,10.67,10.96,138874,True,1.85,66.4,75.2,60.3,11.23,126.2,194.3,-2.4,78.7,already_rising,0.082,-0.009,0.092,above,10.2,up,10.19,up,crossing/mixed,20.8,0.53,4.8,green,none_recent,none,-33.74,1.42,upper,Y,Y,N,Y,rising,turning_up,12.23,N,N,Y,353
DEEDEV,2026-02-20,72,206.37,230.51,2866643,True,6.67,65.0,65.4,62.8,22.62,103.7,122.4,-25.9,87.1,already_rising,2.624,0.54,2.084,above,209.66,up,212.44,up,bearish,20.5,11.89,5.16,green,just_flipped_green,Bullish Engulfing;Outside Bar,-31.44,-4.85,upper,Y,Y,Y,Y,declining,turning_up,9.8,Y,Y,N,353
SIGMAADV,2025-08-22,195,125.1,132.73,423866,True,2.99,71.1,90.8,71.6,22.46,110.7,128.7,-2.3,45.0,already_rising,5.167,4.368,0.799,above,117.08,up,107.44,up,n/a(short),28.5,5.22,3.93,green,just_flipped_green,Three White Soldiers,-0.43,,upper,Y,N,N,Y,rising,turning_up,15.09,N,N,N,353
MTARTECH,2025-09-12,182,1545.0,1678.5,2989158,True,17.96,70.5,71.3,49.8,17.57,127.4,256.6,-16.8,92.1,already_rising,4.208,-16.837,21.045,above,1484.6,up,1503.62,down/flat,n/a(short),24.6,59.69,3.56,green,none_recent,Three White Soldiers,-7.1,,upper,Y,Y,Y,Y,rising,turning_up,10.66,N,N,Y,354
CPPLUS,2026-02-27,67,1614.9,1689.0,632461,True,3.71,66.9,74.5,52.3,14.38,114.3,93.6,-7.4,84.5,already_rising,35.046,26.071,8.974,above,1542.17,up,1505.09,up,n/a(short),32.0,76.54,4.53,green,none_recent,Tweezer Bottom;Outside Bar;Three White Soldiers,-3.21,,upper,Y,N,N,Y,rising,turning_up,14.03,N,N,N,209
540492,2025-11-07,142,2.12,2.18,3021333,False,2.44,15.9,9.6,4.4,109.02,24.0,-49.2,-81.7,83.8,already_rising,-0.768,-0.752,-0.016,below,2.99,down/flat,4.19,down/flat,bearish,61.0,0.19,8.59,red,none_recent,none,-73.41,-62.85,lower,N,N,N,N,rising,turning_up,18.35,N,N,N,350
HFCL,2026-04-09,42,75.39,79.61,77596073,True,3.68,66.4,82.7,72.6,14.69,124.1,239.7,-12.4,80.1,already_rising,1.406,0.677,0.729,above,72.07,up,70.58,up,crossing/mixed,14.5,3.56,4.47,green,none_recent,none,-15.27,7.54,upper,Y,Y,Y,Y,declining,turning_up,8.54,Y,N,N,354
