indicator,n,min,max,avg,median,most_common_zone,consistency_pct,type,Y_pct
RSI(14),311,15.9,100.0,68.3,66.5,60-70,55.9,numeric,
Stochastic %K,296,9.6,100.0,76.8,82.2,80-100,55.1,numeric,
Stochastic %D,295,4.4,100.0,68.6,74.2,80-100,37.3,numeric,
Bollinger %B,296,22.3,159.0,112.6,113.6,>100,83.8,numeric,
BB width %,296,3.6,312.9,21.9,18.8,20-30,30.7,numeric,
CCI(20),283,-70.5,1333.3,157.4,146.9,100-200,56.2,numeric,
Williams %R,298,-81.7,-0.0,-10.9,-8.0,-20..0,79.2,numeric,
MFI(14),294,27.5,99.6,73.8,74.8,60-80,50.3,numeric,
MACD hist,286,-1.9,493.6,9.4,2.8,>0(pos),95.8,numeric,
ADX(14),288,10.8,99.5,24.5,21.7,<20,39.2,numeric,
ATR %,298,1.1,10.0,4.5,4.3,3-5,56.0,numeric,
% vs EMA200,218,-78.9,415.0,5.3,3.4,<0,33.0,numeric,
% from 52w high,311,-96.6,0.0,-18.4,-16.5,-30..-15,30.2,numeric,
Vol × 50d-avg,301,0.0,50.0,5.4,3.3,2-4,32.2,numeric,
Supertrend,311,,,,,green,90.4,categorical,
EMA alignment,311,,,,,bearish,36.3,categorical,
OBV direction,311,,,,,already_rising,93.2,categorical,
MACD vs zero,311,,,,,above,68.2,categorical,
BB position,296,,,,,upper,88.9,categorical,
bos_triggered,311,,,,,Y,94.5,structure_flag,94.5
vcp_pivot_broken,311,,,,,N,50.2,structure_flag,49.8
demand_zone_reclaimed,311,,,,,Y,65.0,structure_flag,65.0
order_block_broken,311,,,,,Y,92.6,structure_flag,92.6
Pre-5d volume,311,,,,,rising,59.5,pre_context,
Pre-5d RSI,311,,,,,turning_up,72.3,pre_context,
Pre tight range,311,,,,,Y,56.6,pre_context,
Pre VDU,311,,,,,N,64.0,pre_context,
Pre shakeout,311,,,,,N,57.6,pre_context,
