symbol,name,exchange,yahoo_ticker,close,rsi,adx,macd_hist,vol_spike,dist_52wh_pct,adv_value_cr,atr_pct,prime_score,not_extended,checks,vcp_quality,vcp_status,struct,pd_zone,range_pos,near_demand,bull_bos,ob_support,gann_above_1x1,bearish_candle,last_candles,atr,pivot_entry,stop,struct_stop_ref,stop_pct,gann_T1,gann_T2,target2,rr,qty_per_10L,sec_bonus,phase7_score
DEEPAKNTR,Deepak Nitrite Limited,NSE,DEEPAKNTR.NS,1708.0,58.7,19.8,18.39,2.62,-13.29,29.09,3.19,9,True,111111111,No VCP,BROKEN OUT (fresh),bearish (LH/LL),Premium,69.3,True,True,True,True,False,Inside Bar;NR4;Three White Soldiers,54.47,1764.0,1665.96,1534.0,5.56,1806.25,1849.0,2205.0,4.5,101,7,16
BLKASHYAP,B. L. Kashyap and Sons Limited,NSE,BLKASHYAP.NS,57.92,56.7,22.0,0.498,9.58,-27.61,2.84,4.1,9,True,111111111,No VCP,BROKEN OUT (fresh),ranging,Premium,79.5,True,True,True,True,False,Inside Bar;NR4,2.37,62.4,58.13,52.12,6.84,70.55,79.2,79.2,3.93,2341,7,16
ABB,ABB India Limited,NSE,ABB.NS,7506.0,63.5,16.3,62.793,6.02,-5.28,297.02,3.03,8,True,110111111,No VCP,BROKEN OUT (fresh),ranging,Premium,87.2,True,True,True,True,False,Inside Bar;Three White Soldiers,227.7,7924.5,7514.64,6715.5,5.17,8013.77,8103.54,9905.62,4.83,24,7,15
GEOJITFSL,Geojit Financial Services Limited,NSE,GEOJITFSL.NS,81.08,58.3,16.0,0.053,1.82,-5.05,3.05,3.06,8,True,110111111,Moderate VCP,BROKEN OUT (fresh),ranging,Premium,92.4,True,True,False,True,False,NR4,2.48,83.56,79.09,75.2,5.35,92.95,102.84,104.45,4.67,2237,7,15
JSWINFRA,JSW Infrastructure Limited,NSE,JSWINFRA.NS,342.15,63.5,33.8,0.096,3.66,-3.84,126.86,3.31,8,True,110111111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,88.8,True,True,True,True,False,Morning Star,11.34,355.8,335.39,300.0,5.74,374.91,394.53,444.75,4.36,489,7,15
JINDWORLD,Jindal Worldwide Limited,NSE,JINDWORLD.NS,32.2,64.9,30.5,0.152,10.68,-26.75,17.79,5.07,8,True,110111111,No VCP,BROKEN OUT (fresh),ranging,Premium,82.6,True,True,True,True,False,none,1.63,33.99,31.05,28.2,8.65,40.07,46.65,46.65,4.31,3401,7,15
NUVOCO,Nuvoco Vistas Corporation Limited,NSE,NUVOCO.NS,348.75,59.8,28.0,5.337,25.68,-26.96,70.55,4.83,9,True,111111111,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,59.5,True,True,False,True,False,Inside Bar;NR4,16.86,398.0,367.66,301.35,7.62,418.2,438.9,497.5,3.28,329,6,15
CHENNPETRO,Chennai Petroleum Corporation Limited,NSE,CHENNPETRO.NS,1200.6,57.5,20.0,7.531,6.65,-6.18,127.33,4.65,9,False,111111111,Moderate VCP,BROKEN OUT (fresh),bearish (LH/LL),Premium,82.6,False,True,True,True,False,Inside Bar,55.82,1279.7,1179.23,1080.0,7.85,1315.72,1352.25,1599.62,3.18,99,6,15
DYCL,Dynamic Cables Limited,NSE,DYCL.NS,386.5,63.3,19.1,1.92,13.26,-25.67,25.95,4.85,9,True,111111111,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,79.2,False,True,True,True,False,NR4,18.73,409.1,375.38,335.0,8.24,429.58,450.55,511.38,3.03,296,6,15
INDUSINDBK,IndusInd Bank Limited,NSE,INDUSINDBK.NS,1027.2,66.9,32.8,3.359,1.11,-1.04,191.05,2.34,6,True,110011110,Moderate VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,96.2,True,True,True,True,False,Inside Bar;NR7,24.0,1038.0,994.79,900.15,4.16,1070.47,1103.44,1297.5,6.01,231,8,14
CRISIL,Crisil Limited,NSE,CRISIL.NS,4245.7,63.2,22.8,23.925,2.62,-29.18,20.2,2.58,8,True,111111101,No VCP,AT PIVOT (actionable),ranging,Equilibrium,47.2,True,True,True,False,False,Long-legged Doji;Three White Soldiers,109.62,4300.0,4102.69,3855.0,4.59,4365.82,4432.15,5375.0,5.45,50,6,14
INDIACEM,The India Cements Limited,NSE,INDIACEM.NS,410.3,67.6,18.2,3.363,5.23,-15.54,8.74,2.59,8,True,111111011,No VCP,BROKEN OUT (fresh),ranging,Equilibrium,51.2,False,True,True,True,False,Three White Soldiers,10.65,410.3,391.14,367.4,4.67,430.81,451.81,512.88,5.35,521,6,14
PTCIL,PTC Industries Limited,NSE,PTCIL.NS,17941.0,55.8,9.2,22.753,1.56,-9.62,42.79,2.8,8,True,110111111,No VCP,BROKEN OUT (fresh),ranging,Premium,64.3,True,True,False,True,False,Bearish Harami;Bullish Engulfing;Long-legged Doji;Outside Ba,503.18,18650.0,17744.28,16850.0,4.86,18786.82,18924.13,23312.5,5.15,11,6,14
ENDURANCE,Endurance Technologies Limited,NSE,ENDURANCE.NS,2733.0,58.7,19.8,5.439,2.22,-11.26,37.26,2.83,9,True,111111111,No VCP,AT PIVOT (actionable),ranging,Premium,86.8,False,True,False,True,False,Long-legged Doji;NR7;Three White Soldiers,77.28,2799.0,2659.89,2561.0,4.97,2852.16,2905.81,3498.75,5.03,71,5,14
TCS,Tata Consultancy Services Limited,NSE,TCS.NS,2269.0,62.2,19.6,28.754,2.35,-32.27,1159.58,2.82,7,True,111111001,No VCP,BROKEN OUT (fresh),ranging,Discount,21.3,True,True,True,True,False,NR7,64.01,2269.0,2153.78,1976.8,5.08,2316.88,2365.27,2836.25,4.92,86,7,14
ASKAUTOLTD,ASK Automotive Limited,NSE,ASKAUTOLTD.NS,482.1,62.0,19.3,1.686,5.06,-16.66,8.15,2.88,9,True,111111111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,91.5,False,True,False,True,False,Inside Bar;Three White Soldiers,13.88,492.05,467.06,441.0,5.08,514.48,537.41,615.06,4.92,400,5,14
INGERRAND,Ingersoll Rand (India) Limited,NSE,INGERRAND.NS,4571.2,57.3,26.0,6.402,1.72,-3.89,10.05,3.03,9,True,111111111,Moderate VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,88.9,True,True,True,True,True,Bearish Harami;Inside Bar;Tweezer Top,138.52,4756.2,4506.86,4319.5,5.24,4825.42,4895.13,5945.25,4.77,40,8,14
POONAWALLA,Poonawalla Fincorp Limited,NSE,POONAWALLA.NS,477.3,64.1,27.3,0.617,0.92,-16.32,66.99,3.03,8,True,111011111,No VCP,AT PIVOT (actionable),ranging,Premium,81.9,False,True,True,True,False,Bearish Harami;NR7;Outside Bar,14.46,486.0,459.97,416.25,5.36,508.3,531.09,607.5,4.67,384,6,14
MANGLMCEM,Mangalam Cement Limited,NSE,MANGLMCEM.NS,986.6,72.8,36.4,5.086,1.69,-3.6,7.52,3.12,8,True,110111111,No VCP,BROKEN OUT (fresh),bullish (HH/HL),Premium,87.6,False,True,True,True,False,Bullish Pin Bar;Doji,30.79,1023.45,968.03,845.05,5.42,1055.69,1088.43,1279.31,4.62,180,6,14
BANDHANBNK,Bandhan Bank Limited,NSE,BANDHANBNK.NS,213.25,56.2,15.6,0.91,2.51,-3.4,193.28,3.36,8,True,110111111,No VCP,BROKEN OUT (fresh),ranging,Premium,90.6,False,True,True,True,False,Inside Bar,7.16,220.76,207.88,194.82,5.83,235.87,251.48,275.95,4.28,776,6,14
