rank,symbol,tier,live,entry,stop,target,move_total,stage,to_entry,captured,upside_to_target
1,JSWDULUX,TIER 1,3078.1,3233.2,3075.16,4041.5,25.0,EARLY STAGE,5.0,0.0,31.3
2,NUVAMA,TIER 1,1566.6,1647.9,1562.23,2059.88,25.0,EARLY STAGE,5.2,0.0,31.5
3,CGCL,TIER 1,202.53,204.9,193.12,256.12,25.0,EARLY STAGE,1.2,0.0,26.5
4,GREAVESCOT,TIER 1,182.97,188.64,176.89,235.8,25.0,EARLY STAGE,3.1,0.0,28.9
5,GRASIM,TIER 1,3103.5,3197.5,3075.76,3996.88,25.0,EARLY STAGE,3.0,0.0,28.8
6,TECHM,TIER 1,1487.3,1571.4,1497.98,1964.25,25.0,FAILED,,,
7,DLINKINDIA,TIER 1,479.95,499.15,474.27,623.94,25.0,EARLY STAGE,4.0,0.0,30.0
8,JSWENERGY,TIER 1,590.05,617.35,584.62,771.69,25.0,EARLY STAGE,4.6,0.0,30.8
9,KPRMILL,TIER 1,1103.2,1012.0,956.45,1265.0,25.0,ALREADY MOVING,0.0,36.0,14.7
10,MUFIN,TIER 1,122.05,128.18,120.9,160.23,25.0,EARLY STAGE,5.0,0.0,31.3
11,AEGISLOG,TIER 1,755.8,792.3,744.09,990.38,25.0,EARLY STAGE,4.8,0.0,31.0
12,PARAGMILK,TIER 1,237.38,241.08,226.07,301.35,25.0,EARLY STAGE,1.6,0.0,26.9
13,LMW,TIER 1,15799.0,16198.0,15184.88,20247.5,25.0,EARLY STAGE,2.5,0.0,28.2
14,COFORGE,TIER 1,1436.5,1519.5,1423.31,1899.38,25.0,EARLY STAGE,5.8,0.0,32.2
15,GALAPREC,TIER 1,914.45,976.6,910.4,1220.75,25.0,EARLY STAGE,6.8,0.0,33.5
16,ASHAPURMIN,TIER 1,740.6,788.0,726.1,985.0,25.0,EARLY STAGE,6.4,0.0,33.0
17,MOSCHIP,TIER 1,223.53,236.7,217.53,295.88,25.0,EARLY STAGE,5.9,0.0,32.4
18,INFY,TIER 1,1201.3,1270.8,1210.5,1588.5,25.0,FAILED,,,
19,SINDHUTRAD,TIER 1,26.11,28.2,25.97,39.82,41.2,EARLY STAGE,8.0,0.0,52.5
20,KEI,TIER 1,5296.0,5476.3,5163.62,6845.38,25.0,EARLY STAGE,3.4,0.0,29.3
21,ELGIEQUIP,TIER 1,622.15,633.85,596.87,792.31,25.0,EARLY STAGE,1.9,0.0,27.4
22,NBCC,TIER 1,104.08,105.75,99.57,132.19,25.0,EARLY STAGE,1.6,0.0,27.0
23,SUPRAJIT,TIER 1,470.7,507.0,477.32,633.75,25.0,FAILED,,,
24,EQUITASBNK,TIER 1,72.3,74.6,70.16,93.25,25.0,EARLY STAGE,3.2,0.0,29.0
25,HONASA,TIER 1,417.05,424.9,399.31,531.12,25.0,EARLY STAGE,1.9,0.0,27.4
26,MOREPENLAB,TIER 1,44.93,49.49,45.78,64.56,30.5,FAILED,,,
27,ANANTRAJ,TIER 1,589.35,564.85,529.03,706.06,25.0,ALREADY MOVING,0.0,17.4,19.8
28,TMB,TIER 1,748.1,767.95,717.83,959.94,25.0,EARLY STAGE,2.7,0.0,28.3
29,INDNIPPON,TIER 1,915.95,976.4,909.63,1220.5,25.0,EARLY STAGE,6.6,0.0,33.2
30,MONARCH,TIER 1,339.15,348.8,324.21,436.0,25.0,EARLY STAGE,2.8,0.0,28.6
