rank,symbol,name,exchange,sector,close,vcp_status,rsi,adx,macd_hist,vol_spike,pd_zone,gann_above_1x1,pivot_entry,stop,struct_stop_ref,stop_pct,gann_T1,target2,rr,qty_per_10L,prime_score,sec_bonus,phase7_score,tier,last_candles
1,JSWDULUX,JSW Dulux Limited,NSE,n/a,3126.2,BROKEN OUT (fresh),64.2,19.4,23.725,10.67,Equilibrium,True,3233.2,3075.16,2857.0,4.89,3290.31,4041.5,5.11,63,9,7,16,TIER 1,Long-legged Doji
2,NUVAMA,Nuvama Wealth Management Limited,NSE,Financial Services,1573.4,AT PIVOT (actionable),66.8,28.6,0.944,1.17,Premium,True,1647.9,1562.23,1360.7,5.2,1688.74,2059.88,4.81,116,8,8,16,TIER 1,Bullish Engulfing
3,CGCL,Capri Global Capital Limited,NSE,Financial Services,198.77,AT PIVOT (actionable),64.0,25.8,0.763,2.29,Premium,True,204.9,193.12,180.73,5.75,219.46,256.12,4.35,848,9,7,16,TIER 1,Bullish Harami;Long-legged Doji
4,GREAVESCOT,Greaves Cotton Limited,NSE,Industrials,180.91,AT PIVOT (actionable),63.3,26.9,0.598,1.92,Premium,True,188.64,176.89,157.57,6.23,202.62,235.8,4.01,851,9,7,16,TIER 1,Inside Bar
5,GRASIM,Grasim Industries Limited,NSE,Basic Materials,3097.6,AT PIVOT (actionable),65.0,25.9,2.037,1.56,Premium,True,3197.5,3075.76,2823.6,3.81,3254.3,3996.88,6.57,82,9,6,15,TIER 1,none
6,TECHM,Tech Mahindra Limited,NSE,Technology,1571.4,BROKEN OUT (fresh),68.4,18.0,15.135,2.04,Equilibrium,True,1571.4,1497.98,1327.3,4.67,1611.29,1964.25,5.35,136,9,6,15,TIER 1,Three White Soldiers
7,DLINKINDIA,D-Link (India) Limited,NSE,Technology,475.4,BROKEN OUT (fresh),59.4,22.1,-1.465,1.51,Premium,True,499.15,474.27,442.0,4.98,521.74,623.94,5.02,401,8,7,15,TIER 1,Bullish Engulfing;Doji;Morning Star
8,JSWENERGY,JSW Energy Limited,NSE,Utilities,588.55,AT PIVOT (actionable),62.8,20.8,4.26,2.54,Premium,True,617.35,584.62,505.2,5.3,642.45,771.69,4.72,305,9,6,15,TIER 1,none
9,KPRMILL,K.P.R. Mill Limited,NSE,Consumer Cyclical,999.1,BROKEN OUT (fresh),65.9,26.8,4.004,3.54,Premium,True,1012.0,956.45,883.15,5.49,1044.06,1265.0,4.55,180,9,6,15,TIER 1,Long-legged Doji;Three White Soldiers
10,MUFIN,Mufin Green Finance Limited,NSE,Financial Services,122.5,AT PIVOT (actionable),59.5,24.4,0.153,1.58,Premium,True,128.18,120.9,111.13,5.68,139.75,160.23,4.4,1373,9,6,15,TIER 1,Bullish Harami
