rank,symbol,tier,scan_close,live,day_chg%,entry,stop,status
1,JSWDULUX,TIER 1,3126.2,3119.6,-1.02,3233.2,3075.16,+3.6% to entry
2,NUVAMA,TIER 1,1573.4,1558.1,1.36,1647.9,1562.23,BELOW STOP
3,CGCL,TIER 1,198.77,201.36,1.51,204.9,193.12,+1.8% to entry
4,GREAVESCOT,TIER 1,180.91,183.73,-0.13,188.64,176.89,+2.7% to entry
5,GRASIM,TIER 1,3097.6,3101.6,-2.16,3197.5,3075.76,+3.1% to entry
6,TECHM,TIER 1,1571.4,1472.3,1.15,1571.4,1497.98,BELOW STOP
7,DLINKINDIA,TIER 1,475.4,471.7,0.01,499.15,474.27,BELOW STOP
8,JSWENERGY,TIER 1,588.55,580.2,-3.63,617.35,584.62,BELOW STOP
9,KPRMILL,TIER 1,999.1,1085.8,12.34,1012.0,956.45,ABOVE ENTRY
10,MUFIN,TIER 1,122.5,122.48,-0.59,128.18,120.9,+4.7% to entry
11,AEGISLOG,TIER 1,767.15,760.5,6.51,792.3,744.09,+4.2% to entry
12,PARAGMILK,TIER 1,241.08,243.97,14.22,241.08,226.07,ABOVE ENTRY
13,LMW,TIER 1,15843.0,15899.0,1.21,16198.0,15184.88,+1.9% to entry
14,COFORGE,TIER 1,1519.5,1420.9,2.34,1519.5,1423.31,BELOW STOP
15,GALAPREC,TIER 1,904.9,871.45,-7.72,976.6,910.4,BELOW STOP
16,ASHAPURMIN,TIER 1,726.5,722.5,10.47,788.0,726.1,BELOW STOP
17,MOSCHIP,TIER 1,218.28,215.15,3.45,236.7,217.53,BELOW STOP
18,INFY,TIER 1,1270.8,1222.6,5.41,1270.8,1210.5,+3.9% to entry
19,SINDHUTRAD,TIER 1,26.35,25.99,-2.77,28.2,25.97,+8.5% to entry
20,KEI,TIER 1,5261.5,5222.0,-4.12,5476.3,5163.62,+4.9% to entry
21,ELGIEQUIP,TIER 1,589.35,601.2,4.03,633.85,596.87,+5.4% to entry
22,NBCC,TIER 1,104.11,102.24,3.17,105.75,99.57,+3.4% to entry
23,SUPRAJIT,TIER 1,459.25,465.45,1.89,507.0,477.32,BELOW STOP
24,EQUITASBNK,TIER 1,69.76,70.9,-1.77,74.6,70.16,+5.2% to entry
25,HONASA,TIER 1,407.05,402.1,-4.25,424.9,399.31,+5.7% to entry
26,MOREPENLAB,TIER 1,45.79,45.4,7.53,49.49,45.78,BELOW STOP
27,ANANTRAJ,TIER 1,552.2,548.0,7.81,564.85,529.03,+3.1% to entry
28,TMB,TIER 1,739.75,740.45,9.04,767.95,717.83,+3.7% to entry
29,INDNIPPON,TIER 1,895.7,900.5,10.25,976.4,909.63,BELOW STOP
30,MONARCH,TIER 1,340.4,338.8,0.83,348.8,324.21,+3.0% to entry
