rank,Stock Name,Symbol,Exchange,CMP,6M Return%,Market Cap (Cr),Cap,Sector,Avg Vol (20D),px_vs_e50,px_vs_e200,ema50,ema200,past_date_used,xsrc_mismatch_pct
1,Sterlite Technologies Limited,STLTECH,NSE,619.25,536.17,30234.66,Large,Technology,3883171,above,above,383.84,218.68,2025-12-09,0.02
2,Mtar Technologies Limited,MTARTECH,NSE,7535.5,223.65,23194.73,Large,Industrials,2102340,above,above,6210.53,3928.28,2025-12-09,0.07
3,DEE Development Engineers Limited,DEEDEV,NSE,671.15,220.51,4670.08,Small,Industrials,378379,above,above,467.28,332.21,2025-12-09,0.46
4,United Foodbrands Limited,UFBL,NSE,506.0,183.0,1976.21,Small,Consumer Cyclical,874468,above,above,373.14,290.58,2025-12-09,0.08
5,HFCL Limited,HFCL,NSE,187.23,180.12,28652.88,Large,Technology,65218014,above,above,134.31,95.9,2025-12-09,0.02
6,GE Power India Limited,GVPIL,NSE,884.1,177.19,5941.23,Mid,Industrials,455644,above,above,654.65,462.56,2025-12-09,0.04
7,Bliss GVS Pharma Limited,BLISSGVS,NSE,438.35,172.72,4634.09,Small,Healthcare,4086565,above,above,307.84,222.89,2025-12-09,0.07
8,MODISON LIMITED,MODISONLTD,NSE,362.7,158.33,1175.5,Small,Industrials,426933,above,above,201.55,164.4,2025-12-09,0.12
9,Aeroflex Industries Limited,AEROFLEX,NSE,419.75,141.92,5557.89,Mid,Industrials,2555277,above,above,345.18,252.86,2025-12-09,0.06
10,Aditya Infotech Limited,CPPLUS,NSE,3501.9,133.62,41232.94,Large,Industrials,439302,above,above,2453.33,1808.36,2025-12-09,0.09
11,Confidence Petroleum India Limited,CONFIPET,NSE,77.61,132.16,2582.18,Small,Energy,4374635,above,above,57.54,48.31,2025-12-09,0.14
12,SIGMA ADVANCED SYSTEMS LIMITED,SIGMAADV,NSE,435.8,131.92,7681.41,Mid,Industrials,515579,above,above,305.04,207.89,2025-12-09,0.01
13,Ideaforge Technology Limited,IDEAFORGE,NSE,945.0,122.67,4093.62,Small,Technology,880319,above,above,692.4,544.44,2025-12-09,0.16
14,Bajaj Consumer Care Limited,BAJAJCON,NSE,552.05,114.43,7233.1,Mid,Consumer Defensive,846959,above,above,491.0,362.76,2025-12-09,0.08
15,Black Box Limited,BBOX,NSE,1072.9,103.93,19067.05,Mid,Technology,1739795,above,above,792.78,611.19,2025-12-09,0.07
16,Sportking India Limited,SPORTKING,NSE,180.38,103.15,2291.74,Small,Consumer Cyclical,720989,above,above,151.32,121.41,2025-12-09,0.02
17,Acutaas Chemicals Limited,ACUTAAS,NSE,3328.3,99.75,27249.98,Large,Basic Materials,443748,above,above,2705.43,2078.04,2025-12-09,0.0
18,TD Power Systems Limited,TDPOWERSYS,NSE,1312.8,92.86,20507.32,Large,Industrials,1796408,above,above,1145.69,857.42,2025-12-09,0.01
19,Rain Industries Limited,RAIN,NSE,197.09,89.24,6626.01,Mid,Basic Materials,12183865,above,above,154.48,141.55,2025-12-09,0.05
20,JNK India Limited,JNKINDIA,NSE,421.3,88.11,2355.66,Small,Industrials,536147,above,above,341.97,309.73,2025-12-09,0.07
21,Paramount Communications Limited,PARACABLES,NSE,67.32,87.05,2062.3,Small,Technology,6422160,above,above,51.49,45.73,2025-12-09,0.37
22,Avalon Technologies Limited,AVALON,NSE,1607.9,86.33,10733.78,Mid,Technology,650842,above,above,1274.96,1057.87,2025-12-09,0.05
23,Kernex Microsystems (India) Limited,KERNEX,NSE,1836.1,82.24,3086.02,Small,Technology,458422,above,above,1406.62,1226.38,2025-12-09,0.03
24,Balaji Amines Limited,BALAMINES,NSE,2043.3,81.4,6627.3,Mid,Basic Materials,812663,above,above,1547.11,1358.12,2025-12-09,0.1
25,Sasken Technologies Limited,SASKEN,NSE,2181.2,80.92,3317.03,Small,Technology,593758,above,above,1670.96,1465.15,2025-12-09,0.14
26,Wheels India Limited,WHEELS,NSE,1487.7,79.6,3637.1,Small,Consumer Cyclical,309997,above,above,1320.37,1015.77,2025-12-09,0.06
27,Sansera Engineering Limited,SANSERA,NSE,2945.1,77.73,18362.71,Mid,Consumer Cyclical,378379,above,above,2549.85,2029.78,2025-12-09,0.03
