Stock,Demand Zone Levels,OB Level,FVG Level,BOS Level,Liquidity Sweep (Y/N),SMC Score (1-10)
530689,30.15-33.0,30.31-31.4,33.0-34.06,39.4,Y,10.0
NGLFINE,1280.0-1354.0,1280.0-1325.0,1340.0-1364.0,1356.0,Y,10.0
RICOAUTO,85.1-102.0,85.1-86.9,100.36-110.25,91.49,Y,10.0
TARIL,239.12-257.48,244.29-252.65,277.84-296.2,298.71,Y,10.0
SAKAR,332.1-350.0,330.0-347.0,350.0-360.0,347.0,Y,10.0
JAYNECOIND,69.96-75.5,69.96-71.85,71.85-77.3,73.64,Y,10.0
BODALCHEM,42.81-50.0,43.35-44.41,56.0-59.0,45.57,Y,10.0
KINGFA,3725.1-3911.4,4125.4-4289.9,4240.0-4338.4,3960.0,Y,10.0
ABB,4649.5-5075.0,4668.5-4775.0,5537.0-5582.5,5368.0,Y,10.0
SUVEN,128.0-148.95,128.0-136.0,182.5-186.6,146.35,Y,10.0
APOLLO,189.4-211.5,205.01-211.5,250.0-278.44,204.45,Y,10.0
MWL,182.6-192.0,232.2-243.85,243.85-244.05,243.0,Y,10.0
SAIL,129.91-138.8,131.0-134.3,141.8-145.46,132.6,Y,10.0
KIRLOSENG,882.0-946.75,883.4-903.85,946.75-986.0,902.95,Y,10.0
GULPOLY,127.56-133.54,128.2-133.54,147.5-160.19,155.5,Y,10.0
LOKESHMACH,138.96-158.0,140.62-151.86,158.0-166.88,171.0,Y,10.0
INDOTECH,1277.2-1458.8,1318.2-1357.8,1885.0-1969.9,1437.0,Y,10.0
SYRMA,634.5-683.0,649.5-669.5,802.55-808.7,760.0,Y,10.0
MCLEODRUSS,34.5-39.61,35.0-35.92,55.46-56.1,41.5,Y,10.0
CEIGALL,225.06-238.0,226.49-231.96,262.0-264.28,241.89,Y,10.0
IFCI,46.23-49.62,50.01-51.41,49.62-52.33,52.48,Y,10.0
SCHNEIDER,571.85-644.15,601.05-634.65,755.05-761.15,760.0,Y,10.0
GRWRHITECH,2868.8-3908.6,2973.4-3150.0,3908.6-4082.8,3168.0,Y,10.0
SCPL,190.03-232.01,190.37-205.77,232.01-257.26,215.09,Y,10.0
DATAPATTNS,2131.0-2319.0,2167.0-2304.0,2625.0-2700.5,2765.0,Y,10.0
LINCOLN,452.9-550.0,520.0-535.2,535.2-601.3,463.9,Y,10.0
EXICOM,87.81-105.6,87.81-93.85,105.6-114.15,93.25,Y,10.0
CHENNPETRO,746.0-892.0,804.0-847.35,892.0-932.85,858.85,Y,10.0
UFBL,172.34-192.89,172.5-179.07,192.89-234.75,224.38,Y,10.0
JETFREIGHT,12.24-13.4,12.99-13.17,13.17-14.16,13.1,Y,10.0
AARTIIND,345.3-357.75,349.3-357.05,452.85-463.2,357.75,Y,10.0
QUADFUTURE,248.55-295.5,248.55-255.0,295.5-313.35,322.0,Y,10.0
RSWM,128.24-143.02,123.9-131.95,143.02-150.03,152.5,Y,10.0
ANTELOPUS,403.65-524.8,403.65-462.55,451.55-455.2,439.05,Y,10.0
NELCAST,85.98-109.16,87.85-92.3,109.16-116.2,94.78,Y,10.0
DEEDEV,183.0-193.0,183.51-193.0,192.95-205.05,221.5,Y,10.0
511523,16.92-18.0,16.92-17.65,n/a,18.34,Y,9.0
STLNETWORK,18.0-20.24,22.1-23.31,26.23-26.5,20.0,Y,9.0
HSCL,437.4-457.0,432.05-439.2,439.2-445.25,450.7,Y,9.0
MANAKALUCO,30.6-48.63,26.5-28.27,28.9-29.11,28.71,Y,9.0
ARVIND,287.4-313.9,281.05-288.7,309.25-315.35,311.0,Y,9.0
WSTCSTPAPR,381.05-404.95,386.9-398.05,401.55-412.55,407.2,N,9.0
KESORAMIND,4.55-5.04,4.55-4.9,6.54-7.31,5.84,Y,9.0
GRAPHITE,553.8-593.0,522.75-531.5,550.95-562.3,553.6,Y,9.0
SPARC,108.0-119.95,120.57-124.06,145.79-150.7,123.68,Y,9.0
