indicator,n,mean,std,Q1,Q3,sweet_Q1_Q3,ext_mean_pm_sd
rsi,306,67.02,8.8,63.1,70.38,63.1 to 70.38,58.22 to 75.82
stochrsi_k,302,85.16,18.65,76.65,100.0,76.65 to 100.0,66.51 to 103.8
adx,299,23.81,10.09,17.6,28.35,17.6 to 28.35,13.73 to 33.9
plus_di,302,32.69,8.36,28.12,35.8,28.12 to 35.8,24.33 to 41.05
minus_di,302,15.61,5.39,12.5,18.2,12.5 to 18.2,10.22 to 21.0
cmf,303,0.12,0.21,-0.0,0.22,-0.0 to 0.22,-0.09 to 0.33
obv_accum_weeks,305,7.08,4.12,2.6,11.0,2.6 to 11.0,2.95 to 11.2
atr_pct,303,4.39,1.25,3.56,5.13,3.56 to 5.13,3.14 to 5.64
dist_ema9,303,8.7,4.92,5.44,10.89,5.44 to 10.89,3.78 to 13.62
dist_ema21,302,10.66,6.83,6.62,12.82,6.62 to 12.82,3.83 to 17.5
dist_ema50,292,10.17,8.86,6.23,13.03,6.23 to 13.03,1.31 to 19.03
dist_ema200,229,3.88,14.23,-2.38,10.28,-2.38 to 10.28,-10.35 to 18.11
pctB,302,112.65,19.74,103.8,123.98,103.8 to 123.98,92.92 to 132.39
days_in_base,306,28.54,35.41,7.0,35.75,7.0 to 35.75,-6.87 to 63.96
base_depth_pct,306,22.45,9.27,16.6,28.0,16.6 to 28.0,13.18 to 31.72
breakout_vol_x20,306,7.9,14.24,1.96,7.06,1.96 to 7.06,-6.34 to 22.15
pct_below_52wh,306,18.89,15.13,5.28,28.19,5.28 to 28.19,3.76 to 34.01
final_contraction_depth,299,10.94,6.32,6.2,13.9,6.2 to 13.9,4.63 to 17.26
sq9_proximity_pct,306,4.05,3.68,1.75,4.77,1.75 to 4.77,0.38 to 7.73
