indicator,appeared_%,rating
Price > EMA9,94.1,***** (>=80%)
OBV trending up,92.8,***** (>=80%)
Price > EMA21,91.9,***** (>=80%)
+DI > -DI,91.0,***** (>=80%)
%B > 80 (upper band),89.4,***** (>=80%)
ATR% in 2-7,88.8,***** (>=80%)
RSI in 50-80,87.2,***** (>=80%)
FVG unfilled below,87.2,***** (>=80%)
Price > EMA50,86.9,***** (>=80%)
Base depth 10-40%,86.6,***** (>=80%)
Above Gann 1x1,85.7,***** (>=80%)
Breakout vol > 1.5x,84.4,***** (>=80%)
Liquidity sweep,77.3,**** (65-80%)
Final contraction <15%,72.0,**** (65-80%)
CMF > 0,70.7,**** (65-80%)
ADX > 20 (trending),54.5,*** (50-65%)
Price > EMA200,48.3,DISCARD (<50%)
Within Gann cycle,33.3,DISCARD (<50%)
