rank,symbol,name,sector,close,tier,vcp_status,phase7_score,live,chg_pct,ema20,ema50,ema200,trend,d_rsi,d_atr,dist_ema20,bo_level,setup,swing_entry,swing_stop,stop_pct,swing_target,rr,qty_per_10L,horizon,verdict,reason,st_order
25,AMBIKCO,Ambika Cotton Mills Limited,Consumer Cyclical,1735.6,TIER 1,AT PIVOT (actionable),15,1735.6,9.88,1690.83,1613.86,1474.13,strong up,59.5,59.49,2.65,1816.3,PULLBACK,1735.6,1709.22,1.52,2270.38,20.27,379,1-2 weeks,GO,pullback in an uptrend,0
5,WSTCSTPAPR,West Coast Paper Mills Limited,Basic Materials,529.4,TIER 1,AT PIVOT (actionable),16,529.4,1.75,512.64,498.19,471.74,strong up,59.6,17.6,3.27,553.0,PULLBACK,529.4,521.32,1.53,691.25,20.03,1237,1-2 weeks,GO,pullback in an uptrend,0
15,AGARWALEYE,Dr. Agarwal's Health Care Limited,Healthcare,477.6,TIER 1,AT PIVOT (actionable),15,477.6,15.99,468.87,461.93,458.58,strong up,58.0,12.81,1.86,492.25,PULLBACK,477.6,469.2,1.76,615.31,16.39,1190,1-2 weeks,GO,pullback in an uptrend,0
23,GRAVITA,Gravita India Limited,Industrials,1724.4,TIER 1,AT PIVOT (actionable),15,1724.4,-6.51,1668.48,1647.28,1658.84,up,59.5,56.72,3.35,1784.6,PULLBACK,1724.4,1682.5,2.43,2230.75,12.08,238,1-2 weeks,GO,pullback in an uptrend,0
24,M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,334.05,TIER 1,BROKEN OUT (fresh),15,334.05,25.35,309.46,308.6,314.96,up,67.1,10.85,7.95,335.7,BREAKOUT,335.7,314.52,6.31,417.56,3.86,472,1-3 weeks,GO,breakout in an uptrend,0
10,INDHOTEL,The Indian Hotels Company Limited,Consumer Cyclical,728.6,TIER 1,AT PIVOT (actionable),15,728.6,-2.63,704.91,682.29,687.42,up,66.1,14.09,3.36,740.0,BASE,740.0,714.64,3.43,925.0,7.29,394,2-4 weeks,WATCH,basing — needs a trigger,1
11,MSUMI,Motherson Sumi Wiring India Limited,Consumer Cyclical,41.3,TIER 1,AT PIVOT (actionable),15,41.3,2.6,39.53,39.43,41.36,up,61.6,1.18,4.48,42.19,BASE,42.19,40.06,5.05,56.18,6.57,4694,2-4 weeks,WATCH,basing — needs a trigger,1
12,BAJAJFINSV,Bajaj Finserv Limited,Financial Services,1895.6,TIER 1,BROKEN OUT (fresh),15,1895.6,-4.3,1781.63,1776.84,1875.46,up,70.8,40.54,6.4,1916.0,BASE,1895.6,1822.63,3.85,2369.5,6.49,137,2-4 weeks,WATCH,basing — needs a trigger,1
13,SHRIRAMFIN,Shriram Finance Limited,Financial Services,1063.6,TIER 1,BROKEN OUT (fresh),15,1063.6,57.48,1009.01,984.05,912.79,strong up,71.2,24.92,5.41,1081.5,BASE,1071.0,1026.14,4.19,1338.75,5.97,222,2-4 weeks,WATCH,basing — needs a trigger,1
14,DLF,DLF Limited,Real Estate,675.9,TIER 1,BROKEN OUT (fresh),15,675.9,-18.54,622.54,605.61,647.98,up,71.4,17.41,8.57,678.0,EXTENDED,675.9,644.56,4.64,844.88,5.39,319,wait,WATCH,extended above 20-EMA — wait for a pullback,1
