symbol,name,exchange,t0_date,t0_verified_breakout,rsi,stochrsi_k,adx,plus_di,minus_di,cmf,obv_accum_weeks,atr_pct,dist_ema9,dist_ema21,dist_ema50,dist_ema200,macd_hist,pctB,days_in_base,base_depth_pct,breakout_vol_x20,pct_below_52wh,vcp_contractions,final_contraction_depth,choch_distance_candles,sq9_proximity_pct,obv_up,liquidity_sweep,fvg_below_unfilled,above_gann_1x1,within_gann_cycle,breakout_candle,bb_position,close_at_breakout,high_52w_at_t0
STLTECH,Sterlite Technologies Limited,NSE,2026-02-05,True,78.2,100.0,27.5,42.5,9.2,0.226,6.6,5.84,17.02,26.61,28.83,26.27,4.834,112.6,7.0,25.4,3.23,4.47,3.0,10.9,6.0,4.27,True,True,True,True,True,Green,upper,134.12,140.4
MTARTECH,Mtar Technologies Limited,NSE,2025-09-12,True,70.5,99.7,24.6,42.6,14.2,0.212,5.6,3.56,11.78,13.05,11.63,,21.045,127.4,10.0,15.1,26.95,7.1,3.0,4.0,1.0,1.22,True,True,True,True,False,Three White Soldiers,upper,1678.5,1806.8
DEEDEV,DEE Development Engineers Limited,NSE,2026-02-20,True,65.0,77.3,20.5,36.8,15.8,0.066,10.6,5.16,8.05,10.01,8.51,-5.08,2.084,103.7,18.0,22.5,16.23,31.44,3.0,10.6,0.0,3.27,True,True,True,True,False,Bullish Engulfing,upper,230.51,336.2
SANGINITA,Sanginita Chemicals Limited,NSE,2026-01-07,True,66.4,88.1,20.8,23.6,16.1,0.175,11.8,4.8,6.11,7.48,7.54,1.08,0.092,126.2,87.0,15.2,3.75,35.15,3.0,8.4,83.0,14.51,True,False,True,False,False,Green,upper,10.96,16.9
540492,Starlineps Enterprises Ltd,BSE,2025-11-07,False,15.9,51.4,61.0,10.0,62.9,0.817,0.4,8.59,-7.44,-28.32,-47.92,-63.16,-0.016,24.0,2.0,70.7,1.33,73.41,3.0,26.4,102.0,31.19,True,False,True,True,False,Strong Green,below_mid,2.18,8.2
UFBL,United Foodbrands Limited,NSE,2026-02-02,True,73.8,44.1,29.4,47.7,13.4,0.458,9.6,5.68,28.63,29.81,28.22,2.21,2.553,113.8,2.0,23.1,65.44,33.19,3.0,22.3,0.0,3.12,True,True,True,True,False,Strong Green,upper,252.52,377.95
HFCL,HFCL Limited,NSE,2026-04-09,True,66.4,95.8,14.5,35.3,16.5,-0.012,11.4,4.47,8.08,10.59,12.79,7.02,0.729,124.1,48.0,18.0,3.38,15.27,3.0,11.8,18.0,5.53,True,True,True,True,True,Strong Green,upper,79.61,93.96
GVPIL,GE Power India Limited,NSE,2026-02-09,True,67.2,94.4,23.5,38.2,16.3,0.139,12.0,4.29,7.97,11.06,10.27,9.27,7.287,103.2,9.0,26.6,1.8,11.56,3.0,13.0,25.0,2.66,True,False,True,False,True,Strong Green,upper,348.45,394.0
BLISSGVS,Bliss GVS Pharma Limited,NSE,2026-02-09,True,68.9,94.0,27.1,43.2,16.8,0.196,11.8,5.04,11.11,15.92,20.48,27.87,2.996,116.0,64.0,25.5,3.8,1.07,3.0,12.6,7.0,3.47,True,True,True,True,True,Bullish Marubozu,upper,203.6,205.8
OMNI,Omnitech Engineering Limited,NSE,2026-03-11,False,100.0,,,,,,0.6,,,,,,,,3.0,17.7,0.57,7.01,0.0,,,3.43,True,False,False,True,False,Three White Soldiers,n/a,208.95,224.7
