indicator,n,min,max,mean,median,prime_low_P15,prime_high_P85
rsi,306,15.9,100.0,67.02,66.25,61.0,73.2
stochrsi_k,302,17.1,100.0,85.16,93.3,65.49,100.0
adx,299,11.1,99.3,23.81,21.4,15.5,32.03
plus_di,302,10.0,100.0,32.69,32.1,25.5,39.77
minus_di,302,0.0,62.9,15.61,15.5,10.6,19.7
cmf,303,-0.45,0.83,0.12,0.11,-0.06,0.29
obv_accum_weeks,305,0.2,12.0,7.08,8.4,1.8,11.68
atr_pct,303,1.15,10.0,4.39,4.29,3.14,5.5
dist_ema9,303,-7.44,31.8,8.7,7.45,4.47,13.65
dist_ema21,302,-28.32,53.1,10.66,9.74,5.65,15.73
dist_ema50,292,-47.92,64.87,10.17,9.26,4.31,16.36
dist_ema200,229,-79.34,58.34,3.88,3.75,-6.85,16.53
macd_hist,297,-1.88,493.64,8.98,2.77,0.43,12.11
pctB,302,24.0,156.4,112.65,114.1,99.73,129.49
days_in_base,306,1.0,178.0,28.54,14.0,5.0,54.25
base_depth_pct,306,0.0,70.7,22.45,22.2,12.9,31.52
breakout_vol_x20,306,0.5,118.32,7.9,3.39,1.6,11.27
pct_below_52wh,306,0.0,96.56,18.89,17.63,2.99,35.89
vcp_contractions,306,0.0,3.0,2.9,3.0,3.0,3.0
final_contraction_depth,299,2.3,34.0,10.94,9.4,4.8,18.8
choch_distance_candles,294,0.0,228.0,12.86,3.0,0.0,23.05
sq9_proximity_pct,306,0.34,31.19,4.05,2.9,1.42,7.0
obv_up,306,,,92.5% Yes,,TRUE in 70%+,
liquidity_sweep,306,,,76.1% Yes,,TRUE in 70%+,
fvg_below_unfilled,306,,,86.6% Yes,,TRUE in 70%+,
above_gann_1x1,305,,,84.9% Yes,,TRUE in 70%+,
within_gann_cycle,306,,,30.1% Yes,,,
t0_verified_breakout,306,,,91.8% Yes,,TRUE in 70%+,
