rank,symbol,sector,num_conf,CMP,entry_aggressive,entry_conservative,entry_pullback,SL_chosen,SL_rule,SL_VCP_low,SL_OB_low,SL_EMA21,SL_Demand_low,risk_per_share,ATR,T1_atrx3,T2_resistance,T3_gann_sq9,T4_measured_move,RR_at_T1,shares_10L_1pct,position_value,actual_risk_rs,actual_risk_pct,BE_trail_at,weekly_exit
1,BEPL,Basic Materials,5,96.86,96.86,99.05,95.48,94.42,EMA21,92.46,92.52,94.42,80.05,2.44,2.87,105.46,98.4,101.84,109.09,3.52,4098,396932.0,9999.0,1.0,101.16,close < 21EMA (weekly)
2,SHREEPUSHK,Basic Materials,5,359.35,359.35,368.39,363.35,333.4,VCP_base_low,333.4,386.15,361.0,,25.95,18.02,413.41,363.0,368.89,409.8,2.08,385,138350.0,9991.0,1.0,386.38,close < 21EMA (weekly)
3,BHAGCHEM,Basic Materials,5,243.46,243.46,251.75,251.25,232.6,VCP_base_low,232.6,232.6,242.74,232.6,10.86,10.34,274.48,251.25,251.32,291.5,2.86,920,223983.0,9991.0,1.0,258.97,close < 21EMA (weekly)
4,SUMICHEM,Basic Materials,5,472.05,472.05,510.97,480.01,444.95,VCP_base_low,444.95,416.1,468.44,416.1,27.1,17.2,523.65,475.05,482.98,616.35,1.9,369,174186.0,10000.0,1.0,497.85,close < 21EMA (weekly)
5,NUVOCO,Basic Materials,5,319.15,319.15,366.48,328.12,310.05,VCP_base_low,310.05,321.75,321.26,288.45,9.1,11.65,354.11,329.0,328.14,448.1,3.84,1098,350427.0,9992.0,1.0,336.63,close < 21EMA (weekly)
6,PCBL,Basic Materials,5,289.15,289.15,298.6,290.0,262.85,VCP_base_low,262.85,262.85,285.8,262.85,26.3,10.61,320.98,298.0,297.71,334.32,1.21,380,109877.0,9994.0,1.0,305.07,close < 21EMA (weekly)
7,JSWCEMENT,Basic Materials,4,127.37,127.37,142.78,132.13,120.01,VCP_base_low,120.01,120.01,126.21,120.01,7.36,4.32,140.32,128.81,133.08,165.68,1.76,1358,172968.0,9995.0,1.0,133.85,close < 21EMA (weekly)
8,JUBLPHARMA,Healthcare,4,973.6,973.6,1004.66,982.48,955.25,VCP_base_low,955.25,931.0,970.55,,18.35,26.02,1051.66,998.35,989.26,1153.0,4.25,544,529638.0,9982.0,1.0,1012.63,close < 21EMA (weekly)
9,NELCAST,Industrials,4,140.74,140.74,148.09,149.29,138.05,EMA21,132.8,144.01,138.05,143.0,2.69,6.55,160.4,142.5,146.73,175.17,7.31,3717,523131.0,9999.0,1.0,150.57,close < 21EMA (weekly)
10,TPLPLASTEH,Consumer Cyclical,4,66.54,66.54,75.94,68.33,62.53,OB_low,61.04,62.53,66.62,60.0,4.01,3.38,76.67,68.5,70.68,90.54,2.53,2493,165884.0,9997.0,1.0,71.61,close < 21EMA (weekly)
