symbol,name,exchange,CMP,move_start_date,vcp_quality,vcp_status,num_contractions,contractions,C1_pct,C2_pct,C3_pct,depths_decreasing,final_contraction_tight,vdu_confirmed,vdu_ratio,pivot,pct_from_pivot,breakout_vol_ratio,breakout_vol_gt40pct,near_52w_high,num_legs,leg_gains_pct,leg3_highest_pivot,leg3_vol_expansion,fib_ratio_L3_L1,fib_extension,cleared_52w_high,time_contraction,third_leg_confirmed,bars_daily,vcp_leg_score_10
MWL,Mangalam Worldwide Limited,NSE,378.8,2025-11-14,Strong VCP,AT PIVOT (actionable),3.0,C1:-9.4%/4b | C2:-5.5%/7b | C3:-2.9%/3b,9.4,5.5,2.9,True,True,True,0.81,385.15,-1.65,1.48,True,True,12.0,L1:+19% | L2:+16% | L3:+12%,False,True,0.74,0.74x,False,True,False,352.0,8.0
543916,Hemant Surgical Industries Ltd,BSE,378.15,2026-03-30,No VCP,forming / still basing,3.0,C1:-21.8%/7b | C2:-9.7%/5b | C3:-8.6%/3b,21.8,9.7,8.6,True,True,True,0.51,446.0,-15.21,0.48,False,False,3.0,L1:+46% | L2:+11% | L3:+55%,True,True,1.6,~1.618x,False,True,True,351.0,8.0
ADANIENT,Adani Enterprises Limited,NSE,3048.2,2026-03-30,Strong VCP,BROKEN OUT (fresh),3.0,C1:-13.5%/7b | C2:-5.7%/4b | C3:-4.5%/3b,13.5,5.7,4.5,True,True,True,0.85,3027.5,0.68,1.92,True,True,3.0,L1:+45% | L2:+26% | L3:+6%,True,False,0.21,0.21x,False,True,False,354.0,8.0
SGFIN,SG Finserve Limited,NSE,570.35,2026-01-30,No VCP,AT PIVOT (actionable),3.0,C1:-12.6%/2b | C2:-9.2%/1b | C3:-6.8%/6b,12.6,9.2,6.8,True,True,True,0.29,596.8,-4.43,0.16,False,False,7.0,L1:+28% | L2:+9% | L3:+55%,False,True,2.21,2.21x,False,True,False,207.0,7.0
VIYASH,Viyash Scientific Limited,NSE,255.25,2026-03-23,No VCP,AT PIVOT (actionable),3.0,C1:-6.9%/2b | C2:-4.1%/3b | C3:-5.3%/1b,6.9,4.1,5.3,False,True,False,1.65,268.17,-4.82,1.55,True,True,3.0,L1:+21% | L2:+5% | L3:+34%,True,True,1.86,1.86x,False,False,True,354.0,7.0
VETO,Veto Switchgears And Cables Limited,NSE,143.79,2026-03-30,No VCP,extended past pivot,3.0,C1:-6.7%/2b | C2:-7.1%/3b | C3:-8.4%/4b,6.7,7.1,8.4,False,True,False,3.54,129.45,11.08,13.87,True,True,3.0,L1:+33% | L2:+16% | L3:+36%,True,True,1.41,1.41x,False,False,True,354.0,7.0
NINSYS,NINtec Systems Limited,NSE,724.15,2026-03-23,Strong VCP,AT PIVOT (actionable),3.0,C1:-16.7%/12b | C2:-12.3%/4b | C3:-6.8%/1b,16.7,12.3,6.8,True,True,True,0.4,739.75,-2.11,0.62,False,True,3.0,L1:+54% | L2:+38% | L3:+53%,True,False,1.71,~1.618x,False,True,False,353.0,7.0
LOKESHMACH,Lokesh Machines Limited,NSE,250.2,2025-12-08,No VCP,forming / still basing,3.0,C1:-14.5%/4b | C2:-10.4%/7b | C3:-7.5%/7b,14.5,10.4,7.5,True,True,True,0.28,264.89,-5.55,0.23,False,False,13.0,L1:+27% | L2:+6% | L3:+22%,False,True,0.9,0.90x,False,True,False,353.0,7.0
SAIL,Steel Authority of India Limited,NSE,190.56,2025-12-19,No VCP,forming / still basing,3.0,C1:-13.8%/5b | C2:-10.3%/1b | C3:-7.2%/5b,13.8,10.3,7.2,True,True,True,0.73,208.45,-8.58,0.71,False,False,8.0,L1:+22% | L2:+6% | L3:+11%,False,True,0.56,0.56x,False,True,False,354.0,7.0
POLYCAB,Polycab India Limited,NSE,9699.0,2026-01-23,Strong VCP,AT PIVOT (actionable),3.0,C1:-8.9%/3b | C2:-3.2%/3b | C3:-2.8%/2b,8.9,3.2,2.8,True,True,True,0.53,9696.0,0.03,0.59,False,True,6.0,L1:+17% | L2:+15% | L3:+6%,False,True,0.36,0.36x,False,False,False,354.0,7.0
VIJAYA,Vijaya Diagnostic Centre Limited,NSE,1372.4,2026-03-30,No VCP,AT PIVOT (actionable),3.0,C1:-5.5%/2b | C2:-8.1%/3b | C3:-12.1%/6b,5.5,8.1,12.1,False,True,False,1.56,1379.3,-0.5,2.04,True,True,3.0,L1:+62% | L2:+9% | L3:+18%,True,True,0.41,0.41x,False,False,True,353.0,7.0
