Stock,VCP Contractions,Pivot Price,3rd Leg confirmed (Y/N),Fib Extension Level,VCP+Leg Score (1-10)
MWL,C1:-9.4%/4b | C2:-5.5%/7b | C3:-2.9%/3b,385.15,N,0.74x,8.0
543916,C1:-21.8%/7b | C2:-9.7%/5b | C3:-8.6%/3b,446.0,Y,~1.618x,8.0
ADANIENT,C1:-13.5%/7b | C2:-5.7%/4b | C3:-4.5%/3b,3027.5,N,0.21x,8.0
SGFIN,C1:-12.6%/2b | C2:-9.2%/1b | C3:-6.8%/6b,596.8,N,2.21x,7.0
VIYASH,C1:-6.9%/2b | C2:-4.1%/3b | C3:-5.3%/1b,268.17,Y,1.86x,7.0
VETO,C1:-6.7%/2b | C2:-7.1%/3b | C3:-8.4%/4b,129.45,Y,1.41x,7.0
NINSYS,C1:-16.7%/12b | C2:-12.3%/4b | C3:-6.8%/1b,739.75,N,~1.618x,7.0
LOKESHMACH,C1:-14.5%/4b | C2:-10.4%/7b | C3:-7.5%/7b,264.89,N,0.90x,7.0
SAIL,C1:-13.8%/5b | C2:-10.3%/1b | C3:-7.2%/5b,208.45,N,0.56x,7.0
POLYCAB,C1:-8.9%/3b | C2:-3.2%/3b | C3:-2.8%/2b,9696.0,N,0.36x,7.0
VIJAYA,C1:-5.5%/2b | C2:-8.1%/3b | C3:-12.1%/6b,1379.3,Y,0.41x,7.0
500449,C1:-6.9%/2b | C2:-11.9%/4b | C3:-12.8%/4b,45.94,Y,1.01x,7.0
IOLCP,C1:-9.5%/2b | C2:-7.9%/2b | C3:-12.5%/4b,138.9,Y,4.37x,7.0
NIBE,C1:-29.0%/12b | C2:-11.1%/6b | C3:-10.0%/3b,1470.0,Y,2.01x,7.0
ASTRAMICRO,C1:-5.0%/1b | C2:-8.1%/7b | C3:-9.2%/1b,1433.0,N,~1.272x,7.0
SIGMAADV,C1:-20.3%/11b | C2:-14.7%/5b | C3:-12.9%/6b,338.95,Y,5.26x,7.0
SANSTAR,C1:-9.0%/2b | C2:-4.6%/5b | C3:-14.5%/2b,120.0,Y,~1.272x,7.0
KDDL,C1:-14.0%/8b | C2:-15.0%/7b | C3:-9.3%/3b,2952.8,N,~1.272x,7.0
ABSLAMC,C1:-9.1%/4b | C2:-8.6%/2b | C3:-7.0%/1b,1089.5,N,4.52x,7.0
APCOTEXIND,C1:-3.8%/3b | C2:-16.3%/4b | C3:-8.8%/8b,523.0,Y,2.29x,7.0
ABB,C1:-15.5%/6b | C2:-2.0%/3b | C3:-4.6%/1b,7340.0,N,0.40x,6.0
PANACEABIO,C1:-6.8%/2b | C2:-12.3%/3b | C3:-8.6%/7b,432.0,N,~1.272x,6.0
ACMESOLAR,C1:-13.7%/2b | C2:-6.0%/4b | C3:-14.8%/17b,314.0,N,~1.272x,6.0
IFCI,C1:-15.9%/6b | C2:-6.5%/5b | C3:-7.7%/6b,65.66,N,~1.618x,6.0
538668,C1:-11.7%/8b | C2:-7.2%/8b | C3:-4.9%/4b,802.0,N,0.34x,6.0
EBGNG,C1:-17.7%/4b | C2:-10.5%/11b | C3:-9.2%/6b,464.75,N,0.53x,6.0
SAILIFE,C1:-6.4%/6b | C2:-5.8%/1b | C3:-4.5%/2b,1169.9,N,0.88x,6.0
