symbol,candle_signals_20d,bullish_candles,bearish_candles,candle_bias
KSHINTL,27,6,8,bearish
DEEDEV,36,15,9,bullish
540492,26,6,5,bullish
STLTECH,23,5,2,bullish
KSHITIJPOL,26,9,6,bullish
ANTELOPUS,24,8,6,bullish
SCPL,32,13,10,bullish
ATLANTAELE,30,13,7,bullish
BHAGYANGR,29,8,7,bullish
AEROFLEX,31,8,10,bearish
UFBL,28,9,7,bullish
534755,45,11,21,bearish
OMNI,28,7,7,neutral
532380,36,10,11,bearish
CPPLUS,41,10,10,neutral
BLISSGVS,22,7,5,bullish
SAKAR,26,5,8,bearish
539669,35,16,7,bullish
SANGINITA,30,8,8,neutral
OMAXAUTO,35,14,11,bullish
SIGMAADV,33,14,10,bullish
SPORTKING,22,5,6,bearish
RUBICON,30,8,9,bearish
HFCL,26,8,5,bullish
E2E,36,15,7,bullish
VIDYAWIRES,27,7,7,neutral
NGLFINE,25,7,8,bearish
BAJAJCON,34,9,11,bearish
MTARTECH,35,7,12,bearish
GVPIL,37,16,10,bullish
MODISONLTD,39,12,11,bullish
CONFIPET,24,7,5,bullish
RAIN,24,4,8,bearish
SASKEN,35,11,11,neutral
IDEAFORGE,28,6,8,bearish
ONELIFECAP,32,13,7,bullish
PARKHOSPS,26,3,10,bearish
BBOX,34,11,7,bullish
POWERINDIA,34,11,10,bullish
KESORAMIND,26,7,11,bearish
DJML,29,10,9,bullish
SWANDEF,39,9,10,bearish
PARACABLES,35,10,10,neutral
PRECWIRE,26,5,12,bearish
GAYAPROJ,29,8,8,neutral
VENUSREM,33,10,9,bullish
NEOGEN,29,4,9,bearish
ACUTAAS,23,5,12,bearish
526775,29,10,4,bullish
SHADOWFAX,38,3,17,bearish
SANSERA,30,11,9,bullish
SALSTEEL,31,10,10,neutral
NINSYS,39,14,14,neutral
WHEELS,23,3,5,bearish
BALAMINES,30,9,7,bullish
MIRCELECTR,22,9,5,bullish
TDPOWERSYS,29,2,11,bearish
INDSWFTLAB,28,5,7,bearish
KERNEX,28,6,10,bearish
CUPID,38,9,11,bearish
THERMAX,33,7,10,bearish
INDOTECH,31,10,7,bullish
ROLLT,33,14,7,bullish
RPTECH,25,7,4,bullish
SGMART,32,4,15,bearish
FCL,21,7,4,bullish
AVALON,23,2,9,bearish
GVT&D,30,9,4,bullish
DSSL,23,3,11,bearish
SKYGOLD,32,13,4,bullish
WELCORP,27,9,8,bullish
UNIVPHOTO,39,13,14,bearish
SBCL,33,5,12,bearish
ADANIPOWER,28,7,9,bearish
LOKESHMACH,30,9,7,bullish
APOLLO,30,9,11,bearish
APEX,26,9,5,bullish
SEAMECLTD,34,8,10,bearish
KIRLOSENG,36,7,13,bearish
KOTYARK,44,12,14,bearish
JNKINDIA,35,12,12,neutral
APOLLOPIPE,27,4,9,bearish
NARMADA,33,9,12,bearish
MCLEODRUSS,24,6,4,bullish
CENTUM,37,12,12,neutral
SUVEN,32,8,10,bearish
SATIN,28,7,7,neutral
GRWRHITECH,29,7,10,bearish
ADANIENSOL,28,10,7,bullish
NATIONALUM,35,8,11,bearish
NITINSPIN,28,2,15,bearish
SCHNEIDER,19,3,5,bearish
UTLSOLAR,26,12,4,bullish
543787,27,6,9,bearish
KRISHNADEF,23,8,7,bullish
SAIL,26,4,11,bearish
544191,35,7,11,bearish
VIJIFIN,40,12,14,bearish
SHILPAMED,28,6,9,bearish
SYRMA,36,11,11,neutral
ACMESOLAR,28,9,6,bullish
521113,26,5,7,bearish
NETWEB,28,6,7,bearish
NIBE,33,12,6,bullish
524520,29,7,9,bearish
APARINDS,37,9,15,bearish
ROSSTECH,21,1,6,bearish
ARFIN,31,8,8,neutral
KIRLPNU,22,4,7,bearish
ARVIND,23,4,5,bearish
LLOYDSME,29,11,8,bullish
HINDCOPPER,31,7,8,bearish
IOLCP,18,4,4,neutral
CEIGALL,26,3,10,bearish
BIRLACABLE,27,11,6,bullish
