symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,isin_norm,yahoo_ticker
ARIHANT,Arihant Foundations & Housing Limited,NSE,39.65,2026-04-13,791.3,1895.71,795.9,Small,,7007.0,5835540.0,False,INE413D01011,ARIHANT.NS
STLTECH,Sterlite Technologies Limited,NSE,102.08,2026-01-05,576.8,465.05,29610.7,Large,,5330530.0,1240805149.0,False,INE089C01029,STLTECH.NS
SANGINITA,Sanginita Chemicals Limited,NSE,10.18,2026-01-05,45.85,350.39,,n/a,,170497.0,3366266.0,False,INE753W01010,SANGINITA.NS
DEEDEV,DEE Development Engineers Limited,NSE,211.27,2026-01-05,704.35,233.39,4908.0,Small,,2178004.0,645872451.0,False,INE841L01016,DEEDEV.NS
HFCL,HFCL Limited,NSE,67.2,2026-01-05,214.48,219.17,32892.65,Large,,35130827.0,4086219124.0,False,INE548A01028,HFCL.NS
UFBL,United Foodbrands Limited,NSE,222.02,2026-01-05,706.45,218.19,2760.67,Small,,255791.0,98276411.0,False,INE382M01027,UFBL.NS
BLISSGVS,Bliss GVS Pharma Limited,NSE,160.42,2026-01-05,505.95,215.39,5354.51,Mid,,3324154.0,762782905.0,False,INE416D01022,BLISSGVS.NS
540492,Starlineps Enterprises Ltd,BSE,3.86,2026-01-05,11.12,188.08,479.23,Micro,,1158921.0,9202813.0,False,INE594W01042,540492.BO
MTARTECH,Mtar Technologies Limited,NSE,2473.9,2026-01-05,7033.5,184.31,21664.29,Large,,887866.0,5162503430.0,False,INE864I01014,MTARTECH.NS
SIGMAADV,SIGMA ADVANCED SYSTEMS LIMITED,NSE,204.16,2026-01-05,548.4,168.61,9697.59,Mid,,246768.0,78116714.0,False,INE933B01012,SIGMAADV.NS
GVPIL,GE Power India Limited,NSE,341.1,2026-01-05,873.75,156.16,5890.47,Mid,,646801.0,349361668.0,False,INE878A01011,GVPIL.NS
CUPID,Cupid Limited,NSE,78.01,2026-01-05,198.84,154.89,26745.3,Large,,30396404.0,2939456642.0,False,INE509F01029,CUPID.NS
OMNI,Omnitech Engineering Limited,NSE,204.93,2026-03-05,508.65,148.21,6300.17,Mid,,985469.0,340038648.0,False,INE0UH301010,OMNI.NS
CPPLUS,Aditya Infotech Limited,NSE,1465.0,2026-01-05,3588.4,144.94,42328.36,Large,,277062.0,624917268.0,False,INE819V01029,CPPLUS.NS
ONELIFECAP,Onelife Capital Advisors Limited,NSE,16.01,2026-01-05,38.6,141.1,144.62,Micro,,142989.0,2448909.0,False,INE912L01015,ONELIFECAP.NS
INDSWFTLAB,Ind-Swift Laboratories Limited,NSE,90.34,2026-01-05,214.16,137.06,1861.41,Small,,875720.0,128904895.0,False,INE915B01019,INDSWFTLAB.NS
KOVAI,Kovai Medical Center & Hospital Limited,NSE,2576.65,2026-04-13,6042.5,134.51,6610.77,Mid,,5399.0,31179381.0,False,INE177F01017,KOVAI.NS
KSHINTL,KSH International Limited,NSE,365.35,2026-01-05,847.55,131.98,5747.04,Mid,,456706.0,255115854.0,False,INE987S01020,KSHINTL.NS
AEROFLEX,Aeroflex Industries Limited,NSE,200.22,2026-01-05,456.25,127.87,6035.61,Mid,,2519036.0,743138662.0,False,INE024001021,AEROFLEX.NS
VENUSREM,Venus Remedies Limited,NSE,763.0,2026-01-05,1720.9,125.54,2289.5,Small,,75111.0,79651518.0,False,INE411B01019,VENUSREM.NS
NGLFINE,NGL Fine-Chem Limited,NSE,1424.7,2026-01-05,3206.0,125.03,1964.98,Small,,10626.0,26772137.0,False,INE887E01022,NGLFINE.NS
NINSYS,NINtec Systems Limited,NSE,390.35,2026-01-05,876.6,124.57,1636.36,Small,,13770.0,5847839.0,False,INE395U01014,NINSYS.NS
OMAXAUTO,Omax Autos Limited,NSE,103.02,2026-01-05,231.05,124.28,493.11,Micro,,131825.0,21303745.0,False,INE090B01011,OMAXAUTO.NS
BAJAJCON,Bajaj Consumer Care Limited,NSE,280.1,2026-01-05,616.2,119.99,8072.99,Mid,,1287979.0,509595372.0,False,INE933K01021,BAJAJCON.NS
GRWRHITECH,Garware Hi-Tech Films Limited,NSE,3131.0,2026-01-05,6875.0,119.58,15951.71,Mid,,86955.0,395684140.0,False,INE291A01017,GRWRHITECH.NS
BHAGYANGR,Bhagyanagar India Limited,NSE,169.3,2026-01-05,371.5,119.43,1186.37,Small,,230556.0,49436811.0,False,INE458B01036,BHAGYANGR.NS
NOVARTIND,Novartis India Limited,NSE,672.25,2026-04-15,1469.4,118.58,3627.45,Small,,28697.0,37521043.0,False,INE234A01025,NOVARTIND.NS
YASHO,Yasho Industries Limited,NSE,1387.0,2026-01-05,2972.9,114.34,3577.88,Small,,29773.0,54266770.0,False,INE616Z01012,YASHO.NS
SCHNEIDER,Schneider Electric Infrastructure Limited,NSE,702.45,2026-01-05,1481.6,110.92,35426.85,Large,,395591.0,381558886.0,False,INE839M01018,SCHNEIDER.NS
ACUTAAS,Acutaas Chemicals Limited,NSE,1769.6,2026-01-05,3694.8,108.79,30215.36,Large,,429556.0,1026429769.0,False,INE00FF01025,ACUTAAS.NS
EBGNG,GNG Electronics Limited,NSE,309.25,2026-01-05,641.15,107.32,7312.13,Mid,,405885.0,176336299.0,False,INE18JU01028,EBGNG.NS
SPORTKING,Sportking India Limited,NSE,86.65,2026-01-05,179.34,106.97,2281.58,Small,,309414.0,45228651.0,False,INE885H01029,SPORTKING.NS
SAKAR,Sakar Healthcare Limited,NSE,410.75,2026-01-05,848.8,106.65,,n/a,,119489.0,75196776.0,False,INE732S01012,SAKAR.NS
JNKINDIA,JNK India Limited,NSE,234.95,2026-01-05,483.75,105.89,2712.09,Small,,705361.0,270860056.0,False,INE0OAF01028,JNKINDIA.NS
