symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,isin_norm,yahoo_ticker,robust_return_pct,robust_now,robust_past,live_today_2ndsrc,price_mismatch_pct,return_delta_raw_vs_robust,robust_below_25
ARIHANT,Arihant Foundations & Housing Limited,NSE,39.65,2026-04-13,802.8,1924.72,,,,7032.0,5817433.0,False,INE413D01011,ARIHANT.NS,1924.72,802.8,39.65,,,0.0,False
STLTECH,Sterlite Technologies Limited,NSE,91.56,2026-01-20,520.4,468.37,,,,5411100.0,1316065045.0,False,INE089C01029,STLTECH.NS,476.51,533.85,92.6,,,8.14,False
SANGINITA,Sanginita Chemicals Limited,NSE,11.44,2026-01-20,55.85,388.2,,,,173790.0,3680099.0,False,INE753W01010,SANGINITA.NS,373.46,53.69,11.34,,,14.74,False
UFBL,United Foodbrands Limited,NSE,179.0,2026-01-20,701.9,292.12,,,,254846.0,101803059.0,False,INE382M01027,UFBL.NS,303.88,739.1,183.0,,,11.76,False
DEEDEV,DEE Development Engineers Limited,NSE,190.09,2026-01-20,691.75,263.91,,,,2163355.0,644631301.0,False,INE841L01016,DEEDEV.NS,251.09,691.75,197.03,,,12.82,False
HFCL,HFCL Limited,NSE,63.32,2026-01-20,213.17,236.66,,,,35918538.0,4330289237.0,False,INE548A01028,HFCL.NS,238.96,214.63,63.32,,,2.3,False
BLISSGVS,Bliss GVS Pharma Limited,NSE,156.87,2026-01-20,483.5,208.22,,,,3287579.0,764654519.0,False,INE416D01022,BLISSGVS.NS,227.98,514.5,156.87,,,19.76,False
SIGMAADV,SIGMA ADVANCED SYSTEMS LIMITED,NSE,173.45,2026-01-20,557.8,221.59,,,,269179.0,93832390.0,False,INE933B01012,SIGMAADV.NS,226.95,568.8,173.97,,,5.36,False
OMNI,Omnitech Engineering Limited,NSE,204.93,2026-03-05,565.6,176.0,,,,917623.0,323926724.0,False,INE0UH301010,OMNI.NS,194.76,561.85,190.61,,,18.76,False
GVPIL,GE Power India Limited,NSE,283.65,2026-01-20,792.95,179.55,,,,638393.0,355659895.0,False,INE878A01011,GVPIL.NS,183.76,808.3,284.85,,,4.21,False
CPPLUS,Aditya Infotech Limited,NSE,1400.0,2026-01-20,3614.4,158.17,,,,277253.0,650769720.0,False,INE819V01029,CPPLUS.NS,162.47,3639.4,1386.6,,,4.3,False
CUPID,Cupid Limited,NSE,80.67,2026-01-20,214.78,166.25,,,,33601825.0,3782519326.0,False,INE509F01029,CUPID.NS,161.8,214.78,82.04,,,4.45,False
INDOTECH,Indo Tech Transformers Limited,NSE,1318.7,2026-01-20,3400.9,157.9,,,,47721.0,101113349.0,False,INE332H01014,INDOTECH.NS,157.9,3400.9,1318.7,,,0.0,False
NINSYS,NINtec Systems Limited,NSE,339.8,2026-01-20,893.6,162.98,,,,13560.0,5866366.0,False,INE395U01014,NINSYS.NS,157.65,875.5,339.8,,,5.33,False
MTARTECH,Mtar Technologies Limited,NSE,2516.0,2026-01-20,6046.0,140.3,,,,875606.0,5167815078.0,False,INE864I01014,MTARTECH.NS,154.73,6409.0,2516.0,,,14.43,False
OMAXAUTO,Omax Autos Limited,NSE,94.34,2026-01-20,228.38,142.08,,,,129725.0,21542401.0,False,INE090B01011,OMAXAUTO.NS,152.02,237.76,94.34,,,9.94,False
CEMPRO,Cemindia Projects Limited,NSE,626.35,2026-01-20,1615.0,157.84,,,,786891.0,725557069.0,False,INE686A01026,CEMPRO.NS,149.3,1601.4,642.35,,,8.54,False
IBULLSLTD,Indiabulls Limited,NSE,12.55,2026-01-20,28.99,131.0,,,,8143711.0,142782557.0,False,INE126M01010,IBULLSLTD.NS,146.22,30.9,12.55,,,15.22,False
KSHINTL,KSH International Limited,NSE,350.35,2026-01-20,864.75,146.82,,,,451347.0,259897732.0,False,INE987S01020,KSHINTL.NS,144.08,875.5,358.7,,,2.74,False
AEROFLEX,Aeroflex Industries Limited,NSE,168.93,2026-01-20,410.6,143.06,,,,2578580.0,774743977.0,False,INE024001021,AEROFLEX.NS,143.24,410.9,168.93,,,0.18,False
GRWRHITECH,Garware Hi-Tech Films Limited,NSE,2745.3,2026-01-20,6970.5,153.91,,,,83238.0,389921462.0,False,INE291A01017,GRWRHITECH.NS,143.12,6991.0,2875.5,,,10.79,False
VENUSREM,Venus Remedies Limited,NSE,726.25,2026-01-20,1770.0,143.72,,,,61844.0,74165445.0,False,INE411B01019,VENUSREM.NS,142.74,1805.4,743.75,,,0.98,False
SUVEN,Suven Life Sciences Limited,NSE,143.49,2026-01-20,325.9,127.12,,,,1018524.0,254301099.0,False,INE495B01038,SUVEN.NS,142.66,348.2,143.49,,,15.54,False
SPORTKING,Sportking India Limited,NSE,81.81,2026-01-20,197.21,141.06,,,,350049.0,53690646.0,False,INE885H01029,SPORTKING.NS,140.62,196.85,81.81,,,0.44,False
NOVARTIND,Novartis India Limited,NSE,672.25,2026-04-15,1570.1,133.56,,,,34157.0,47727691.0,False,INE234A01025,NOVARTIND.NS,137.44,1596.2,672.25,,,3.88,False
ONELIFECAP,Onelife Capital Advisors Limited,NSE,15.67,2026-01-20,36.88,135.35,,,,143466.0,2504459.0,False,INE912L01015,ONELIFECAP.NS,136.18,37.01,15.67,,,0.83,False
YASHO,Yasho Industries Limited,NSE,1270.5,2026-01-20,3010.7,136.97,,,,30372.0,56759148.0,False,INE616Z01012,YASHO.NS,136.16,3000.4,1270.5,,,0.81,False
JNKINDIA,JNK India Limited,NSE,208.85,2026-01-20,477.15,128.47,,,,768075.0,303946598.0,False,INE0OAF01028,JNKINDIA.NS,135.85,504.95,214.1,,,7.38,False
KOVAI,Kovai Medical Center & Hospital Limited,NSE,2576.65,2026-04-13,5986.0,132.32,,,,5082.0,29456647.0,False,INE177F01017,KOVAI.NS,132.32,5986.0,2576.65,,,0.0,False
CONFIPET,Confidence Petroleum India Limited,NSE,32.45,2026-01-20,73.12,125.33,,,,2823674.0,157704932.0,False,INE552D01024,CONFIPET.NS,131.28,75.35,32.58,,,5.95,False
IOLCP,IOL Chemicals and Pharmaceuticals Limited,NSE,71.54,2026-01-20,148.33,107.34,,,,2804080.0,348134814.0,False,INE485C01029,IOLCP.NS,130.2,165.7,71.98,,,22.86,False
BHAGYANGR,Bhagyanagar India Limited,NSE,160.3,2026-01-20,401.05,150.19,,,,216047.0,48408365.0,False,INE458B01036,BHAGYANGR.NS,129.11,375.35,163.83,,,21.08,False
SHILPAMED,Shilpa Medicare Limited,NSE,279.2,2026-01-20,620.25,122.15,,,,747123.0,338541699.0,False,INE790G01031,SHILPAMED.NS,125.72,630.2,279.2,,,3.57,False
ATLANTAELE,Atlanta Electricals Limited,NSE,777.6,2026-01-20,1698.3,118.4,,,,156906.0,203304024.0,False,INE0Z4F01028,ATLANTAELE.NS,122.4,1729.4,777.6,,,4.0,False
WELCORP,Welspun Corp Limited,NSE,758.6,2026-01-20,1581.5,108.48,,,,794944.0,922600405.0,False,INE191B01025,WELCORP.NS,121.47,1680.1,758.6,,,12.99,False
PAISALO,Paisalo Digital Limited,NSE,32.75,2026-01-20,71.75,119.08,,,,9617848.0,502501952.0,False,INE420C01059,PAISALO.NS,120.76,72.3,32.75,,,1.68,False
RPTECH,Rashi Peripherals Limited,NSE,344.8,2026-01-20,734.45,113.01,,,,587654.0,377024630.0,False,INE0J1F01024,RPTECH.NS,119.7,775.75,353.1,,,6.69,False
SAKAR,Sakar Healthcare Limited,NSE,408.6,2026-01-20,877.7,114.81,,,,131932.0,86556783.0,False,INE732S01012,SAKAR.NS,119.52,896.95,408.6,,,4.71,False
EBGNG,GNG Electronics Limited,NSE,260.1,2026-01-20,543.0,108.77,,,,431250.0,195175353.0,False,INE18JU01028,EBGNG.NS,116.93,572.15,263.75,,,8.16,False
RUBICON,Rubicon Research Limited,NSE,663.85,2026-01-20,1439.6,116.86,,,,336768.0,354701825.0,False,INE506V01022,RUBICON.NS,116.86,1439.6,663.85,,,0.0,False
