symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,isin_norm,yahoo_ticker,adj_return_pct,live_today,raw_vs_adj_gap,corp_action,price_mismatch_pct,price_mismatch,adj_below_25
ARIHANT,Arihant Foundations & Housing Limited,NSE,39.65,2026-04-13,802.8,1924.72,,,,7032.0,5817433.0,False,INE413D01011,ARIHANT.NS,1924.72,,0.0,False,,False,False
STLTECH,Sterlite Technologies Limited,NSE,91.56,2026-01-20,520.4,468.37,,,,5411100.0,1316065045.0,False,INE089C01029,STLTECH.NS,468.37,,0.0,False,,False,False
SANGINITA,Sanginita Chemicals Limited,NSE,11.44,2026-01-20,55.85,388.2,,,,173790.0,3680099.0,False,INE753W01010,SANGINITA.NS,388.2,,0.0,False,,False,False
UFBL,United Foodbrands Limited,NSE,179.0,2026-01-20,701.9,292.12,,,,254846.0,101803059.0,False,INE382M01027,UFBL.NS,292.12,,0.0,False,,False,False
DEEDEV,DEE Development Engineers Limited,NSE,190.09,2026-01-20,691.75,263.91,,,,2163355.0,644631301.0,False,INE841L01016,DEEDEV.NS,263.91,,0.0,False,,False,False
HFCL,HFCL Limited,NSE,63.32,2026-01-20,213.17,236.66,,,,35918538.0,4330289237.0,False,INE548A01028,HFCL.NS,236.66,,0.0,False,,False,False
SIGMAADV,SIGMA ADVANCED SYSTEMS LIMITED,NSE,173.45,2026-01-20,557.8,221.59,,,,269179.0,93832390.0,False,INE933B01012,SIGMAADV.NS,221.59,,0.0,False,,False,False
BLISSGVS,Bliss GVS Pharma Limited,NSE,156.87,2026-01-20,483.5,208.22,,,,3287579.0,764654519.0,False,INE416D01022,BLISSGVS.NS,209.49,,1.27,False,,False,False
GVPIL,GE Power India Limited,NSE,283.65,2026-01-20,792.95,179.55,,,,638393.0,355659895.0,False,INE878A01011,GVPIL.NS,179.55,,0.0,False,,False,False
OMNI,Omnitech Engineering Limited,NSE,204.93,2026-03-05,565.6,176.0,,,,917623.0,323926724.0,False,INE0UH301010,OMNI.NS,176.0,,0.0,False,,False,False
CUPID,Cupid Limited,NSE,80.67,2026-01-20,214.78,166.25,,,,33601825.0,3782519326.0,False,INE509F01029,CUPID.NS,166.25,,0.0,False,,False,False
NINSYS,NINtec Systems Limited,NSE,339.8,2026-01-20,893.6,162.98,,,,13560.0,5866366.0,False,INE395U01014,NINSYS.NS,162.98,,0.0,False,,False,False
CPPLUS,Aditya Infotech Limited,NSE,1400.0,2026-01-20,3614.4,158.17,,,,277253.0,650769720.0,False,INE819V01029,CPPLUS.NS,158.17,,0.0,False,,False,False
INDOTECH,Indo Tech Transformers Limited,NSE,1318.7,2026-01-20,3400.9,157.9,,,,47721.0,101113349.0,False,INE332H01014,INDOTECH.NS,157.9,,0.0,False,,False,False
CEMPRO,Cemindia Projects Limited,NSE,626.35,2026-01-20,1615.0,157.84,,,,786891.0,725557069.0,False,INE686A01026,CEMPRO.NS,158.5,,0.66,False,,False,False
GRWRHITECH,Garware Hi-Tech Films Limited,NSE,2745.3,2026-01-20,6970.5,153.91,,,,83238.0,389921462.0,False,INE291A01017,GRWRHITECH.NS,153.91,,0.0,False,,False,False
BHAGYANGR,Bhagyanagar India Limited,NSE,160.3,2026-01-20,401.05,150.19,,,,216047.0,48408365.0,False,INE458B01036,BHAGYANGR.NS,150.19,,0.0,False,,False,False
KSHINTL,KSH International Limited,NSE,350.35,2026-01-20,864.75,146.82,,,,451347.0,259897732.0,False,INE987S01020,KSHINTL.NS,146.82,,0.0,False,,False,False
VENUSREM,Venus Remedies Limited,NSE,726.25,2026-01-20,1770.0,143.72,,,,61844.0,74165445.0,False,INE411B01019,VENUSREM.NS,143.72,,0.0,False,,False,False
AEROFLEX,Aeroflex Industries Limited,NSE,168.93,2026-01-20,410.6,143.06,,,,2578580.0,774743977.0,False,INE024001021,AEROFLEX.NS,143.29,,0.23,False,,False,False
OMAXAUTO,Omax Autos Limited,NSE,94.34,2026-01-20,228.38,142.08,,,,129725.0,21542401.0,False,INE090B01011,OMAXAUTO.NS,144.78,,2.7,False,,False,False
SPORTKING,Sportking India Limited,NSE,81.81,2026-01-20,197.21,141.06,,,,350049.0,53690646.0,False,INE885H01029,SPORTKING.NS,141.06,,0.0,False,,False,False
MTARTECH,Mtar Technologies Limited,NSE,2516.0,2026-01-20,6046.0,140.3,,,,875606.0,5167815078.0,False,INE864I01014,MTARTECH.NS,140.3,,0.0,False,,False,False
YASHO,Yasho Industries Limited,NSE,1270.5,2026-01-20,3010.7,136.97,,,,30372.0,56759148.0,False,INE616Z01012,YASHO.NS,136.97,,0.0,False,,False,False
ONELIFECAP,Onelife Capital Advisors Limited,NSE,15.67,2026-01-20,36.88,135.35,,,,143466.0,2504459.0,False,INE912L01015,ONELIFECAP.NS,135.35,,0.0,False,,False,False
NOVARTIND,Novartis India Limited,NSE,672.25,2026-04-15,1570.1,133.56,,,,34157.0,47727691.0,False,INE234A01025,NOVARTIND.NS,133.56,,0.0,False,,False,False
KOVAI,Kovai Medical Center & Hospital Limited,NSE,2576.65,2026-04-13,5986.0,132.32,,,,5082.0,29456647.0,False,INE177F01017,KOVAI.NS,132.32,,0.0,False,,False,False
UNIVPHOTO,Universus Photo Imagings Limited,NSE,188.53,2026-01-20,436.3,131.42,,,,14760.0,6407971.0,False,INE03V001013,UNIVPHOTO.NS,131.42,,0.0,False,,False,False
IBULLSLTD,Indiabulls Limited,NSE,12.55,2026-01-20,28.99,131.0,,,,8143711.0,142782557.0,False,INE126M01010,IBULLSLTD.NS,131.0,,0.0,False,,False,False
JNKINDIA,JNK India Limited,NSE,208.85,2026-01-20,477.15,128.47,,,,768075.0,303946598.0,False,INE0OAF01028,JNKINDIA.NS,128.47,,0.0,False,,False,False
SUVEN,Suven Life Sciences Limited,NSE,143.49,2026-01-20,325.9,127.12,,,,1018524.0,254301099.0,False,INE495B01038,SUVEN.NS,127.12,,0.0,False,,False,False
CONFIPET,Confidence Petroleum India Limited,NSE,32.45,2026-01-20,73.12,125.33,,,,2823674.0,157704932.0,False,INE552D01024,CONFIPET.NS,125.33,,0.0,False,,False,False
ACUTAAS,Acutaas Chemicals Limited,NSE,1626.5,2026-01-20,3619.4,122.53,,,,425268.0,1054636815.0,False,INE00FF01025,ACUTAAS.NS,122.53,,0.0,False,,False,False
SHILPAMED,Shilpa Medicare Limited,NSE,279.2,2026-01-20,620.25,122.15,,,,747123.0,338541699.0,False,INE790G01031,SHILPAMED.NS,122.15,,0.0,False,,False,False
PAISALO,Paisalo Digital Limited,NSE,32.75,2026-01-20,71.75,119.08,,,,9617848.0,502501952.0,False,INE420C01059,PAISALO.NS,119.08,,0.0,False,,False,False
ATLANTAELE,Atlanta Electricals Limited,NSE,777.6,2026-01-20,1698.3,118.4,,,,156906.0,203304024.0,False,INE0Z4F01028,ATLANTAELE.NS,118.4,,0.0,False,,False,False
SCHNEIDER,Schneider Electric Infrastructure Limited,NSE,585.45,2026-01-20,1278.5,118.38,,,,406480.0,403869746.0,False,INE839M01018,SCHNEIDER.NS,118.38,,0.0,False,,False,False
532380,Baba Arts Ltd-$,BSE,7.37,2026-01-20,15.99,116.96,,,,72019.0,967211.0,False,INE893A01036,532380.BO,116.96,15.99,0.0,False,0.0,False,False
RUBICON,Rubicon Research Limited,NSE,663.85,2026-01-20,1439.6,116.86,,,,336768.0,354701825.0,False,INE506V01022,RUBICON.NS,116.86,,0.0,False,,False,False
SETL,Standard Engineering Technology Limited,NSE,130.03,2026-01-20,281.1,116.18,,,,556371.0,107366931.0,False,INE0M4D01010,SETL.NS,116.18,,0.0,False,,False,False
INDSWFTLAB,Ind-Swift Laboratories Limited,NSE,107.42,2026-01-20,231.47,115.48,,,,954412.0,148051331.0,False,INE915B01019,INDSWFTLAB.NS,115.48,,0.0,False,,False,False
SAKAR,Sakar Healthcare Limited,NSE,408.6,2026-01-20,877.7,114.81,,,,131932.0,86556783.0,False,INE732S01012,SAKAR.NS,114.81,,0.0,False,,False,False
RUBYMILLS,The Ruby Mills Limited,NSE,194.03,2026-01-20,413.6,113.16,,,,61377.0,16088886.0,False,INE301D01026,RUBYMILLS.NS,113.16,,0.0,False,,False,False
RPTECH,Rashi Peripherals Limited,NSE,344.8,2026-01-20,734.45,113.01,,,,587654.0,377024630.0,False,INE0J1F01024,RPTECH.NS,113.01,,0.0,False,,False,False
ATHERENERG,Ather Energy Limited,NSE,606.9,2026-01-20,1282.2,111.27,,,,3451847.0,3122987299.0,False,INE0LEZ01016,ATHERENERG.NS,111.27,,0.0,False,,False,False
SYRMA,Syrma SGS Technology Limited,NSE,646.75,2026-01-20,1359.1,110.14,,,,1336524.0,1287491729.0,False,INE0DYJ01015,SYRMA.NS,110.14,,0.0,False,,False,False
EBGNG,GNG Electronics Limited,NSE,260.1,2026-01-20,543.0,108.77,,,,431250.0,195175353.0,False,INE18JU01028,EBGNG.NS,108.77,,0.0,False,,False,False
WELCORP,Welspun Corp Limited,NSE,758.6,2026-01-20,1581.5,108.48,,,,794944.0,922600405.0,False,INE191B01025,WELCORP.NS,109.17,,0.69,False,,False,False
IOLCP,IOL Chemicals and Pharmaceuticals Limited,NSE,71.54,2026-01-20,148.33,107.34,,,,2804080.0,348134814.0,False,INE485C01029,IOLCP.NS,110.15,,2.81,False,,False,False
VIDYAWIRES,Vidya Wires Limited,NSE,45.95,2026-01-20,94.82,106.35,,,,5260124.0,377825497.0,False,INE14UN01029,VIDYAWIRES.NS,106.35,,0.0,False,,False,False
KIRLOSENG,Kirloskar Oil Engines Limited,NSE,1099.0,2026-01-20,2255.7,105.25,,,,653774.0,1138526785.0,False,INE146L01010,KIRLOSENG.NS,105.61,,0.36,False,,False,False
NGLFINE,NGL Fine-Chem Limited,NSE,1531.7,2026-01-20,3131.9,104.47,,,,10973.0,28221704.0,False,INE887E01022,NGLFINE.NS,104.47,,0.0,False,,False,False
NITTAGELA,Nitta Gelatin India Limited,NSE,922.65,2026-04-23,1880.0,103.76,,,,19667.0,30908026.0,False,INE265B01019,NITTAGELA.NS,103.76,,0.0,False,,False,False
SHADOWFAX,Shadowfax Technologies Limited,NSE,109.98,2026-01-28,223.25,102.99,,,,2827099.0,453487196.0,False,INE12UN01015,SHADOWFAX.NS,102.99,,0.0,False,,False,False
TIRUPATIFL,Tirupati Forge Limited,NSE,33.6,2026-01-20,68.17,102.89,,,,598872.0,29265537.0,False,INE319Y01024,TIRUPATIFL.NS,102.89,,0.0,False,,False,False
MODISONLTD,MODISON LIMITED,NSE,145.77,2026-01-20,295.4,102.65,,,,121816.0,27884287.0,False,INE737D01021,MODISONLTD.NS,104.72,,2.07,False,,False,False
BAJAJCON,Bajaj Consumer Care Limited,NSE,260.7,2026-01-20,525.65,101.63,,,,1369689.0,571703842.0,False,INE933K01021,BAJAJCON.NS,101.63,,0.0,False,,False,False
AVALON,Avalon Technologies Limited,NSE,856.55,2026-01-20,1724.0,101.27,,,,341706.0,437220446.0,False,INE0LCL01028,AVALON.NS,101.27,,0.0,False,,False,False
NRL,Nupur Recyclers Limited,NSE,53.69,2026-01-20,107.84,100.86,,,,81186.0,5522752.0,False,INE0JM501013,NRL.NS,100.86,,0.0,False,,False,False
LOKESHMACH,Lokesh Machines Limited,NSE,164.29,2026-01-20,329.85,100.77,,,,78363.0,16279968.0,False,INE397H01017,LOKESHMACH.NS,100.77,,0.0,False,,False,False
AEGISLOG,Aegis Logistics Limited,NSE,672.9,2026-01-20,1349.1,100.49,,,,1566951.0,1429970194.0,False,INE208C01025,AEGISLOG.NS,101.56,,1.07,False,,False,False
IDEAFORGE,Ideaforge Technology Limited,NSE,423.25,2026-01-20,843.75,99.35,,,,1038911.0,617819961.0,False,INE349Y01013,IDEAFORGE.NS,99.35,,0.0,False,,False,False
ANTELOPUS,Antelopus Selan Energy Limited,NSE,414.8,2026-01-20,820.8,97.88,,,,394702.0,226543698.0,False,INE818A01017,ANTELOPUS.NS,97.88,,0.0,False,,False,False
PARACABLES,Paramount Communications Limited,NSE,32.71,2026-01-20,64.35,96.73,,,,2158933.0,118783433.0,False,INE074B01023,PARACABLES.NS,96.73,,0.0,False,,False,False
APARINDS,Apar Industries Limited,NSE,7035.0,2026-01-20,13836.0,96.67,,,,118277.0,1386582321.0,False,INE372A01015,APARINDS.NS,96.67,,0.0,False,,False,False
SGMART,SG Mart Limited,NSE,323.45,2026-01-20,635.85,96.58,,,,365845.0,190802146.0,False,INE385F01024,SGMART.NS,96.58,,0.0,False,,False,False
KRN,KRN Heat Exchanger and Refrigeration Limited,NSE,641.45,2026-01-20,1249.9,94.86,,,,844296.0,829207373.0,False,INE0Q3J01015,KRN.NS,94.86,,0.0,False,,False,False
JAYBARMARU,Jay Bharat Maruti Limited,NSE,87.74,2026-01-20,170.79,94.65,,,,863645.0,109478923.0,False,INE571B01036,JAYBARMARU.NS,94.65,,0.0,False,,False,False
HIRECT,Hind Rectifiers Limited,NSE,639.65,2026-01-20,1244.5,94.56,,,,172075.0,165678684.0,False,INE835D01023,HIRECT.NS,94.56,,0.0,False,,False,False
ADANIENSOL,Adani Energy Solutions Limited,NSE,885.5,2026-01-20,1722.6,94.53,,,,2353785.0,2974823645.0,False,INE931S01010,ADANIENSOL.NS,94.53,,0.0,False,,False,False
WHEELS,Wheels India Limited,NSE,759.85,2026-01-20,1472.1,93.74,,,,140081.0,185850464.0,False,INE715A01015,WHEELS.NS,96.07,,2.33,False,,False,False
ASTRAMICRO,Astra Microwave Products Limited,NSE,889.85,2026-01-20,1720.8,93.38,,,,592802.0,765206622.0,False,INE386C01029,ASTRAMICRO.NS,93.38,,0.0,False,,False,False
RISHABH,Rishabh Instruments Limited,NSE,340.0,2026-01-20,656.1,92.97,,,,152830.0,79245467.0,False,INE0N2P01017,RISHABH.NS,92.97,,0.0,False,,False,False
POWERINDIA,Hitachi Energy India Limited,NSE,16630.0,2026-01-20,32075.0,92.87,,,,162626.0,4347221892.0,False,INE07Y701011,POWERINDIA.NS,92.87,,0.0,False,,False,False
543828,Sudarshan Pharma Industries Ltd,BSE,20.86,2026-01-20,40.0,91.75,,,,225974.0,6737929.0,False,INE00TV01023,543828.BO,91.75,40.0,0.0,False,0.0,False,False
INDOBORAX,Indo Borax & Chemicals Limited,NSE,243.8,2026-01-20,465.7,91.02,,,,153360.0,52110368.0,False,INE803D01021,INDOBORAX.NS,91.02,,0.0,False,,False,False
539730,Fredun Pharmaceuticals Ltd,BSE,501.62,2026-01-20,955.2,90.42,,,,35992.0,24228685.0,False,INE194R01017,539730.BO,90.48,955.2,0.06,False,0.0,False,False
