symbol,name,exchange,yahoo_ticker,isin,price_180d_ago,past_date_used,price_today,return_pct,avg_daily_volume,avg_daily_value_rs,bars,status
PIGL,Power & Instrumentation (Gujarat) Limited,NSE,PIGL.NS,INE557Z01018,148.07,2025-12-05,98.23,-33.66,57177.0,6763061.0,155.0,ok
20MICRONS,20 Microns Limited,NSE,20MICRONS.NS,INE144J01027,188.66,2025-12-05,183.64,-2.66,216856.0,42721811.0,155.0,ok
PIRAMALFIN,Piramal Finance Limited,NSE,PIRAMALFIN.NS,INE202B01038,1484.6,2025-12-05,1908.3,28.54,424724.0,762825992.0,140.0,ok
PFOCUS,Prime Focus Limited,NSE,PFOCUS.NS,INE367G01038,186.45,2025-12-05,228.51,22.56,4553267.0,1088717084.0,154.0,ok
PGHL,Procter & Gamble Health Limited,NSE,PGHL.NS,INE199A01012,5713.0,2025-12-05,6030.5,5.56,17084.0,94318817.0,153.0,ok
PGIL,Pearl Global Industries Limited,NSE,PGIL.NS,INE940H01022,1595.8,2025-12-05,1645.1,3.09,151378.0,246388103.0,155.0,ok
PICCADIL,Piccadily Agro Industries Limited,NSE,PICCADIL.NS,INE546C01010,582.35,2025-12-05,586.8,0.76,221622.0,132582669.0,155.0,ok
PATANJALI,Patanjali Foods Limited,NSE,PATANJALI.NS,INE619A01035,550.8,2025-12-05,451.55,-18.02,2156289.0,1103410406.0,155.0,ok
PAYTM,One 97 Communications Limited,NSE,PAYTM.NS,INE982J01020,1344.6,2025-12-05,1070.9,-20.36,3347148.0,4032492397.0,156.0,ok
PIDILITIND,Pidilite Industries Limited,NSE,PIDILITIND.NS,INE318A01026,1475.1,2025-12-05,1454.6,-1.39,743299.0,1068745191.0,156.0,ok
PHOENIXLTD,The Phoenix Mills Limited,NSE,PHOENIXLTD.NS,INE211B01039,1725.1,2025-12-05,1706.8,-1.06,500754.0,860997064.0,153.0,ok
PFS,PTC India Financial Services Limited,NSE,PFS.NS,INE560K01014,33.09,2025-12-05,30.74,-7.1,1108940.0,38525653.0,155.0,ok
PILITA,PIL ITALICA LIFESTYLE LIMITED,NSE,PILITA.NS,INE600A01035,11.01,2025-12-05,8.33,-24.34,131405.0,1208974.0,153.0,ok
PINELABS,Pine Labs Limited,NSE,PINELABS.NS,INE15B701018,247.63,2025-12-05,142.82,-42.33,6054673.0,1097191087.0,136.0,ok
PFC,Power Finance Corporation Limited,NSE,PFC.NS,INE134E01011,352.65,2025-12-05,413.05,17.13,7425406.0,2994079139.0,156.0,ok
PAUSHAKLTD,Paushak Limited,NSE,PAUSHAKLTD.NS,INE111F01024,577.9,2025-12-05,450.75,-22.0,15683.0,7488147.0,123.0,ok
PIONEEREMB,Pioneer Embroideries Limited,NSE,PIONEEREMB.NS,INE156C01018,30.37,2025-12-05,24.61,-18.97,34383.0,947214.0,154.0,ok
PILANIINVS,Pilani Investment and Industries Corporation Limited,NSE,PILANIINVS.NS,INE417C01014,5138.0,2025-12-05,4361.9,-15.11,4384.0,22172859.0,153.0,ok
PATELRMART,Patel Retail Limited,NSE,PATELRMART.NS,INE0R8B01010,221.8,2025-12-05,182.53,-17.71,206462.0,43325546.0,156.0,ok
PGEL,PG Electroplast Limited,NSE,PGEL.NS,INE457L01029,553.9,2025-12-05,480.4,-13.27,3080144.0,1670314007.0,156.0,ok
PAVNAIND,Pavna Industries Limited,NSE,PAVNAIND.NS,INE07S101038,28.99,2025-12-05,16.77,-42.15,209240.0,5552247.0,154.0,ok
PIIND,PI Industries Limited,NSE,PIIND.NS,INE603J01030,3396.1,2025-12-05,2739.8,-19.33,268232.0,837834226.0,155.0,ok
PGHH,Procter & Gamble Hygiene and Health Care Limited,NSE,PGHH.NS,INE179A01014,12587.0,2025-12-05,9384.5,-25.44,10232.0,110867090.0,154.0,ok
PDSL,PDS Limited,NSE,PDSL.NS,INE111Q01021,340.6,2025-12-05,301.8,-11.39,266971.0,85811667.0,154.0,ok
PFIZER,Pfizer Limited,NSE,PFIZER.NS,INE182A01018,5000.0,2025-12-05,4514.5,-9.71,26010.0,128175046.0,155.0,ok
PCBL,PCBL Chemical Limited,NSE,PCBL.NS,INE602A01031,313.9,2025-12-05,291.25,-7.22,2386052.0,699809171.0,156.0,ok
PDMJEPAPER,Pudumjee Paper Products Limited,NSE,PDMJEPAPER.NS,INE865T01018,97.44,2025-12-05,84.41,-13.37,112061.0,9801294.0,154.0,ok
PCJEWELLER,PC Jeweller Limited,NSE,PCJEWELLER.NS,INE785M01021,11.05,2025-12-05,9.26,-16.2,55120606.0,550063496.0,156.0,ok
PERSISTENT,Persistent Systems Limited,NSE,PERSISTENT.NS,INE262H01021,6520.5,2025-12-05,5470.5,-16.1,627314.0,3419397880.0,156.0,ok
PENIND,Pennar Industries Limited,NSE,PENIND.NS,INE932A01024,206.83,2025-12-05,160.22,-22.54,991941.0,183849549.0,155.0,ok
PATINTLOG,Patel Integrated Logistics Limited,NSE,PATINTLOG.NS,INE529D01014,13.79,2025-12-05,13.62,-1.23,131474.0,1625680.0,153.0,ok
