symbol,name,exchange,yahoo_ticker,close,rsi,adx,macd_hist,vol_spike,dist_52wh_pct,adv_value_cr,atr_pct,prime_score,not_extended,checks
PIRAMALFIN,Piramal Finance Limited,NSE,PIRAMALFIN.NS,2175.8,66.4,24.0,9.326,0.91,-1.99,116.96,2.88,6,False,111011100
PICCADIL,Piccadily Agro Industries Limited,NSE,PICCADIL.NS,614.7,68.2,17.4,2.917,2.01,-23.69,9.1,2.56,7,True,110111011
20MICRONS,20 Microns Limited,NSE,20MICRONS.NS,199.0,57.5,39.4,0.475,0.6,-29.91,7.49,4.25,7,True,110011111
PGIL,Pearl Global Industries Limited,NSE,PGIL.NS,2074.1,73.3,52.1,30.468,1.89,-1.97,29.03,4.1,7,False,110111110
PGHL,Procter & Gamble Health Limited,NSE,PGHL.NS,6434.5,70.9,48.0,-19.643,0.81,-4.52,15.5,2.14,6,True,100011111
PGEL,PG Electroplast Limited,NSE,PGEL.NS,563.55,63.9,27.0,1.925,0.78,-32.63,138.96,3.0,7,True,111010111
PIDILITIND,Pidilite Industries Limited,NSE,PIDILITIND.NS,1602.1,70.2,40.6,-0.647,1.6,-1.15,143.08,1.76,6,True,100111110
PAYTM,One 97 Communications Limited,NSE,PAYTM.NS,1213.8,69.3,16.4,14.194,2.9,-12.16,305.63,2.86,8,True,110111111
PHOENIXLTD,The Phoenix Mills Limited,NSE,PHOENIXLTD.NS,2000.3,72.2,30.7,14.964,2.12,-1.24,88.01,2.55,7,True,110111110
PIXTRANS,Pix Transmissions Limited,NSE,PIXTRANS.NS,1819.0,71.2,42.4,21.264,27.08,-5.75,18.8,3.6,8,False,110111111
PCBL,PCBL Chemical Limited,NSE,PCBL.NS,316.45,61.7,30.5,0.972,1.24,-27.64,47.55,3.1,7,True,110011111
PDSL,PDS Limited,NSE,PDSL.NS,370.5,71.8,37.3,2.614,2.24,-14.61,6.4,3.99,8,True,110111111
PFS,PTC India Financial Services Limited,NSE,PFS.NS,31.42,57.1,28.4,0.04,1.92,-28.57,2.29,2.56,8,True,111111101
POWERMECH,Power Mech Projects Limited,NSE,POWERMECH.NS,2750.7,55.5,28.1,-15.701,0.7,-19.45,32.48,3.49,7,True,101011111
PPL,Prakash Pipes Limited,NSE,PPL.NS,300.45,70.7,37.3,5.059,14.2,-25.08,7.31,5.29,8,False,110111111
POWERICA,Powerica Limited,NSE,POWERICA.NS,599.05,58.1,33.7,5.242,1.01,-11.51,25.06,5.5,6,False,110011101
PNBGILTS,PNB Gilts Limited,NSE,PNBGILTS.NS,90.4,55.7,39.0,-0.664,0.88,-24.54,24.92,4.32,6,True,100011111
POONAWALLA,Poonawalla Fincorp Limited,NSE,POONAWALLA.NS,446.3,67.3,21.4,4.206,1.32,-21.76,78.7,2.89,8,True,111011111
PNCINFRA,PNC Infratech Limited,NSE,PNCINFRA.NS,232.01,64.3,26.0,1.477,1.1,-30.08,11.97,3.0,7,True,111011101
POKARNA,Pokarna Limited,NSE,POKARNA.NS,1020.0,61.5,35.3,8.626,2.98,-11.01,8.81,4.67,8,True,110111111
POLICYBZR,PB Fintech Limited,NSE,POLICYBZR.NS,1687.8,60.0,20.3,11.339,1.62,-14.5,270.19,2.89,9,True,111111111
PNBHOUSING,PNB Housing Finance Limited,NSE,PNBHOUSING.NS,1053.4,60.4,20.6,4.934,1.63,-5.65,95.04,2.5,9,True,111111111
POLYMED,Poly Medicure Limited,NSE,POLYMED.NS,1722.3,68.6,33.3,16.959,1.1,-25.65,26.91,3.79,7,True,110011111
POLYPLEX,Polyplex Corporation Limited,NSE,POLYPLEX.NS,990.55,59.8,37.2,3.624,2.65,-19.11,13.85,3.87,8,True,110111111
PATELRMART,Patel Retail Limited,NSE,PATELRMART.NS,215.09,55.7,21.6,-0.639,0.75,-29.48,3.71,3.89,6,True,101010111
POCL,Pondy Oxides & Chemicals Limited,NSE,POCL.NS,1384.5,58.0,13.5,9.146,4.37,-14.48,54.56,3.8,7,True,110110111
POLYCAB,Polycab India Limited,NSE,POLYCAB.NS,9582.5,50.0,22.9,-51.9,3.39,-5.37,342.08,2.5,7,True,001111111
ONWARDTEC,Onward Technologies Limited,NSE,ONWARDTEC.NS,291.0,70.4,28.6,3.478,2.91,-24.42,9.3,4.03,9,True,111111111
ONIDA,Onida Electronics Limited,NSE,ONIDA.NS,43.43,62.7,19.9,0.29,0.3,-11.78,10.05,4.85,8,False,111011111
ORCHPHARMA,Orchid Pharma Limited,NSE,ORCHPHARMA.NS,978.3,64.8,55.0,-9.573,1.0,-10.58,10.09,4.78,6,False,100011111
OPTIEMUS,Optiemus Infracom Limited,NSE,OPTIEMUS.NS,502.75,71.8,36.3,4.669,4.47,-29.49,9.61,4.51,8,True,110111111
NUVAMA,Nuvama Wealth Management Limited,NSE,NUVAMA.NS,1803.6,73.7,44.3,4.639,1.63,-1.17,93.13,2.77,7,False,110111110
NYKAA,FSN E-Commerce Ventures Limited,NSE,NYKAA.NS,311.7,72.4,37.6,1.87,4.2,-0.38,192.37,2.35,7,False,110111110
OCCLLTD,OCCL Limited,NSE,OCCLLTD.NS,129.0,57.4,26.6,-1.323,0.11,-19.08,3.31,5.12,6,True,101010111
OBEROIRLTY,Oberoi Realty Limited,NSE,OBEROIRLTY.NS,1855.7,75.7,28.1,15.625,2.17,-3.39,75.38,2.4,8,True,011111111
OMNI,Omnitech Engineering Limited,NSE,OMNI.NS,542.8,65.4,37.6,3.121,2.42,-8.02,29.9,5.74,7,False,110111101
OLECTRA,Olectra Greentech Limited,NSE,OLECTRA.NS,1531.6,70.2,29.2,6.969,1.24,-10.65,133.06,3.65,8,False,111011111
PATELENG,Patel Engineering Limited,NSE,PATELENG.NS,34.28,69.3,37.2,0.378,1.85,-19.85,23.31,3.91,8,True,110111111
ORIENTHOT,Oriental Hotels Limited,NSE,ORIENTHOT.NS,140.92,73.4,39.3,1.463,1.21,-16.61,13.83,4.7,7,False,110011111
PANAMAPET,Panama Petrochem Limited,NSE,PANAMAPET.NS,427.85,58.9,48.3,-2.91,0.93,-16.44,34.16,6.5,6,False,100011111
OFSS,Oracle Financial Services Software Limited,NSE,OFSS.NS,11043.0,71.8,26.6,110.241,1.53,-2.06,302.65,3.11,8,False,111111110
PARACABLES,Paramount Communications Limited,NSE,PARACABLES.NS,71.19,58.0,21.0,-0.256,1.39,-5.96,28.37,5.85,7,False,101011111
