symbol,name,exchange,yahoo_ticker,series_or_group,isin,bse_sector,bse_mktcap_cr,isin_norm
20MICRONS,20 Microns Limited,NSE,20MICRONS.NS,EQ,INE144J01027,,,INE144J01027
PITTIENG,Pitti Engineering Limited,NSE,PITTIENG.NS,EQ,INE450D01021,,,INE450D01021
PFS,PTC India Financial Services Limited,NSE,PFS.NS,EQ,INE560K01014,,,INE560K01014
PGEL,PG Electroplast Limited,NSE,PGEL.NS,EQ,INE457L01029,,,INE457L01029
PGHH,Procter & Gamble Hygiene and Health Care Limited,NSE,PGHH.NS,EQ,INE179A01014,,,INE179A01014
PGHL,Procter & Gamble Health Limited,NSE,PGHL.NS,EQ,INE199A01012,,,INE199A01012
PGIL,Pearl Global Industries Limited,NSE,PGIL.NS,EQ,INE940H01022,,,INE940H01022
PHOENIXLTD,The Phoenix Mills Limited,NSE,PHOENIXLTD.NS,EQ,INE211B01039,,,INE211B01039
PICCADIL,Piccadily Agro Industries Limited,NSE,PICCADIL.NS,EQ,INE546C01010,,,INE546C01010
PIDILITIND,Pidilite Industries Limited,NSE,PIDILITIND.NS,EQ,INE318A01026,,,INE318A01026
PIGL,Power & Instrumentation (Gujarat) Limited,NSE,PIGL.NS,EQ,INE557Z01018,,,INE557Z01018
PIIND,PI Industries Limited,NSE,PIIND.NS,EQ,INE603J01030,,,INE603J01030
PILANIINVS,Pilani Investment and Industries Corporation Limited,NSE,PILANIINVS.NS,EQ,INE417C01014,,,INE417C01014
PILITA,PIL ITALICA LIFESTYLE LIMITED,NSE,PILITA.NS,BE,INE600A01035,,,INE600A01035
PINELABS,Pine Labs Limited,NSE,PINELABS.NS,EQ,INE15B701018,,,INE15B701018
PIONEEREMB,Pioneer Embroideries Limited,NSE,PIONEEREMB.NS,EQ,INE156C01018,,,INE156C01018
PIONRINV,Pioneer Investcorp Limited,NSE,PIONRINV.NS,EQ,INE746D01014,,,INE746D01014
PFOCUS,Prime Focus Limited,NSE,PFOCUS.NS,BE,INE367G01038,,,INE367G01038
PFIZER,Pfizer Limited,NSE,PFIZER.NS,EQ,INE182A01018,,,INE182A01018
PFC,Power Finance Corporation Limited,NSE,PFC.NS,EQ,INE134E01011,,,INE134E01011
PCBL,PCBL Chemical Limited,NSE,PCBL.NS,EQ,INE602A01031,,,INE602A01031
